District,Year,Week,Number_of_Cases,KDE_baseline
Ampara,2007,1,0,7.761719609540435e-11
Ampara,2007,2,0,9.891024503905004e-11
Ampara,2007,3,0,1.0563384289403057e-10
Ampara,2007,4,0,1.6322875848673872e-10
Ampara,2007,5,0,9.544773609895469e-11
Ampara,2007,6,0,3.1982325094179954e-11
Ampara,2007,7,0,4.4009156445641076e-11
Ampara,2007,8,0,7.026454345599689e-11
Ampara,2007,9,1,1.6090985402939993e-10
Ampara,2007,10,0,4.367876935983328e-11
Ampara,2007,11,0,8.658537599805916e-11
Ampara,2007,12,0,1.0679525335255026e-10
Ampara,2007,13,0,5.6265307823647345e-11
Ampara,2007,14,0,3.625892890252582e-11
Ampara,2007,15,0,2.639161443224319e-10
Ampara,2007,16,0,3.2556836219140594e-10
Ampara,2007,17,0,7.918590515556946e-11
Ampara,2007,18,0,3.489603623658344e-10
Ampara,2007,19,0,2.9750915968625243e-10
Ampara,2007,20,0,1.214967153444093e-10
Ampara,2007,21,0,4.268321915240686e-10
Ampara,2007,22,0,3.5982089369327814e-10
Ampara,2007,23,1,4.037008201134214e-10
Ampara,2007,24,1,1.0923391056808189e-10
Ampara,2007,25,1,2.8993923191299074e-10
Ampara,2007,26,0,4.210446130922034e-11
Ampara,2007,27,0,3.4323261677227126e-11
Ampara,2007,28,0,5.042222093306638e-11
Ampara,2007,29,0,2.535859601170747e-10
Ampara,2007,30,0,2.2641790175359737e-10
Ampara,2007,31,0,9.973633999869992e-11
Ampara,2007,32,0,1.6301505580091984e-10
Ampara,2007,33,0,3.057556745463367e-10
Ampara,2007,34,0,1.3192522075706947e-10
Ampara,2007,35,0,1.750401923703243e-10
Ampara,2007,36,0,1.5641486595874096e-10
Ampara,2007,37,0,1.572174177313796e-10
Ampara,2007,38,0,1.5083878199201784e-10
Ampara,2007,39,0,5.349241399176349e-11
Ampara,2007,40,0,1.792894335393279e-10
Ampara,2007,41,0,1.2495623769167317e-10
Ampara,2007,42,0,5.419784961879889e-11
Ampara,2007,43,0,3.061185163784446e-11
Ampara,2007,44,0,1.6808137581724886e-10
Ampara,2007,45,1,2.1502313956941356e-10
Ampara,2007,46,1,1.638821149886918e-10
Ampara,2007,47,0,5.343029453419299e-11
Ampara,2007,48,0,1.1231574123517411e-10
Ampara,2007,49,0,1.1456127244219901e-10
Ampara,2007,50,2,3.1974025604612314e-10
Ampara,2007,51,0,2.2758112841919612e-10
Ampara,2007,52,0,2.0244439928183898e-10
Ampara,2008,1,0,6.192661188786428e-11
Ampara,2008,2,0,1.2141940063453337e-10
Ampara,2008,3,0,5.94815014045317e-11
Ampara,2008,4,0,5.622111840726533e-10
Ampara,2008,5,2,7.396051974563507e-10
Ampara,2008,6,3,5.970900229031646e-10
Ampara,2008,7,2,5.949124967259322e-10
Ampara,2008,8,0,2.487324447429303e-10
Ampara,2008,9,0,1.9791832661114162e-10
Ampara,2008,10,1,4.5961214257962245e-10
Ampara,2008,11,1,3.2776954409088103e-10
Ampara,2008,12,0,8.783911969063599e-11
Ampara,2008,13,4,6.082740859680554e-10
Ampara,2008,14,1,5.630372299244773e-10
Ampara,2008,15,1,1.5732064422915707e-10
Ampara,2008,16,4,5.034265400869069e-10
Ampara,2008,17,1,6.781452421621571e-10
Ampara,2008,18,1,2.66743004712078e-10
Ampara,2008,19,1,3.46815131244211e-10
Ampara,2008,20,1,1.7300912603124034e-10
Ampara,2008,21,0,7.708132603027876e-11
Ampara,2008,22,0,1.4632832089073234e-10
Ampara,2008,23,2,3.8472988447145674e-10
Ampara,2008,24,3,3.849948283613829e-10
Ampara,2008,25,5,4.3124305659243426e-10
Ampara,2008,26,0,5.2317318635938396e-11
Ampara,2008,27,2,2.514950549089067e-10
Ampara,2008,28,2,2.966833995594279e-10
Ampara,2008,29,0,5.818622846971404e-11
Ampara,2008,30,0,2.0194834856283717e-10
Ampara,2008,31,1,1.0207102124248164e-10
Ampara,2008,32,1,1.309269911771452e-10
Ampara,2008,33,1,1.2206510898881108e-10
Ampara,2008,34,0,5.792099554849001e-11
Ampara,2008,35,0,1.0628872782702226e-10
Ampara,2008,36,1,1.429363739900034e-10
Ampara,2008,37,0,4.5138088191697194e-11
Ampara,2008,38,1,1.77292324944204e-10
Ampara,2008,39,0,4.4793867084115535e-11
Ampara,2008,40,0,8.746997624944354e-12
Ampara,2008,41,0,4.7148873340298655e-11
Ampara,2008,42,0,1.0587933644520124e-10
Ampara,2008,43,1,1.7426822083084297e-10
Ampara,2008,44,2,1.965302478651924e-10
Ampara,2008,45,0,4.997578749431693e-11
Ampara,2008,46,0,1.278969212583467e-10
Ampara,2008,47,1,1.4287609641902214e-10
Ampara,2008,48,0,1.166940054147876e-10
Ampara,2008,49,0,1.0448595024476356e-10
Ampara,2008,50,0,6.056580164994523e-11
Ampara,2008,51,0,2.1866670830338205e-10
Ampara,2008,52,0,1.315377958938823e-10
Ampara,2009,1,1,1.4480448390420575e-10
Ampara,2009,2,0,6.256787221047537e-11
Ampara,2009,3,3,4.888270593638958e-10
Ampara,2009,4,11,1.1028041338540427e-09
Ampara,2009,5,14,1.4376945500286037e-09
Ampara,2009,6,9,1.6645044005265407e-09
Ampara,2009,7,13,2.09278573879348e-09
Ampara,2009,8,2,7.370554758335797e-10
Ampara,2009,9,3,5.818187850686382e-10
Ampara,2009,10,14,2.346178143846427e-09
Ampara,2009,11,2,1.6681191059769213e-09
Ampara,2009,12,0,1.4997615643331225e-09
Ampara,2009,13,1,2.0313746525994556e-09
Ampara,2009,14,2,9.500678560580054e-10
Ampara,2009,15,0,1.0681106681432585e-11
Ampara,2009,16,3,1.7248991541343168e-09
Ampara,2009,17,9,1.103668772499264e-09
Ampara,2009,18,0,1.0966755205229083e-09
Ampara,2009,19,2,7.939226730493979e-10
Ampara,2009,20,2,1.4503661712164952e-09
Ampara,2009,21,9,1.5812399541557874e-09
Ampara,2009,22,17,2.2772775463999233e-09
Ampara,2009,23,9,2.127482221191395e-09
Ampara,2009,24,5,2.3402462406651776e-09
Ampara,2009,25,18,3.660959856925842e-09
Ampara,2009,26,28,4.262910091845422e-09
Ampara,2009,27,15,2.65465412016928e-09
Ampara,2009,28,12,2.0637909720699276e-09
Ampara,2009,29,17,3.328896882680521e-09
Ampara,2009,30,4,1.909798679152389e-09
Ampara,2009,31,8,1.7905569801400666e-09
Ampara,2009,32,2,1.5459062727775666e-09
Ampara,2009,33,5,1.7056145709134065e-09
Ampara,2009,34,4,9.915638162592375e-10
Ampara,2009,35,7,8.018493281932114e-10
Ampara,2009,36,7,1.2293296173323306e-09
Ampara,2009,37,9,1.1820930064362557e-09
Ampara,2009,38,2,7.258037300354025e-10
Ampara,2009,39,14,1.7925595408256266e-09
Ampara,2009,40,2,6.67672872428152e-10
Ampara,2009,41,3,1.0743908195684154e-09
Ampara,2009,42,12,1.6560686246214644e-09
Ampara,2009,43,6,8.382288872221017e-10
Ampara,2009,44,5,8.016154703956857e-10
Ampara,2009,45,4,6.2262662435834e-10
Ampara,2009,46,8,1.1354094341762966e-09
Ampara,2009,47,12,1.2716768555841606e-09
Ampara,2009,48,14,1.518142941087395e-09
Ampara,2009,49,12,1.4874965205123086e-09
Ampara,2009,50,18,1.973890212301976e-09
Ampara,2009,51,9,1.4413877437353878e-09
Ampara,2009,52,1,1.5109028661619798e-09
Ampara,2009,53,37,5.837389413783144e-09
Ampara,2010,1,38,6.601398529150924e-09
Ampara,2010,2,36,6.237171424786351e-09
Ampara,2010,3,11,2.30695081623689e-09
Ampara,2010,4,14,4.126328683196143e-09
Ampara,2010,5,61,9.509549512661947e-09
Ampara,2010,6,20,5.313344576400113e-09
Ampara,2010,7,38,6.731760466547164e-09
Ampara,2010,8,18,6.134951652304103e-09
Ampara,2010,9,17,2.9515671898330357e-09
Ampara,2010,10,14,3.6289633901755933e-09
Ampara,2010,11,23,5.956853641189481e-09
Ampara,2010,12,13,2.6897129499615596e-09
Ampara,2010,13,15,2.427002643435875e-09
Ampara,2010,14,7,1.1230266613997739e-09
Ampara,2010,15,5,3.022255414422306e-09
Ampara,2010,16,8,3.5551855325019853e-09
Ampara,2010,17,13,2.864603665495497e-09
Ampara,2010,18,6,2.13082151120691e-09
Ampara,2010,19,3,1.4361991306354324e-09
Ampara,2010,20,0,6.937052358813657e-10
Ampara,2010,21,3,1.485221861129268e-09
Ampara,2010,22,4,2.16488091066164e-09
Ampara,2010,23,0,2.243508466353493e-09
Ampara,2010,24,2,4.4960498114012825e-10
Ampara,2010,25,4,2.6830100122957716e-09
Ampara,2010,26,1,3.1430139909094297e-09
Ampara,2010,27,3,3.14484369817094e-09
Ampara,2010,28,5,3.815025919587032e-09
Ampara,2010,29,9,3.0557551640084694e-09
Ampara,2010,30,13,4.410713776988658e-09
Ampara,2010,31,8,5.695125125639459e-09
Ampara,2010,32,1,3.4689902807288003e-09
Ampara,2010,33,5,1.6785520347402128e-09
Ampara,2010,34,5,2.396323886065151e-09
Ampara,2010,35,5,1.6614338601918738e-09
Ampara,2010,36,3,1.085344012891605e-09
Ampara,2010,37,4,7.436927494771822e-10
Ampara,2010,38,1,3.571484971228463e-10
Ampara,2010,39,1,7.181242500272071e-10
Ampara,2010,40,3,9.4977058943413e-10
Ampara,2010,41,2,5.540277139915665e-10
Ampara,2010,42,2,5.51166911028414e-10
Ampara,2010,43,4,6.23206402283887e-10
Ampara,2010,44,0,5.158412604810802e-10
Ampara,2010,45,6,1.110305416869067e-09
Ampara,2010,46,15,1.6786427339034726e-09
Ampara,2010,47,2,6.72948153837571e-10
Ampara,2010,48,0,7.753606700597383e-10
Ampara,2010,49,6,9.678996838477394e-10
Ampara,2010,50,4,8.197739834072754e-10
Ampara,2010,51,1,2.9274477710772577e-10
Ampara,2010,52,2,5.543613882982134e-10
Ampara,2011,1,4,7.502420983341191e-10
Ampara,2011,2,1,2.2278935410421575e-10
Ampara,2011,3,1,3.4222205917124465e-10
Ampara,2011,4,1,8.717596244105205e-10
Ampara,2011,5,0,4.672451367992863e-10
Ampara,2011,6,2,6.718261185731893e-10
Ampara,2011,7,2,9.390481013414175e-10
Ampara,2011,8,2,8.74691554417509e-10
Ampara,2011,9,2,1.3640314403991059e-09
Ampara,2011,10,2,2.1893995427147004e-09
Ampara,2011,11,3,1.3677736496066196e-09
Ampara,2011,12,0,1.3722802454529388e-09
Ampara,2011,13,1,3.5737607455504533e-10
Ampara,2011,14,3,1.142322241219254e-09
Ampara,2011,15,0,1.2649421698878582e-09
Ampara,2011,16,0,2.1580643733196624e-09
Ampara,2011,17,6,3.178205557099517e-09
Ampara,2011,18,3,2.5494378195218078e-09
Ampara,2011,19,0,2.2195376336679037e-09
Ampara,2011,20,1,1.4308672206702478e-09
