District,Year,Week,Week_Start_Date,horizon_step,sarima_prediction,predicted_residual,final_prediction,feature_completeness_pct,residual_lag_1_is_recursive,residual_lag_2_is_recursive,n_sarima_vintages,evidence_tier
Ampara,2026,26,2026-06-22,1,32.050367387860796,17.940828323364258,50.0,85.7,False,False,1,operational_nowcast
Ampara,2026,27,2026-06-29,2,32.050367387860796,17.28002166748047,49.3,80.0,True,False,1,operational_forecast
Ampara,2026,28,2026-07-06,3,32.050367387860796,11.51375961303711,43.6,71.4,True,True,1,operational_forecast
Ampara,2026,29,2026-07-13,4,32.050367387860796,8.763586044311523,40.8,62.9,True,True,1,operational_forecast
Ampara,2026,30,2026-07-20,5,32.050367387860796,3.812819242477417,35.9,54.3,True,True,1,operational_forecast
Ampara,2026,31,2026-07-27,6,32.050367387860796,-3.4785189628601074,28.6,51.4,True,True,1,operational_forecast
Ampara,2026,32,2026-08-03,7,32.050367387860796,-5.977470874786377,26.1,48.6,True,True,1,operational_forecast
Ampara,2026,33,2026-08-10,8,32.050367387860796,-11.763609886169434,20.3,45.7,True,True,1,operational_forecast
Anuradhapura,2026,26,2026-06-22,1,18.089512061632263,12.291824340820312,30.4,88.6,False,False,1,operational_nowcast
Anuradhapura,2026,27,2026-06-29,2,16.573603961263228,10.051878929138184,26.6,82.9,True,False,1,operational_forecast
Anuradhapura,2026,28,2026-07-06,3,16.573603961263228,6.7529120445251465,23.3,74.3,True,True,1,operational_forecast
Anuradhapura,2026,29,2026-07-13,4,16.919861475647465,5.084505558013916,22.0,65.7,True,True,1,operational_forecast
Anuradhapura,2026,30,2026-07-20,5,16.843915253116872,2.32839298248291,19.2,57.1,True,True,1,operational_forecast
Anuradhapura,2026,31,2026-07-27,6,15.833477379286492,-2.245760679244995,13.6,54.3,True,True,1,operational_forecast
Anuradhapura,2026,32,2026-08-03,7,16.340817604954047,-2.3234550952911377,14.0,51.4,True,True,1,operational_forecast
Anuradhapura,2026,33,2026-08-10,8,16.84391525311688,-7.3829345703125,9.5,48.6,True,True,1,operational_forecast
Badulla,2026,26,2026-06-22,1,94.2224080974888,35.54818344116211,129.8,88.6,False,False,1,operational_nowcast
Badulla,2026,27,2026-06-29,2,77.63514561784967,39.87992858886719,117.5,82.9,True,False,1,operational_forecast
Badulla,2026,28,2026-07-06,3,65.05943935492552,33.86555862426758,98.9,74.3,True,True,1,operational_forecast
Badulla,2026,29,2026-07-13,4,53.94899686223035,31.256013870239258,85.2,65.7,True,True,1,operational_forecast
Badulla,2026,30,2026-07-20,5,47.7889059383009,22.495445251464844,70.3,57.1,True,True,1,operational_forecast
Badulla,2026,31,2026-07-27,6,42.46551822090327,8.960469245910645,51.4,54.3,True,True,1,operational_forecast
Badulla,2026,32,2026-08-03,7,38.40364373451196,3.5392143726348877,41.9,51.4,True,True,1,operational_forecast
Badulla,2026,33,2026-08-10,8,35.21689753945779,-5.212150573730469,30.0,48.6,True,True,1,operational_forecast
Batticaloa,2026,26,2026-06-22,1,57.431286675931595,38.18545913696289,95.6,88.6,False,False,1,operational_nowcast
Batticaloa,2026,27,2026-06-29,2,57.431286675931595,30.25526237487793,87.7,82.9,True,False,1,operational_forecast
Batticaloa,2026,28,2026-07-06,3,57.431286675931595,26.438344955444336,83.9,74.3,True,True,1,operational_forecast
Batticaloa,2026,29,2026-07-13,4,57.431286675931595,24.164886474609375,81.6,65.7,True,True,1,operational_forecast
Batticaloa,2026,30,2026-07-20,5,57.431286675931595,16.113229751586914,73.5,57.1,True,True,1,operational_forecast
Batticaloa,2026,31,2026-07-27,6,57.431286675931595,7.381565570831299,64.8,54.3,True,True,1,operational_forecast
Batticaloa,2026,32,2026-08-03,7,57.431286675931595,-0.45769867300987244,57.0,51.4,True,True,1,operational_forecast
Batticaloa,2026,33,2026-08-10,8,57.431286675931595,-8.174331665039062,49.3,48.6,True,True,1,operational_forecast
Colombo,2026,26,2026-06-22,1,367.77118756508605,201.58856201171875,569.4,77.1,False,False,1,operational_nowcast
Colombo,2026,27,2026-06-29,2,337.4954160433122,278.01580810546875,615.5,74.3,True,False,1,operational_forecast
Colombo,2026,28,2026-07-06,3,335.29982933477675,206.6952667236328,542.0,65.7,True,True,1,operational_forecast
Colombo,2026,29,2026-07-13,4,335.13362896668497,203.51976013183594,538.7,65.7,True,True,1,operational_forecast
Colombo,2026,30,2026-07-20,5,335.12100723203923,176.4581756591797,511.6,57.1,True,True,1,operational_forecast
Colombo,2026,31,2026-07-27,6,335.12004846557255,161.3924102783203,496.5,54.3,True,True,1,operational_forecast
Colombo,2026,32,2026-08-03,7,335.11997563483067,146.44332885742188,481.6,51.4,True,True,1,operational_forecast
Colombo,2026,33,2026-08-10,8,335.11997010238383,118.92691802978516,454.0,48.6,True,True,1,operational_forecast
Galle,2026,26,2026-06-22,1,295.02993723402324,329.2442932128906,624.3,88.6,False,False,1,operational_nowcast
Galle,2026,27,2026-06-29,2,295.02993723402324,254.7598419189453,549.8,82.9,True,False,1,operational_forecast
Galle,2026,28,2026-07-06,3,295.02993723402324,236.7718505859375,531.8,74.3,True,True,1,operational_forecast
Galle,2026,29,2026-07-13,4,295.02993723402324,199.671142578125,494.7,65.7,True,True,1,operational_forecast
Galle,2026,30,2026-07-20,5,295.02993723402324,178.80580139160156,473.8,57.1,True,True,1,operational_forecast
Galle,2026,31,2026-07-27,6,295.02993723402324,161.6872100830078,456.7,54.3,True,True,1,operational_forecast
Galle,2026,32,2026-08-03,7,295.02993723402324,146.67222595214844,441.7,51.4,True,True,1,operational_forecast
Galle,2026,33,2026-08-10,8,295.02993723402324,129.35780334472656,424.4,48.6,True,True,1,operational_forecast
Gampaha,2026,26,2026-06-22,1,982.5691379367245,169.06138610839844,1151.6,77.1,False,False,1,operational_nowcast
Gampaha,2026,27,2026-06-29,2,1226.908844510018,290.7095031738281,1517.6,74.3,True,False,1,operational_forecast
Gampaha,2026,28,2026-07-06,3,1135.0134421696523,246.5117645263672,1381.5,65.7,True,True,1,operational_forecast
