District,Year,Week,Week_Start_Date,horizon_step,sarima_prediction,predicted_residual,final_prediction,feature_completeness_pct,residual_lag_1_is_recursive,residual_lag_2_is_recursive,n_sarima_vintages,evidence_tier
Ampara,2026,26,2026-06-22,1,27.632255075134317,18.164663314819336,45.8,85.7,False,False,4,operational_nowcast
Anuradhapura,2026,26,2026-06-22,1,11.874206776847824,12.312664031982422,24.2,88.6,False,False,4,operational_nowcast
Badulla,2026,26,2026-06-22,1,43.05600055237597,35.616920471191406,78.7,88.6,False,False,4,operational_nowcast
Batticaloa,2026,26,2026-06-22,1,50.70847653257757,38.18545913696289,88.9,88.6,False,False,4,operational_nowcast
Colombo,2026,26,2026-06-22,1,269.4933662009041,226.34933471679688,495.8,77.1,False,False,4,operational_nowcast
Galle,2026,26,2026-06-22,1,197.6633915661695,329.2442932128906,526.9,88.6,False,False,4,operational_nowcast
Gampaha,2026,26,2026-06-22,1,498.31631401946777,223.2930145263672,721.6,77.1,False,False,4,operational_nowcast
Hambantota,2026,26,2026-06-22,1,86.2413200658594,148.5157928466797,234.8,85.7,False,False,4,operational_nowcast
Jaffna,2026,26,2026-06-22,1,17.65728113684024,3.9604785442352295,21.6,88.6,False,False,4,operational_nowcast
Kalutara,2026,26,2026-06-22,1,130.37075439120736,194.83531188964844,325.2,77.1,False,False,4,operational_nowcast
Kandy,2026,26,2026-06-22,1,163.28586416488636,153.7781219482422,317.1,77.1,False,False,4,operational_nowcast
Kegalle,2026,26,2026-06-22,1,74.59586837865064,74.75273895263672,149.3,85.7,False,False,4,operational_nowcast
Kilinochchi,2026,26,2026-06-22,1,5.812838662964879,5.781344413757324,11.6,85.7,False,False,4,operational_nowcast
Kurunegala,2026,26,2026-06-22,1,115.16929116635791,214.91299438476562,330.1,85.7,False,False,4,operational_nowcast
Mannar,2026,26,2026-06-22,1,0.0,6.712965488433838,6.7,85.7,False,False,4,operational_nowcast
Matale,2026,26,2026-06-22,1,39.293228017064955,174.81898498535156,214.1,88.6,False,False,4,operational_nowcast
Matara,2026,26,2026-06-22,1,115.49053023826431,215.23597717285156,330.7,77.1,False,False,4,operational_nowcast
Monaragala,2026,26,2026-06-22,1,28.520676895883383,55.184932708740234,83.7,85.7,False,False,4,operational_nowcast
Mullaitivu,2026,26,2026-06-22,1,2.3168309353991394,0.8368341326713562,3.2,85.7,False,False,4,operational_nowcast
Nuwara Eliya,2026,26,2026-06-22,1,17.034797304233493,62.73216247558594,79.8,85.7,False,False,4,operational_nowcast
Polonnaruwa,2026,26,2026-06-22,1,16.44084833406535,35.15403747558594,51.6,85.7,False,False,4,operational_nowcast
Puttalam,2026,26,2026-06-22,1,30.659750288867812,92.02993774414062,122.7,88.6,False,False,4,operational_nowcast
Ratnapura,2026,26,2026-06-22,1,211.28907776341396,183.29139709472656,394.6,88.6,False,False,4,operational_nowcast
Trincomalee,2026,26,2026-06-22,1,29.70211329276626,16.161714553833008,45.9,88.6,False,False,4,operational_nowcast
Vavuniya,2026,26,2026-06-22,1,24.44708026060377,9.75080680847168,34.2,85.7,False,False,4,operational_nowcast
