District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases,is_imputed,is_reporting_anomaly,rain_sum (mm),precipitation_sum (mm),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),temperature_2m_mean (°C),weather_code (wmo code),climate_data_source,Estimated_Population,Source_Type,cases_per_100k
Ampara,2006,52,2006-12-23,2006-12-29,0.0,False,False,,,,,,,,,,,,,,618636,interpolated,0.0
Ampara,2007,1,2006-12-30,2007-01-05,0.0,False,False,0.0,0.0,71.4,83.8,58.4,27.08,21.54,25.76,28.76,23.44,24.2,3.0,observed,623763,interpolated,0.0
Ampara,2007,2,2007-01-06,2007-01-12,0.0,False,False,82.9,82.9,86.85714285714286,93.42857142857144,79.28571428571429,26.357142857142858,23.0,27.62857142857143,29.75714285714286,26.2,24.442857142857143,53.0,observed,623763,interpolated,0.0
Ampara,2007,3,2007-01-13,2007-01-19,0.0,False,False,7.6,7.6,83.0,89.85714285714286,74.57142857142857,27.1,23.52857142857143,28.0,29.928571428571427,26.728571428571428,25.071428571428573,51.0,observed,623763,interpolated,0.0
Ampara,2007,4,2007-01-20,2007-01-26,0.0,False,False,23.0,23.0,77.14285714285714,85.71428571428571,66.28571428571429,26.942857142857143,22.785714285714285,26.97142857142857,29.442857142857143,25.25714285714286,24.6,3.0,observed,623763,interpolated,0.0
Ampara,2007,5,2007-01-27,2007-02-02,0.0,False,False,33.5,33.5,83.71428571428571,91.28571428571428,73.57142857142857,27.071428571428573,23.47142857142857,28.24285714285714,30.61428571428572,26.8,24.97142857142857,51.0,observed,623763,interpolated,0.0
Ampara,2007,6,2007-02-03,2007-02-09,0.0,False,False,4.4,4.4,79.42857142857143,93.14285714285714,65.85714285714286,27.542857142857144,21.442857142857143,27.585714285714285,31.142857142857142,24.471428571428568,24.557142857142857,51.0,observed,623763,interpolated,0.0
Ampara,2007,7,2007-02-10,2007-02-16,0.0,False,False,10.9,10.9,82.42857142857143,93.42857142857144,68.71428571428571,28.942857142857143,23.414285714285715,30.485714285714288,34.385714285714286,27.77142857142857,25.928571428571427,51.0,observed,623763,interpolated,0.0
Ampara,2007,8,2007-02-17,2007-02-23,0.0,False,False,2.2,2.2,74.14285714285714,85.71428571428571,61.71428571428572,28.15714285714285,23.385714285714283,28.15714285714285,30.914285714285715,26.357142857142858,25.585714285714285,3.0,observed,623763,interpolated,0.0
Ampara,2007,9,2007-02-24,2007-03-02,1.0,False,False,10.6,10.6,82.28571428571429,93.85714285714286,69.57142857142857,28.842857142857145,23.428571428571427,30.15714285714285,34.01428571428571,27.65714285714285,25.885714285714283,51.0,observed,623763,interpolated,0.1603173000001603
