District,Year,Week,Week_Start_Date,horizon_step,Risk_0_forecast,predicted_relative_residual,Risk_forecast,cases_forecast,cases_source,climate_source,feature_completeness_pct,evidence_tier
Ampara,2026,26,2026-06-22,1,49.26106485006353,0.4036877562303926,69.55084134513594,50.0,module1_forecast,observed,100.0,operational
Anuradhapura,2026,26,2026-06-22,1,94.54902816650728,-0.330106500423931,63.00767285955395,30.4,module1_forecast,observed,100.0,operational
Badulla,2026,26,2026-06-22,1,177.167469639186,-0.3910008489309284,107.50383775838887,129.8,module1_forecast,observed,100.0,operational
Batticaloa,2026,26,2026-06-22,1,46.134164748873474,0.768449300467761,82.3543806782775,95.6,module1_forecast,observed,100.0,operational
Colombo,2026,26,2026-06-22,1,611.3484317753589,0.18116573352066623,722.2849845881715,569.4,module1_forecast,observed,100.0,operational
Galle,2026,26,2026-06-22,1,469.9627907523313,-0.15774298892344987,395.67171246732926,624.3,module1_forecast,observed,100.0,operational
Gampaha,2026,26,2026-06-22,1,602.2501468883639,0.552364026979759,935.4638272997518,1151.6,module1_forecast,observed,100.0,operational
Hambantota,2026,26,2026-06-22,1,141.46521794711822,0.6579112715515932,235.19469063858162,292.4,module1_forecast,observed,100.0,operational
Jaffna,2026,26,2026-06-22,1,12.975000426272889,1.0138781357550388,27.14394780563832,26.1,module1_forecast,observed,100.0,operational
Kalutara,2026,26,2026-06-22,1,597.2832483078433,-0.2060204398854778,474.0246703153489,385.5,module1_forecast,observed,100.0,operational
Kandy,2026,26,2026-06-22,1,297.91238480142425,0.7899704664871653,534.0443408617964,376.2,module1_forecast,observed,100.0,operational
Kegalle,2026,26,2026-06-22,1,527.6982911307203,-0.6224092527134121,198.6315828371907,179.4,module1_forecast,observed,100.0,operational
Kilinochchi,2026,26,2026-06-22,1,19.065765702975952,-0.4151944928689282,10.73457028790212,17.0,module1_forecast,observed,100.0,operational
Kurunegala,2026,26,2026-06-22,1,378.9545318362382,-0.2585131666939212,280.7312826115459,445.9,module1_forecast,observed,100.0,operational
Mannar,2026,26,2026-06-22,1,38.86105949363616,-0.4887557754206558,19.378736451735126,6.7,module1_forecast,observed,100.0,operational
Matale,2026,26,2026-06-22,1,219.8991984224971,-0.36651369913802195,138.9366160720438,238.4,module1_forecast,observed,100.0,operational
Matara,2026,26,2026-06-22,1,348.5768814959246,0.09620360916542244,382.20743917662577,342.1,module1_forecast,observed,100.0,operational
Monaragala,2026,26,2026-06-22,1,102.47321331581188,-0.034177782552433304,98.93672833110251,100.7,module1_forecast,observed,100.0,operational
Mullaitivu,2026,26,2026-06-22,1,22.82746418977501,-0.573125523732984,9.171336296781288,3.3,module1_forecast,observed,100.0,operational
Nuwara Eliya,2026,26,2026-06-22,1,325.47890243371427,-0.7136582852069061,92.48452876663694,99.4,module1_forecast,observed,100.0,operational
Polonnaruwa,2026,26,2026-06-22,1,90.60781320964134,-0.44308233937862496,50.01800902735335,60.2,module1_forecast,observed,100.0,operational
Puttalam,2026,26,2026-06-22,1,233.47978216873312,-0.47776917614614234,121.45256981905058,152.9,module1_forecast,observed,100.0,operational
Ratnapura,2026,26,2026-06-22,1,411.77523122244855,-0.024531118310632507,401.64939318963195,432.6,module1_forecast,observed,100.0,operational
Trincomalee,2026,26,2026-06-22,1,37.38433467816195,0.24258599268716913,46.69583660970039,49.7,module1_forecast,observed,100.0,operational
Vavuniya,2026,26,2026-06-22,1,40.40858239637834,-0.4711407187934565,20.899313121930582,38.2,module1_forecast,observed,100.0,operational
