Year,Week,Week_Start_Date,Week_End_Date,previous_Year,previous_Week,previous_Week_End_Date
2008,39,2008-08-20,2008-08-26,2008.0,34.0,2008-08-22
2008,35,2008-08-23,2008-08-29,2008.0,39.0,2008-08-26
2009,24,2009-05-06,2009-05-12,2009.0,19.0,2009-05-09
2009,20,2009-05-10,2009-05-16,2009.0,24.0,2009-05-12
2009,22,2009-05-23,2009-05-29,2009.0,21.0,2009-05-23
2010,6,2010-01-06,2010-01-12,2010.0,1.0,2010-01-08
2010,2,2010-01-09,2010-01-15,2010.0,6.0,2010-01-12
2010,45,2010-11-05,2010-11-12,2010.0,44.0,2010-11-05
2011,22,2011-05-27,2011-06-03,2011.0,21.0,2011-05-27
2011,36,2011-09-02,2011-09-09,2011.0,35.0,2011-09-02
2011,47,2011-11-19,2011-11-25,2011.0,46.0,2011-11-19
2012,20,2012-04-12,2012-04-18,2012.0,15.0,2012-04-13
2012,16,2012-04-14,2012-04-20,2012.0,20.0,2012-04-18
2012,22,2012-06-02,2012-06-08,2012.0,23.0,2012-06-08
2012,28,2012-07-06,2012-07-13,2012.0,27.0,2012-07-06
2013,13,2013-03-22,2013-03-29,2013.0,12.0,2013-03-22
2013,23,2013-05-01,2013-05-07,2013.0,18.0,2013-05-03
2013,19,2013-05-03,2013-05-10,2013.0,23.0,2013-05-07
2013,24,2013-05-08,2013-05-14,2013.0,19.0,2013-05-10
2013,20,2013-05-11,2013-05-17,2013.0,24.0,2013-05-14
2013,25,2013-05-15,2013-05-21,2013.0,20.0,2013-05-17
2013,21,2013-05-18,2013-05-24,2013.0,25.0,2013-05-21
2014,1,2014-12-28,2014-01-03,2015.0,1.0,2015-01-02
2016,1,2016-12-26,2016-01-01,2016.0,53.0,2016-12-30
2020,9,2020-02-21,2020-02-28,2020.0,8.0,2020-02-21
2023,40,2023-08-30,2023-09-06,2023.0,35.0,2023-09-01
2023,36,2023-09-02,2023-09-08,2023.0,40.0,2023-09-06
2024,23,2024-05-01,2024-05-07,2024.0,18.0,2024-05-03
2024,19,2024-05-04,2024-05-10,2024.0,23.0,2024-05-07
2024,35,2024-08-17,2024-08-23,2024.0,34.0,2024-08-23
