District,Year,Week,Week_Start_Date,Week_End_Date,Number_of_Cases
Ampara,2006,52,2006-12-23,2006-12-29,0
Ampara,2007,1,2006-12-30,2007-01-05,0
Ampara,2007,2,2007-01-06,2007-01-12,0
Ampara,2007,3,2007-01-13,2007-01-19,0
Ampara,2007,4,2007-01-20,2007-01-26,0
Ampara,2007,5,2007-01-27,2007-02-02,0
Ampara,2007,6,2007-02-03,2007-02-09,0
Ampara,2007,7,2007-02-10,2007-02-16,0
Ampara,2007,8,2007-02-17,2007-02-23,0
Ampara,2007,9,2007-02-24,2007-03-02,1
Ampara,2007,10,2007-03-03,2007-03-09,0
Ampara,2007,11,2007-03-10,2007-03-16,0
Ampara,2007,12,2007-03-17,2007-03-23,0
Ampara,2007,13,2007-03-24,2007-03-30,0
Ampara,2007,14,2007-03-31,2007-04-06,0
Ampara,2007,15,2007-04-07,2007-04-13,0
Ampara,2007,16,2007-04-14,2007-04-20,0
Ampara,2007,17,2007-04-21,2007-04-27,0
Ampara,2007,18,2007-04-28,2007-05-04,0
Ampara,2007,19,2007-05-05,2007-05-11,0
Ampara,2007,20,2007-05-12,2007-05-18,0
Ampara,2007,21,2007-05-19,2007-05-25,0
Ampara,2007,22,2007-05-26,2007-06-01,0
Ampara,2007,23,2007-06-02,2007-06-08,1
Ampara,2007,24,2007-06-09,2007-06-15,1
Ampara,2007,25,2007-06-16,2007-06-22,1
Ampara,2007,26,2007-06-23,2007-06-29,0
Ampara,2007,27,2007-06-30,2007-07-06,0
Ampara,2007,28,2007-07-07,2007-07-13,0
Ampara,2007,29,2007-07-14,2007-07-20,0
Ampara,2007,30,2007-07-21,2007-07-27,0
Ampara,2007,31,2007-07-28,2007-08-03,0
Ampara,2007,32,2007-08-04,2007-08-10,0
Ampara,2007,33,2007-08-11,2007-08-17,0
Ampara,2007,34,2007-08-18,2007-08-24,0
Ampara,2007,35,2007-08-25,2007-08-31,0
Ampara,2007,36,2007-09-01,2007-09-07,0
Ampara,2007,37,2007-09-08,2007-09-14,0
Ampara,2007,38,2007-09-15,2007-09-21,0
Ampara,2007,39,2007-09-22,2007-09-28,0
Ampara,2007,40,2007-09-29,2007-10-05,0
Ampara,2007,41,2007-10-06,2007-10-12,0
Ampara,2007,42,2007-10-13,2007-10-19,0
Ampara,2007,43,2007-10-20,2007-10-26,0
Ampara,2007,44,2007-10-27,2007-11-02,0
Ampara,2007,45,2007-11-03,2007-11-09,1
Ampara,2007,46,2007-11-10,2007-11-16,1
Ampara,2007,47,2007-11-17,2007-11-23,0
Ampara,2007,48,2007-11-24,2007-11-30,0
Ampara,2007,49,2007-12-01,2007-12-07,0
Ampara,2007,50,2007-12-08,2007-12-14,2
Ampara,2007,51,2007-12-15,2007-12-21,0
Ampara,2007,52,2007-12-22,2007-12-28,0
Ampara,2008,1,2007-12-29,2008-01-04,0
Ampara,2008,2,2008-01-05,2008-01-11,0
Ampara,2008,3,2008-01-12,2008-01-18,0
Ampara,2008,4,2008-01-19,2008-01-25,0
Ampara,2008,5,2008-01-26,2008-02-01,2
Ampara,2008,6,2008-02-02,2008-02-08,3
Ampara,2008,7,2008-02-09,2008-02-15,2
Ampara,2008,8,2008-02-16,2008-02-22,0
Ampara,2008,9,2008-02-23,2008-02-29,0
Ampara,2008,10,2008-03-01,2008-03-07,1
Ampara,2008,11,2008-03-08,2008-03-14,1
Ampara,2008,12,2008-03-15,2008-03-21,0
Ampara,2008,13,2008-03-22,2008-03-28,4
Ampara,2008,14,2008-03-29,2008-04-04,1
Ampara,2008,15,2008-04-05,2008-04-11,1
Ampara,2008,16,2008-04-12,2008-04-18,4
Ampara,2008,17,2008-04-19,2008-04-25,1
Ampara,2008,18,2008-04-26,2008-05-02,1
Ampara,2008,19,2008-05-03,2008-05-09,1
Ampara,2008,20,2008-05-10,2008-05-16,1
Ampara,2008,21,2008-05-17,2008-05-23,0
Ampara,2008,22,2008-05-24,2008-05-30,0
Ampara,2008,23,2008-05-31,2008-06-06,2
Ampara,2008,24,2008-06-07,2008-06-13,3
Ampara,2008,25,2008-06-14,2008-06-20,5
Ampara,2008,26,2008-06-21,2008-06-27,0
Ampara,2008,27,2008-06-28,2008-07-04,2
Ampara,2008,28,2008-07-05,2008-07-11,2
Ampara,2008,29,2008-07-12,2008-07-18,0
Ampara,2008,30,2008-07-19,2008-07-25,0
Ampara,2008,31,2008-07-26,2008-08-01,1
Ampara,2008,32,2008-08-02,2008-08-08,1
Ampara,2008,33,2008-08-09,2008-08-15,1
Ampara,2008,34,2008-08-16,2008-08-22,0
Ampara,2008,35,2008-08-23,2008-08-29,0
Ampara,2008,36,2008-08-30,2008-09-05,1
Ampara,2008,37,2008-09-06,2008-09-12,0
Ampara,2008,38,2008-09-13,2008-09-19,1
Ampara,2008,39,2008-08-20,2008-08-26,0
Ampara,2008,40,2008-09-27,2008-10-03,0
Ampara,2008,41,2008-10-04,2008-10-10,0
Ampara,2008,42,2008-10-11,2008-10-17,0
Ampara,2008,43,2008-10-18,2008-10-24,1
Ampara,2008,44,2008-10-25,2008-10-31,2
Ampara,2008,45,2008-11-01,2008-11-07,0
Ampara,2008,46,2008-11-08,2008-11-14,0
Ampara,2008,47,2008-11-15,2008-11-21,1
Ampara,2008,48,2008-11-22,2008-11-28,0
