District,Year,Estimated_Population,Source_Type
Ampara,2006,618636,interpolated
Ampara,2007,623763,interpolated
Ampara,2008,628891,interpolated
Ampara,2009,634019,interpolated
Ampara,2010,639147,interpolated
Ampara,2011,644274,interpolated
Ampara,2012,649402,census
Ampara,2013,657331,interpolated
Ampara,2014,665260,interpolated
Ampara,2015,673189,interpolated
Ampara,2016,681118,interpolated
Ampara,2017,689047,interpolated
Ampara,2018,696976,interpolated
Ampara,2019,704906,interpolated
Ampara,2020,712835,interpolated
Ampara,2021,720764,interpolated
Ampara,2022,728693,interpolated
Ampara,2023,736622,interpolated
Ampara,2024,744551,census
Ampara,2025,752480,extrapolated
Ampara,2026,760409,extrapolated
Anuradhapura,2006,797912,interpolated
Anuradhapura,2007,808356,interpolated
Anuradhapura,2008,818800,interpolated
Anuradhapura,2009,829244,interpolated
Anuradhapura,2010,839687,interpolated
Anuradhapura,2011,850131,interpolated
Anuradhapura,2012,860575,census
Anuradhapura,2013,868867,interpolated
Anuradhapura,2014,877159,interpolated
Anuradhapura,2015,885451,interpolated
Anuradhapura,2016,893743,interpolated
Anuradhapura,2017,902035,interpolated
Anuradhapura,2018,910328,interpolated
Anuradhapura,2019,918620,interpolated
Anuradhapura,2020,926912,interpolated
Anuradhapura,2021,935204,interpolated
Anuradhapura,2022,943496,interpolated
Anuradhapura,2023,951788,interpolated
Anuradhapura,2024,960080,census
Anuradhapura,2025,968372,extrapolated
Anuradhapura,2026,976664,extrapolated
Badulla,2006,796084,interpolated
Badulla,2007,799304,interpolated
Badulla,2008,802524,interpolated
Badulla,2009,805744,interpolated
Badulla,2010,808965,interpolated
Badulla,2011,812185,interpolated
Badulla,2012,815405,census
Badulla,2013,820147,interpolated
Badulla,2014,824889,interpolated
Badulla,2015,829630,interpolated
Badulla,2016,834372,interpolated
Badulla,2017,839114,interpolated
Badulla,2018,843856,interpolated
Badulla,2019,848598,interpolated
Badulla,2020,853340,interpolated
Badulla,2021,858082,interpolated
Badulla,2022,862823,interpolated
Badulla,2023,867565,interpolated
Badulla,2024,872307,census
Badulla,2025,877049,extrapolated
Badulla,2026,881791,extrapolated
Batticaloa,2006,504683,interpolated
Batticaloa,2007,508331,interpolated
Batticaloa,2008,511978,interpolated
Batticaloa,2009,515625,interpolated
Batticaloa,2010,519272,interpolated
Batticaloa,2011,522920,interpolated
Batticaloa,2012,526567,census
Batticaloa,2013,532346,interpolated
Batticaloa,2014,538126,interpolated
Batticaloa,2015,543905,interpolated
Batticaloa,2016,549684,interpolated
Batticaloa,2017,555463,interpolated
Batticaloa,2018,561242,interpolated
Batticaloa,2019,567022,interpolated
Batticaloa,2020,572801,interpolated
Batticaloa,2021,578580,interpolated
Batticaloa,2022,584360,interpolated
Batticaloa,2023,590139,interpolated
Batticaloa,2024,595918,census
Batticaloa,2025,601697,extrapolated
Batticaloa,2026,607476,extrapolated
Colombo,2006,2284490,interpolated
Colombo,2007,2291133,interpolated
Colombo,2008,2297776,interpolated
Colombo,2009,2304419,interpolated
Colombo,2010,2311063,interpolated
Colombo,2011,2317706,interpolated
Colombo,2012,2324349,census
Colombo,2013,2328604,interpolated
Colombo,2014,2332860,interpolated
Colombo,2015,2337116,interpolated
Colombo,2016,2341371,interpolated
Colombo,2017,2345626,interpolated
Colombo,2018,2349882,interpolated
Colombo,2019,2354138,interpolated
Colombo,2020,2358393,interpolated
Colombo,2021,2362648,interpolated
Colombo,2022,2366904,interpolated
Colombo,2023,2371160,interpolated
Colombo,2024,2375415,census
Colombo,2025,2379670,extrapolated
Colombo,2026,2383926,extrapolated
Galle,2006,1023599,interpolated
Galle,2007,1030222,interpolated
Galle,2008,1036844,interpolated
Galle,2009,1043467,interpolated
Galle,2010,1050089,interpolated
Galle,2011,1056712,interpolated
Galle,2012,1063334,census
Galle,2013,1066170,interpolated
Galle,2014,1069007,interpolated
Galle,2015,1071844,interpolated
Galle,2016,1074680,interpolated
Galle,2017,1077516,interpolated
Galle,2018,1080353,interpolated
Galle,2019,1083190,interpolated
Galle,2020,1086026,interpolated
Galle,2021,1088862,interpolated
Galle,2022,1091699,interpolated
Galle,2023,1094536,interpolated
Galle,2024,1097372,census
Galle,2025,1100208,extrapolated
Galle,2026,1103045,extrapolated
Gampaha,2006,2173297,interpolated
Gampaha,2007,2195220,interpolated
Gampaha,2008,2217142,interpolated
Gampaha,2009,2239065,interpolated
Gampaha,2010,2260988,interpolated
Gampaha,2011,2282910,interpolated
Gampaha,2012,2304833,census
Gampaha,2013,2315775,interpolated
Gampaha,2014,2326718,interpolated
Gampaha,2015,2337660,interpolated
Gampaha,2016,2348603,interpolated
Gampaha,2017,2359545,interpolated
Gampaha,2018,2370488,interpolated
Gampaha,2019,2381430,interpolated
Gampaha,2020,2392372,interpolated
Gampaha,2021,2403315,interpolated
Gampaha,2022,2414257,interpolated
Gampaha,2023,2425200,interpolated
Gampaha,2024,2436142,census
Gampaha,2025,2447084,extrapolated
Gampaha,2026,2458027,extrapolated
Hambantota,2006,559818,interpolated
Hambantota,2007,566499,interpolated
Hambantota,2008,573180,interpolated
Hambantota,2009,579861,interpolated
Hambantota,2010,586541,interpolated
Hambantota,2011,593222,interpolated
Hambantota,2012,599903,census
Hambantota,2013,605863,interpolated
Hambantota,2014,611822,interpolated
Hambantota,2015,617782,interpolated
Hambantota,2016,623741,interpolated
Hambantota,2017,629701,interpolated
Hambantota,2018,635660,interpolated
Hambantota,2019,641620,interpolated
Hambantota,2020,647580,interpolated
Hambantota,2021,653539,interpolated
Hambantota,2022,659499,interpolated
Hambantota,2023,665458,interpolated
Hambantota,2024,671418,census
Hambantota,2025,677378,extrapolated
Hambantota,2026,683337,extrapolated
Jaffna,2006,533012,interpolated
Jaffna,2007,541491,interpolated
Jaffna,2008,549969,interpolated
Jaffna,2009,558447,interpolated
Jaffna,2010,566925,interpolated
Jaffna,2011,575404,interpolated
Jaffna,2012,583882,census
Jaffna,2013,584788,interpolated
Jaffna,2014,585694,interpolated
Jaffna,2015,586599,interpolated
Jaffna,2016,587505,interpolated
Jaffna,2017,588411,interpolated
Jaffna,2018,589316,interpolated
Jaffna,2019,590222,interpolated
Jaffna,2020,591128,interpolated
Jaffna,2021,592034,interpolated
Jaffna,2022,592940,interpolated
Jaffna,2023,593845,interpolated
Jaffna,2024,594751,census
Jaffna,2025,595657,extrapolated
Jaffna,2026,596562,extrapolated
Kalutara,2006,1137016,interpolated
Kalutara,2007,1151171,interpolated
Kalutara,2008,1165327,interpolated
Kalutara,2009,1179482,interpolated
Kalutara,2010,1193637,interpolated
Kalutara,2011,1207793,interpolated
Kalutara,2012,1221948,census
Kalutara,2013,1228934,interpolated
Kalutara,2014,1235921,interpolated
Kalutara,2015,1242907,interpolated
Kalutara,2016,1249893,interpolated
Kalutara,2017,1256880,interpolated
Kalutara,2018,1263866,interpolated
Kalutara,2019,1270852,interpolated
Kalutara,2020,1277839,interpolated
Kalutara,2021,1284825,interpolated
Kalutara,2022,1291811,interpolated
Kalutara,2023,1298798,interpolated
Kalutara,2024,1305784,census
Kalutara,2025,1312770,extrapolated
Kalutara,2026,1319757,extrapolated
Kandy,2006,1322825,interpolated
Kandy,2007,1331585,interpolated
Kandy,2008,1340344,interpolated
Kandy,2009,1349104,interpolated
Kandy,2010,1357863,interpolated
Kandy,2011,1366623,interpolated
Kandy,2012,1375382,census
Kandy,2013,1382591,interpolated
Kandy,2014,1389801,interpolated
Kandy,2015,1397010,interpolated
Kandy,2016,1404220,interpolated
Kandy,2017,1411429,interpolated
Kandy,2018,1418638,interpolated
Kandy,2019,1425848,interpolated
Kandy,2020,1433057,interpolated
Kandy,2021,1440267,interpolated
Kandy,2022,1447476,interpolated
Kandy,2023,1454686,interpolated
Kandy,2024,1461895,census
Kandy,2025,1469104,extrapolated
Kandy,2026,1476314,extrapolated
Kegalle,2006,810580,interpolated
Kegalle,2007,815592,interpolated
Kegalle,2008,820603,interpolated
Kegalle,2009,825614,interpolated
Kegalle,2010,830625,interpolated
Kegalle,2011,835637,interpolated
Kegalle,2012,840648,census
Kegalle,2013,843134,interpolated
Kegalle,2014,845619,interpolated
Kegalle,2015,848105,interpolated
Kegalle,2016,850591,interpolated
Kegalle,2017,853076,interpolated
Kegalle,2018,855562,interpolated
Kegalle,2019,858048,interpolated
Kegalle,2020,860533,interpolated
Kegalle,2021,863019,interpolated
Kegalle,2022,865505,interpolated
Kegalle,2023,867990,interpolated
Kegalle,2024,870476,census
Kegalle,2025,872962,extrapolated
Kegalle,2026,875447,extrapolated
Kilinochchi,2006,121012,interpolated
Kilinochchi,2007,119761,interpolated
Kilinochchi,2008,118511,interpolated
Kilinochchi,2009,117261,interpolated
Kilinochchi,2010,116011,interpolated
Kilinochchi,2011,114760,interpolated
Kilinochchi,2012,113510,census
Kilinochchi,2013,115443,interpolated
Kilinochchi,2014,117377,interpolated
Kilinochchi,2015,119310,interpolated
Kilinochchi,2016,121243,interpolated
Kilinochchi,2017,123177,interpolated
Kilinochchi,2018,125110,interpolated
Kilinochchi,2019,127043,interpolated
Kilinochchi,2020,128977,interpolated
Kilinochchi,2021,130910,interpolated
Kilinochchi,2022,132843,interpolated
Kilinochchi,2023,134777,interpolated
Kilinochchi,2024,136710,census
Kilinochchi,2025,138643,extrapolated
Kilinochchi,2026,140577,extrapolated
Kurunegala,2006,1532147,interpolated
Kurunegala,2007,1546533,interpolated
Kurunegala,2008,1560920,interpolated
Kurunegala,2009,1575306,interpolated
Kurunegala,2010,1589692,interpolated
Kurunegala,2011,1604079,interpolated
Kurunegala,2012,1618465,census
Kurunegala,2013,1630939,interpolated
Kurunegala,2014,1643414,interpolated
Kurunegala,2015,1655888,interpolated
Kurunegala,2016,1668362,interpolated
Kurunegala,2017,1680836,interpolated
Kurunegala,2018,1693310,interpolated
Kurunegala,2019,1705785,interpolated
Kurunegala,2020,1718259,interpolated
Kurunegala,2021,1730733,interpolated
Kurunegala,2022,1743208,interpolated
Kurunegala,2023,1755682,interpolated
Kurunegala,2024,1768156,census
Kurunegala,2025,1780630,extrapolated
Kurunegala,2026,1793104,extrapolated
Mannar,2006,127937,interpolated
Mannar,2007,123210,interpolated
Mannar,2008,118482,interpolated
Mannar,2009,113754,interpolated
Mannar,2010,109026,interpolated
Mannar,2011,104298,interpolated
Mannar,2012,99570,census
Mannar,2013,101586,interpolated
Mannar,2014,103601,interpolated
Mannar,2015,105616,interpolated
Mannar,2016,107632,interpolated
Mannar,2017,109648,interpolated
Mannar,2018,111663,interpolated
Mannar,2019,113678,interpolated
Mannar,2020,115694,interpolated
Mannar,2021,117710,interpolated
Mannar,2022,119725,interpolated
Mannar,2023,121740,interpolated
Mannar,2024,123756,census
Mannar,2025,125772,extrapolated
Mannar,2026,127787,extrapolated
Matale,2006,460966,interpolated
