District,Number_of_Cases,Week_Start_Date,Month,Year,Week,Week_End_Date
Ampara,0,12/23/2006,12,2006,52,12/29/2006
Anuradhapura,4,12/23/2006,12,2006,52,12/29/2006
Badulla,2,12/23/2006,12,2006,52,12/29/2006
Batticaloa,0,12/23/2006,12,2006,52,12/29/2006
Colombo,71,12/23/2006,12,2006,52,12/29/2006
Galle,1,12/23/2006,12,2006,52,12/29/2006
Gampaha,12,12/23/2006,12,2006,52,12/29/2006
Hambantota,1,12/23/2006,12,2006,52,12/29/2006
Jaffna,0,12/23/2006,12,2006,52,12/29/2006
Kalmunai,0,12/23/2006,12,2006,52,12/29/2006
Kalutara,12,12/23/2006,12,2006,52,12/29/2006
Kandy,20,12/23/2006,12,2006,52,12/29/2006
Kegalle,1,12/23/2006,12,2006,52,12/29/2006
Kilinochchi,0,12/23/2006,12,2006,52,12/29/2006
Kurunegala,16,12/23/2006,12,2006,52,12/29/2006
Mannar,0,12/23/2006,12,2006,52,12/29/2006
Matale,4,12/23/2006,12,2006,52,12/29/2006
Matara,11,12/23/2006,12,2006,52,12/29/2006
Monaragala,0,12/23/2006,12,2006,52,12/29/2006
Mullaitivu,0,12/23/2006,12,2006,52,12/29/2006
Nuwara Eliya,1,12/23/2006,12,2006,52,12/29/2006
Polonnaruwa,1,12/23/2006,12,2006,52,12/29/2006
Puttalam,6,12/23/2006,12,2006,52,12/29/2006
Ratnapura,1,12/23/2006,12,2006,52,12/29/2006
Trincomalee,0,12/23/2006,12,2006,52,12/29/2006
Vavuniya,3,12/23/2006,12,2006,52,12/29/2006
Ampara,0,12/30/2006,12,2007,1,1/5/2007
Anuradhapura,0,12/30/2006,12,2007,1,1/5/2007
Badulla,0,12/30/2006,12,2007,1,1/5/2007
Batticaloa,0,12/30/2006,12,2007,1,1/5/2007
Colombo,40,12/30/2006,12,2007,1,1/5/2007
Galle,10,12/30/2006,12,2007,1,1/5/2007
Gampaha,11,12/30/2006,12,2007,1,1/5/2007
Hambantota,1,12/30/2006,12,2007,1,1/5/2007
Jaffna,0,12/30/2006,12,2007,1,1/5/2007
Kalmunai,0,12/30/2006,12,2007,1,1/5/2007
Kalutara,20,12/30/2006,12,2007,1,1/5/2007
Kandy,41,12/30/2006,12,2007,1,1/5/2007
Kegalle,4,12/30/2006,12,2007,1,1/5/2007
Kilinochchi,0,12/30/2006,12,2007,1,1/5/2007
Kurunegala,11,12/30/2006,12,2007,1,1/5/2007
Mannar,2,12/30/2006,12,2007,1,1/5/2007
Matale,2,12/30/2006,12,2007,1,1/5/2007
Matara,8,12/30/2006,12,2007,1,1/5/2007
Monaragala,0,12/30/2006,12,2007,1,1/5/2007
Mullaitivu,0,12/30/2006,12,2007,1,1/5/2007
Nuwara Eliya,4,12/30/2006,12,2007,1,1/5/2007
Polonnaruwa,4,12/30/2006,12,2007,1,1/5/2007
Puttalam,13,12/30/2006,12,2007,1,1/5/2007
Ratnapura,5,12/30/2006,12,2007,1,1/5/2007
Trincomalee,2,12/30/2006,12,2007,1,1/5/2007
Vavuniya,3,12/30/2006,12,2007,1,1/5/2007
Ampara,0,1/6/2007,1,2007,2,1/12/2007
Anuradhapura,0,1/6/2007,1,2007,2,1/12/2007
Badulla,2,1/6/2007,1,2007,2,1/12/2007
Batticaloa,0,1/6/2007,1,2007,2,1/12/2007
Colombo,43,1/6/2007,1,2007,2,1/12/2007
Galle,4,1/6/2007,1,2007,2,1/12/2007
Gampaha,13,1/6/2007,1,2007,2,1/12/2007
Hambantota,2,1/6/2007,1,2007,2,1/12/2007
Jaffna,0,1/6/2007,1,2007,2,1/12/2007
Kalmunai,0,1/6/2007,1,2007,2,1/12/2007
Kalutara,7,1/6/2007,1,2007,2,1/12/2007
Kandy,28,1/6/2007,1,2007,2,1/12/2007
Kegalle,16,1/6/2007,1,2007,2,1/12/2007
Kilinochchi,0,1/6/2007,1,2007,2,1/12/2007
Kurunegala,17,1/6/2007,1,2007,2,1/12/2007
Mannar,0,1/6/2007,1,2007,2,1/12/2007
Matale,7,1/6/2007,1,2007,2,1/12/2007
Matara,8,1/6/2007,1,2007,2,1/12/2007
Monaragala,1,1/6/2007,1,2007,2,1/12/2007
Mullaitivu,0,1/6/2007,1,2007,2,1/12/2007
Nuwara Eliya,2,1/6/2007,1,2007,2,1/12/2007
Polonnaruwa,0,1/6/2007,1,2007,2,1/12/2007
Puttalam,9,1/6/2007,1,2007,2,1/12/2007
Ratnapura,3,1/6/2007,1,2007,2,1/12/2007
Trincomalee,1,1/6/2007,1,2007,2,1/12/2007
Vavuniya,0,1/6/2007,1,2007,2,1/12/2007
Ampara,0,1/13/2007,1,2007,3,1/19/2007
Anuradhapura,0,1/13/2007,1,2007,3,1/19/2007
Badulla,2,1/13/2007,1,2007,3,1/19/2007
Batticaloa,0,1/13/2007,1,2007,3,1/19/2007
