District,Population_2001,Population_2012,Population_2024
Kandy,1279028,1375382,1461895
Matale,441328,484531,526870
Nuwara Eliya,703610,711644,725280
Ampara,592997,649402,744551
Batticaloa,486447,526567,595918
Trincomalee,340158,379541,442745
Anuradhapura,745693,860575,960080
Polonnaruwa,358984,406088,447530
Jaffna,490621,583882,594751
Kilinochchi,127263,113510,136710
Mannar,151577,99570,123756
Mullaitivu,121667,92238,122619
Vavuniya,149835,172115,172312
Kurunegala,1460215,1618465,1768156
Puttalam,709677,762396,818816
Kegalle,785524,840648,870476
Ratnapura,1015807,1088007,1145423
Galle,990487,1063334,1097372
Hambantota,526414,599903,671418
Matara,761370,814048,837889
Badulla,779983,815405,872307
Monaragala,397375,451058,527585
Colombo,2251274,2324349,2375415
Gampaha,2063684,2304833,2436142
Kalutara,1066239,1221948,1305784
