district,old_max_date,new_max_date,rows_appended,observed_rows,forecast_rows
Matara,2026-08-13,2026-08-13,0,0,0
Galle,2026-08-13,2026-08-13,0,0,0
Hambantota,2026-08-13,2026-08-13,0,0,0
Kalutara,2026-08-13,2026-08-13,0,0,0
Ratnapura,2026-08-13,2026-08-13,0,0,0
Monaragala,2026-08-13,2026-08-13,0,0,0
Colombo,2026-08-13,2026-08-13,0,0,0
Nuwara Eliya,2026-08-13,2026-08-13,0,0,0
Gampaha,2026-08-13,2026-08-13,0,0,0
Badulla,2026-08-13,2026-08-13,0,0,0
Kegalle,2026-08-13,2026-08-13,0,0,0
Kandy,2026-08-13,2026-08-13,0,0,0
Ampara,2026-08-13,2026-08-13,0,0,0
Kurunegala,2026-08-13,2026-08-13,0,0,0
Matale,2026-08-13,2026-08-13,0,0,0
Batticaloa,2026-08-13,2026-08-13,0,0,0
Polonnaruwa,2026-08-13,2026-08-13,0,0,0
Puttalam,2026-08-13,2026-08-13,0,0,0
Anuradhapura,2026-08-13,2026-08-13,0,0,0
Trincomalee,2026-08-13,2026-08-13,0,0,0
Vavuniya,2026-08-13,2026-08-13,0,0,0
Mannar,2026-08-13,2026-08-13,0,0,0
Mullaitivu,2026-08-13,2026-08-13,0,0,0
Kilinochchi,2026-08-13,2026-08-13,0,0,0
Jaffna,2026-08-13,2026-08-13,0,0,0
