District,order_p,order_d,order_q,seasonal_P,seasonal_D,seasonal_Q,seasonal_m,use_log1p,raw_aggregate_mase,log1p_aggregate_mase,fallback_used
Ampara,0,1,1,0,0,0,52,True,1.0492581821167635,0.9671607710123138,False
Anuradhapura,0,1,2,1,0,0,52,True,0.8209848331791219,0.7946360513209894,False
Badulla,1,1,1,1,0,0,52,False,1.3574830411312204,1.51015626723615,False
Batticaloa,0,1,1,0,0,0,52,True,2.005561394998879,1.9232451385776816,False
Colombo,1,1,1,0,0,0,52,True,1.7011706929577344,1.6268529281356776,False
Galle,0,1,1,0,0,0,52,True,1.253714847330372,1.2051883158193593,False
Gampaha,2,1,0,0,0,0,52,False,1.0547031700485603,1.079129621084335,False
Hambantota,0,1,1,0,0,0,52,False,0.9628110074446298,0.9681443120610743,False
Jaffna,2,1,2,1,0,0,52,False,2.217430796885028,2.255258202072799,False
Kalutara,2,1,1,0,0,0,52,True,1.5986425131591693,1.4193331694606859,False
Kandy,0,1,1,0,0,0,52,True,1.304971706230842,1.2731115930538708,False
Kegalle,0,1,2,0,0,0,52,False,0.5911123046014088,0.6225416927486115,False
Kilinochchi,0,1,1,1,0,0,52,True,1.5059382765263354,1.4484705895595722,False
Kurunegala,1,1,1,0,0,0,52,True,0.8566313115758937,0.8561816109045319,False
Mannar,0,0,0,1,0,0,52,False,0.8379468291923251,1.0975976263119884,False
Matale,1,1,2,0,0,0,52,True,0.8622674810255776,0.8405821818276815,False
Matara,2,1,2,0,0,0,52,True,0.9496738257367714,0.9432393111251403,False
Monaragala,1,1,2,1,0,0,52,True,0.6933000007780119,0.6268373754285695,False
Mullaitivu,0,1,1,0,0,0,52,True,3.3233985086069087,2.9234361280399113,False
Nuwara Eliya,0,1,2,0,0,0,52,True,1.0509422762985343,0.9348183695556793,False
Polonnaruwa,1,1,2,1,0,0,52,True,1.1954404343231984,1.044208594839621,False
Puttalam,0,1,1,0,0,0,52,True,1.220077013471371,0.8858081719311155,False
Ratnapura,2,1,0,0,0,0,52,False,0.8976111272905326,0.916368377414895,False
Trincomalee,0,1,2,0,0,0,52,True,1.0497338010685855,1.0390630857893095,False
Vavuniya,1,0,2,0,0,0,52,False,0.380282912231764,0.40408617859063606,False
