artifact,rows,max_year,max_week,refreshed_at_utc
climate_weekly,25400,2026.0,25.0,2026-08-08T07:59:10.932416+00:00
module1_weekly,25350,2026.0,25.0,2026-08-08T07:59:10.932416+00:00
module2_weekly,25450,2026.0,25.0,2026-08-08T07:59:10.932416+00:00
future_forecast,200,2026.0,33.0,2026-08-08T07:59:10.932416+00:00
nowcast_next_week,25,2026.0,26.0,2026-08-08T07:59:10.932416+00:00
nowcast_prospective_accuracy,0,,,2026-08-08T07:59:10.932416+00:00
live_risk,200,2026.0,25.0,2026-08-08T07:59:10.932416+00:00
future_risk,225,2026.0,33.0,2026-08-08T07:59:10.932416+00:00
module3_master_table,25348,2026.0,25.0,2026-08-08T07:59:10.932416+00:00
module3_future_hotspot_forecast,25,2026.0,26.0,2026-08-08T07:59:10.932416+00:00
