District,model,fold_id,rmse,mae,smape,mase,n_obs_scored,n_obs_total,residual_variance_reduction,ljung_box_stat_lag26,ljung_box_pvalue_lag26,ljung_box_stat_lag52,ljung_box_pvalue_lag52
Ampara,stage1_only,1,12.325015678651924,9.228632162658101,94.0404833430098,2.3875068281503546,52,52,,,,,
Ampara,stage1_plus_stage2,1,12.325015678651924,9.228632162658101,94.0404833430098,2.3875068281503546,52,52,,,,,
Ampara,stage1_only,2,3.644993945816307,2.2952439475011515,78.52493989296721,0.3858384222092453,52,52,,,,,
Ampara,stage1_plus_stage2,2,3.893439293297763,2.596132738907926,107.5446247520414,0.4364188655922806,52,52,,,,,
Ampara,stage1_only,3,5.804785273695043,5.095878181095291,114.99581664355235,0.7469645254882455,52,52,,,,,
Ampara,stage1_plus_stage2,3,4.149217026221387,2.977820285767765,96.55857439166378,0.4364951511202925,52,52,,,,,
Ampara,stage1_only,4,10.3864287939592,5.83794430114628,91.64011756242361,0.9204763603990496,52,52,,,,,
Ampara,stage1_plus_stage2,4,8.41452003801792,4.982517506281665,71.06307194818446,0.7856000919546592,52,52,,,,,
Ampara,stage1_only,5,14.780678838614069,6.382025438181523,74.53243904272978,1.013845181625578,52,52,,,,,
Ampara,stage1_plus_stage2,5,11.998954725349849,5.33350521229346,72.87843879180265,0.8472778137655599,52,52,,,,,
Ampara,stage1_only,6,14.669086158814421,11.069821245151525,112.85913057921199,1.6300222221825063,51,52,,,,,
Ampara,stage1_plus_stage2,6,10.074340058114908,4.725365413052755,74.83777255619869,0.6958062339608425,51,52,,,,,
Ampara,stage1_only,7,6.8624431970579955,5.355287873927029,82.17230178049142,0.7215728791167912,52,52,,,,,
Ampara,stage1_plus_stage2,7,6.1461384304495255,4.278635206604006,74.36362641606478,0.5765044190716437,52,52,,,,,
Ampara,stage1_only,8,150.89813727220178,101.15140964238722,153.23531598022672,13.726428914779396,52,52,,,,,
Ampara,stage1_plus_stage2,8,101.37734378746282,56.405729189913316,52.64595465521828,7.654359290186257,52,52,,,,,
Ampara,stage1_only,9,79.24584610287211,76.36090169440646,111.19402159971258,4.523150037473132,52,52,,,,,
Ampara,stage1_plus_stage2,9,18.27559573368388,14.623101533977861,41.96920972704747,0.8661825722813644,52,52,,,,,
Ampara,stage1_only,10,27.88646354037214,19.05893217313399,63.739879362669306,0.7979134292094289,52,52,,,,,
Ampara,stage1_plus_stage2,10,17.36980321506566,10.846569259007453,46.26705311470335,0.45409801525040383,52,52,,,,,
Ampara,stage1_only,11,86.48579687690652,83.47341945214045,151.61256364973218,3.3835429716019134,51,52,,,,,
Ampara,stage1_plus_stage2,11,18.441662263605746,10.780515441919137,67.53348963669418,0.43698146659326836,51,52,,,,,
