District,scope,dm_stat,p_value,mean_loss_diff,n_obs
Ampara,validation_and_holdout,2.534302385875428,0.011267145725613492,1327.3949314106599,828
Ampara,holdout_only,1.3051366123660357,0.19184633373523585,174.49182742704986,104
Anuradhapura,validation_and_holdout,2.484498770353431,0.012973395621749928,298.49284602609663,828
Anuradhapura,holdout_only,1.7688930121284,0.07691173056226575,59.066695820506474,104
Badulla,validation_and_holdout,2.368939107659258,0.01783919022002256,1029.0589720353657,828
Badulla,holdout_only,3.698740670050745,0.00021667184013707264,94.25108948863992,104
Batticaloa,validation_and_holdout,2.076670815125818,0.03783195201427736,3011.002257322259,828
Batticaloa,holdout_only,2.0387100615353226,0.04147897298565928,611.4459592142655,104
Colombo,validation_and_holdout,2.1070552687902917,0.03511278907421023,54994.894233346226,828
Colombo,holdout_only,1.7904077878426001,0.07338837925693209,11138.284136902254,104
Galle,validation_and_holdout,2.9977203534936216,0.002720071393079504,3286.1333377653627,828
Galle,holdout_only,1.2543783030406739,0.20970453498060015,4143.062859976913,104
Gampaha,validation_and_holdout,2.147968772161264,0.031716236308421575,18891.021222733234,828
Gampaha,holdout_only,2.060499292032379,0.03935083346566115,9857.856699410779,104
Hambantota,validation_and_holdout,2.9566573604365356,0.0031099349608056936,371.21118380208304,828
Hambantota,holdout_only,1.3965267283088594,0.16255593756456643,724.8075394135175,104
Jaffna,validation_and_holdout,1.9599211607509581,0.050005005888761556,20321.1710805635,828
Jaffna,holdout_only,1.2203713571923385,0.2223241303538439,292.64194398577445,104
Kalutara,validation_and_holdout,1.847622735703008,0.06465693832165442,3795.3494686524805,828
Kalutara,holdout_only,1.035760231371325,0.30031401495185683,1468.2601395290067,104
Kandy,validation_and_holdout,2.4449940419805403,0.014485453489804678,11938.407994997193,828
Kandy,holdout_only,1.4630333722359072,0.14345824750302993,1270.9398558344012,104
Kegalle,validation_and_holdout,1.4035557458863799,0.16045118094564215,1233.1863439610174,828
Kegalle,holdout_only,0.7609588655481179,0.4466816368464519,89.13322647037747,104
Kilinochchi,validation_and_holdout,1.9417109206020573,0.05217210591882693,32.120141387291156,828
Kilinochchi,holdout_only,1.150558343852916,0.24991397860119857,21.93044835990412,104
Kurunegala,validation_and_holdout,1.8135764439296964,0.0697429597591368,3831.7040797202158,828
Kurunegala,holdout_only,1.0356680087600896,0.3003570520340131,841.4702083294113,104
Mannar,validation_and_holdout,0.40689890680137286,0.6840822389215531,9.029840745248464,777
Mannar,holdout_only,1.6631501489932787,0.09628238354856777,27.37408092389988,104
Matale,validation_and_holdout,1.9550445014677327,0.05057781792454108,2301.87561753068,828
Matale,holdout_only,1.6130590532174367,0.10673167869502032,682.4346748177219,104
Matara,validation_and_holdout,2.2278925602487356,0.025887680420631165,1906.6360515107722,828
Matara,holdout_only,1.5694108395173487,0.11655223995352637,2881.480266910137,104
Monaragala,validation_and_holdout,1.7898555265293545,0.07347713998743854,366.5814456325505,828
Monaragala,holdout_only,1.1148399167466425,0.26491902768563813,60.99274909456791,104
Mullaitivu,validation_and_holdout,2.421179701952751,0.015470227551854121,9.948954678448786,828
Mullaitivu,holdout_only,2.6546305901026046,0.007939530161936048,1.0703071355241471,104
Nuwara Eliya,validation_and_holdout,2.2323885405688215,0.025589294533792106,49.28507532622226,828
Nuwara Eliya,holdout_only,1.25687144271042,0.20880019082348422,63.514066205057745,104
Polonnaruwa,validation_and_holdout,2.36952114248303,0.017811136722857945,74.3249112892384,828
Polonnaruwa,holdout_only,1.4842792355674645,0.13773485661934215,42.4796701242082,104
Puttalam,validation_and_holdout,-0.23486230883599996,0.8143156045475981,-1056.7196932013717,828
Puttalam,holdout_only,2.118383358165549,0.03414261411701114,159.48552340493168,104
Ratnapura,validation_and_holdout,1.7002854684718598,0.08907724245217086,2632.0028223251966,828
Ratnapura,holdout_only,1.5365195144562431,0.12441101543537592,3922.309892513946,104
Trincomalee,validation_and_holdout,1.7127408459152318,0.08676022707384523,3933.8237189420465,828
Trincomalee,holdout_only,1.6053089302007717,0.10842583486500734,185.64540374382145,104
Vavuniya,validation_and_holdout,0.7946129707713226,0.4268386709164207,22.62645244743705,776
Vavuniya,holdout_only,1.1502211351922578,0.2500528033423177,18.204937709902048,104
