District,scope,dm_stat,p_value,mean_loss_diff,n_obs
Ampara,validation_and_holdout,2.196934554702708,0.028025120560607908,1525.8949378003413,828
Ampara,holdout_only,1.299045287016024,0.19392838790330957,179.05861903081637,104
Anuradhapura,validation_and_holdout,1.817493761749818,0.06914154264355576,328.755503819346,828
Anuradhapura,holdout_only,1.4757234139037745,0.14001815776140836,53.78867989476981,104
Badulla,validation_and_holdout,2.3781879972657793,0.017397953295400725,1063.938309938311,828
Badulla,holdout_only,3.1407978180527265,0.0016848830342626187,86.7376529545396,104
Batticaloa,validation_and_holdout,3.08445526641095,0.002039252744357123,3724.7699812989767,828
Batticaloa,holdout_only,2.0264048571252857,0.04272331362863846,617.8400631008743,104
Colombo,validation_and_holdout,3.32679689915211,0.0008785037807950147,31527.302827513708,828
Colombo,holdout_only,2.0176244136519363,0.0436303922876462,12620.370012329193,104
Galle,validation_and_holdout,3.0205802252677274,0.0025229086251101762,3211.7696647965868,828
Galle,holdout_only,1.3047190481897168,0.19198853289088125,3776.9035997857363,104
Gampaha,validation_and_holdout,2.6171035528538114,0.008867943405215684,17393.988387842248,828
Gampaha,holdout_only,1.9983094234653034,0.0456831244971061,10727.384482905456,104
Hambantota,validation_and_holdout,2.9249649231411565,0.003444950518576295,365.43226740954196,828
Hambantota,holdout_only,1.3977846130858742,0.16217775631878095,707.6409110013857,104
Jaffna,validation_and_holdout,2.2486404142275003,0.02453538298355351,15394.905733740847,828
Jaffna,holdout_only,1.2240577619423572,0.22093043830959558,396.52239468778095,104
Kalutara,validation_and_holdout,2.296136298071257,0.021668089447634653,3402.0710883206084,828
Kalutara,holdout_only,1.0342787152783441,0.30100588436492615,2155.338282934939,104
Kandy,validation_and_holdout,2.9134479087954737,0.0035746147011552765,10635.79838776959,828
Kandy,holdout_only,1.6251708498177853,0.10412615979620465,1420.0753703516032,104
Kegalle,validation_and_holdout,1.1941162949519395,0.2324324799479054,2018.25013028096,828
Kegalle,holdout_only,1.305968669146746,0.1915632124138309,126.93855584458564,104
Kilinochchi,validation_and_holdout,-0.9661872125274209,0.33395051040448065,-140.17190003535615,828
Kilinochchi,holdout_only,-0.8878926637219593,0.37459849135891465,-173.76180992574123,104
Kurunegala,validation_and_holdout,2.0331332232603274,0.042039065253001606,3335.1542412034096,828
Kurunegala,holdout_only,1.1069879054607639,0.2682991574602265,653.4281170916541,104
Mannar,validation_and_holdout,-0.9575884809342308,0.3382703099745843,-150.96720570556207,777
Mannar,holdout_only,-0.8373527735221523,0.4023943033865436,-201.807447060842,104
Matale,validation_and_holdout,1.8693457732108516,0.06157472371335038,2202.217394881314,828
Matale,holdout_only,-0.5494958571618018,0.5826652068827334,-499.8987935348902,104
Matara,validation_and_holdout,2.460249391281781,0.013884049964966616,1877.3669190983348,828
Matara,holdout_only,1.5168631240784842,0.12930124561678857,3524.663673932259,104
Monaragala,validation_and_holdout,1.9172235633932373,0.055209535746216565,435.82255075602205,828
Monaragala,holdout_only,1.0579739202623424,0.29006733242003313,57.86901787338861,104
Mullaitivu,validation_and_holdout,-0.625151076503941,0.5318719079551528,-14.68967716649737,828
Mullaitivu,holdout_only,1.1362554777964151,0.2558496581864844,0.8965384761238707,104
Nuwara Eliya,validation_and_holdout,2.028331422107554,0.04252643405591794,56.945310915078444,828
Nuwara Eliya,holdout_only,1.138375305861096,0.2549638009412416,77.60419860808256,104
Polonnaruwa,validation_and_holdout,1.98255052351709,0.04741765857874891,78.39211073994191,828
Polonnaruwa,holdout_only,1.238764043037192,0.2154328935621126,38.7281492767391,104
Puttalam,validation_and_holdout,2.390903165048034,0.016806985057208124,4066.9063226134194,828
Puttalam,holdout_only,2.0388587861575487,0.041464123219626,159.42204838974814,104
Ratnapura,validation_and_holdout,1.9474601651612515,0.05147959101792199,2221.945217434184,828
Ratnapura,holdout_only,1.5837638499403033,0.11324746863830093,3949.7122256312,104
Trincomalee,validation_and_holdout,1.8663309665998558,0.0619950748773368,4256.734533008812,828
Trincomalee,holdout_only,1.6537398948143505,0.09818037296761939,189.25848879299244,104
Vavuniya,validation_and_holdout,1.4167842813493534,0.15654600673085284,46.85054531961563,776
Vavuniya,holdout_only,15384450.81529289,0.0,1.7146838503599702,104
