horizon,District,split,approach,n,mae,mase,smape_pct
2,Ampara,pre_holdout,sarima_alone,672,15.703344351262373,0.570879648776147,67.16281294359716
2,Ampara,pre_holdout,recursive,672,14.869791666666666,0.5405766602423601,69.54299437174622
2,Ampara,pre_holdout,direct,672,15.213275859346801,0.5530636904501407,66.03565446324127
2,Ampara,holdout,sarima_alone,101,7.23057436857614,0.2628604241013622,41.42428598743167
2,Ampara,holdout,recursive,101,7.626732673267328,0.2772623698769242,46.637190563551414
2,Ampara,holdout,direct,101,6.990512370057904,0.25413320610670787,40.27038619749298
2,Ampara,all,sarima_alone,773,14.596294198285262,0.5306339286051857,63.79982300495198
2,Ampara,all,recursive,773,13.923415265200516,0.5061720763783122,66.55012737998986
2,Ampara,all,direct,773,14.138891496580722,0.5140055029744787,62.66917051131296
2,Anuradhapura,pre_holdout,sarima_alone,672,7.245533932084798,0.5191958020607504,65.07822660009484
2,Anuradhapura,pre_holdout,recursive,672,7.21235119047619,0.5168180145428749,69.6008944713049
2,Anuradhapura,pre_holdout,direct,672,7.1426249804643245,0.5118216187118569,63.40850775922837
2,Anuradhapura,holdout,sarima_alone,101,4.939977032096017,0.3539856912384632,45.994976715578474
2,Anuradhapura,holdout,recursive,101,4.968316831683168,0.3560164463373712,48.452437504932
2,Anuradhapura,holdout,direct,101,4.544571641180201,0.3256519865039369,42.01375656342885
2,Anuradhapura,all,sarima_alone,773,6.944290404401918,0.4976094874513702,62.58481361389025
2,Anuradhapura,all,recursive,773,6.919146183699871,0.4958077190852347,66.83764200868697
2,Anuradhapura,all,direct,773,6.803163936133542,0.487496737918843,60.61307454994538
2,Badulla,pre_holdout,sarima_alone,672,10.959708200277788,0.5841129799815641,62.41422865549886
2,Badulla,pre_holdout,recursive,672,12.185267857142858,0.6494308963197468,69.83359576679575
2,Badulla,pre_holdout,direct,672,10.601030350387967,0.5649967422201233,61.68132023378673
2,Badulla,holdout,sarima_alone,101,6.462777810415716,0.34444278413406754,40.80205817062209
2,Badulla,holdout,recursive,101,7.193069306930695,0.3833646910397412,43.97754339628324
2,Badulla,holdout,direct,101,5.942427454956427,0.31670998402593253,38.560616683883566
2,Badulla,all,sarima_alone,773,10.372140322689084,0.5527977280014903,59.59038749253308
2,Badulla,all,recursive,773,11.532988357050453,0.6146667478937693,66.45524998487886
2,Badulla,all,direct,773,9.99233838086845,0.5325556522102742,58.66037449182008
2,Batticaloa,pre_holdout,sarima_alone,672,17.137607741846953,0.5224317472401295,53.51054423381585
2,Batticaloa,pre_holdout,recursive,672,15.011309523809524,0.4576125665273873,53.92036448551669
2,Batticaloa,pre_holdout,direct,672,15.094085036420434,0.46013593830327526,50.538338734520224
2,Batticaloa,holdout,sarima_alone,101,10.881415805069413,0.3317147385517246,36.25889336192276
2,Batticaloa,holdout,recursive,101,10.521782178217824,0.3207514800343995,36.438947739644995
2,Batticaloa,holdout,direct,101,9.657415184178166,0.2944016670526158,32.55453731595602
2,Batticaloa,all,sarima_alone,773,16.32017516019814,0.4975127072950727,51.25644754809632
2,Batticaloa,all,recursive,773,14.42470892626132,0.439730328835548,51.63624664420616
2,Batticaloa,all,direct,773,14.383731019503914,0.4384811370143792,48.18857942886047
2,Colombo,pre_holdout,sarima_alone,672,78.20947257907777,0.5133668990295436,45.991444641270995
2,Colombo,pre_holdout,recursive,672,66.98616071428572,0.4396970912828651,44.394053198194506
2,Colombo,pre_holdout,direct,672,73.98595115673281,0.4856437086783775,44.077154492363995
2,Colombo,holdout,sarima_alone,101,54.87900637588385,0.3602257424319566,22.58505562316627
2,Colombo,holdout,recursive,101,45.14455445544555,0.29632880985649696,19.79400784321677
2,Colombo,holdout,direct,101,47.32006666450123,0.3106088697998061,20.419356842422026
2,Colombo,all,sarima_alone,773,75.16111929767727,0.49335751116879806,42.93317130255356
2,Colombo,all,recursive,773,64.13234152652005,0.4209646250162892,41.179817000454854
2,Colombo,all,direct,773,70.50179289836879,0.4627736973889393,40.986032160353474
2,Galle,pre_holdout,sarima_alone,672,15.900067207479562,0.40625387515857053,61.156452154255504
2,Galle,pre_holdout,recursive,672,16.44017857142857,0.4200539636587152,62.23545595292528
2,Galle,pre_holdout,direct,672,15.524359679556905,0.39665437868140935,58.606223242774256
2,Galle,holdout,sarima_alone,101,14.185227873977157,0.36243895818878713,24.116728154993574
2,Galle,holdout,recursive,101,15.458415841584161,0.3949694839341309,26.962037197002648
2,Galle,holdout,direct,101,14.315416062262623,0.36576532500854275,24.535080541331418
2,Galle,all,sarima_alone,773,15.676006699479895,0.40052902830999604,56.316850441544695
2,Galle,all,recursive,773,16.31190168175938,0.4167764313790477,57.62663927200913
2,Galle,all,direct,773,15.366399388034624,0.39261842212130643,54.15449567117565
2,Gampaha,pre_holdout,sarima_alone,672,52.65012625328625,0.4413623696651304,50.19905606809005
2,Gampaha,pre_holdout,recursive,672,56.50684523809524,0.4736929783721047,59.1109475258297
2,Gampaha,pre_holdout,direct,672,52.727683199540394,0.4420125241855212,51.789230917678765
2,Gampaha,holdout,sarima_alone,101,37.236675645136785,0.3121524784598899,24.826246726697942
2,Gampaha,holdout,recursive,101,41.37029702970297,0.3468043408469571,28.255178885327165
2,Gampaha,holdout,direct,101,39.183960428644184,0.32847643222074213,26.81333765840629
2,Gampaha,all,sarima_alone,773,50.636208385985995,0.4244798353679386,46.88385070783054
2,Gampaha,all,recursive,773,54.529107373868044,0.45711373854022896,55.07933998030477
2,Gampaha,all,direct,773,50.95806353607272,0.42717792484730305,48.52588652028352
2,Hambantota,pre_holdout,sarima_alone,672,8.328802159233819,0.4641587114577067,56.20157829517153
2,Hambantota,pre_holdout,recursive,672,9.214434523809524,0.5135144254376528,63.47767308501508
2,Hambantota,pre_holdout,direct,672,8.252959948478082,0.4599320745241522,55.31883440496404
2,Hambantota,holdout,sarima_alone,101,9.500798042499518,0.529473277539366,38.05846577615382
2,Hambantota,holdout,recursive,101,9.516831683168316,0.5303668218750968,42.92556050041004
2,Hambantota,holdout,direct,101,8.746369166267314,0.48742944838078767,36.14979161650586
2,Hambantota,all,sarima_alone,773,8.481934868431537,0.4726926974528525,53.83100343822355
2,Hambantota,all,recursive,773,9.253945666235445,0.5157163556319371,60.792338840454775
2,Hambantota,all,direct,773,8.317428681979651,0.4635248749892495,52.81421173790805
2,Jaffna,pre_holdout,sarima_alone,672,24.170601109409667,0.479969414124308,57.897309579023094
2,Jaffna,pre_holdout,recursive,672,23.064732142857142,0.4580095432228005,61.444394640242805
2,Jaffna,pre_holdout,direct,672,23.306108825452764,0.462802697700187,55.585847517667254
2,Jaffna,holdout,sarima_alone,101,15.089714735489148,0.2996450732901344,55.80373822923054
2,Jaffna,holdout,recursive,101,16.474257425742575,0.32713872729000637,63.275802175897276
2,Jaffna,holdout,direct,101,14.183648606594387,0.2816528013116689,49.266223526185655
2,Jaffna,all,sarima_alone,773,22.98409461035925,0.4564082777410589,57.6237640339661
2,Jaffna,all,recursive,773,22.20362225097025,0.44090999288746785,61.6836859223917
2,Jaffna,all,direct,773,22.114170297503605,0.43913369442044525,54.760126918521536
2,Kalutara,pre_holdout,sarima_alone,672,25.12338866945341,0.5077991364642122,49.0419077351884
2,Kalutara,pre_holdout,recursive,672,24.278125000000003,0.49071449206849466,51.59438760784126
2,Kalutara,pre_holdout,direct,672,24.953648059759477,0.5043683040968299,48.73249177197498
2,Kalutara,holdout,sarima_alone,101,19.428593956569145,0.3926947659674234,29.12712712597223
2,Kalutara,holdout,recursive,101,18.781188118811883,0.37960926505509046,31.340131237603057
2,Kalutara,holdout,direct,101,18.760495354599136,0.37919101861801385,28.59840245260823
2,Kalutara,all,sarima_alone,773,24.379308118352103,0.49275962621818936,46.43984713812394
2,Kalutara,all,recursive,773,23.559896507115134,0.4761975089787742,48.94797118689166
2,Kalutara,all,direct,773,24.144452169434512,0.48801266912482405,46.101776349910246
2,Kandy,pre_holdout,sarima_alone,672,29.119237468585247,0.4056755263392662,46.55384383314182
2,Kandy,pre_holdout,recursive,672,25.164583333333333,0.3505811441618877,48.524783052048356
2,Kandy,pre_holdout,direct,672,28.332440537651845,0.39471424140098876,45.568620069225204
2,Kandy,holdout,sarima_alone,101,19.858485947606994,0.27665908998432964,22.63692050765536
2,Kandy,holdout,recursive,101,17.693069306930692,0.2464915233920426,21.9995398587658
2,Kandy,holdout,direct,101,17.797183334183153,0.24794199107171688,21.337319789612796
2,Kandy,all,sarima_alone,773,27.909229831303485,0.3888182688077674,43.42886420070439
2,Kandy,all,recursive,773,24.18835705045278,0.33698081855030376,45.059000953055424
2,Kandy,all,direct,773,26.955906284675986,0.37553701335020423,42.40256401716718
2,Kegalle,pre_holdout,sarima_alone,672,18.85954364296945,0.4717215096990876,48.55321995049388
2,Kegalle,pre_holdout,recursive,672,19.917261904761908,0.4981775292473143,60.125927623851794
2,Kegalle,pre_holdout,direct,672,18.48868445852184,0.462445449912847,47.17610231577711
2,Kegalle,holdout,sarima_alone,101,10.269553088266742,0.2568656579629392,31.20443365020083
2,Kegalle,holdout,recursive,101,10.609900990099009,0.2653785588641805,33.64067224865298
2,Kegalle,holdout,direct,101,10.340103540658118,0.258630290583009,31.35799853122789
2,Kegalle,all,sarima_alone,773,17.737177477348528,0.44364849414235935,46.28643157231846
2,Kegalle,all,recursive,773,18.701164294954722,0.4677600699863873,56.66537032385817
2,Kegalle,all,direct,773,17.423992773264093,0.4358150086550026,45.1093125586756
2,Kilinochchi,pre_holdout,sarima_alone,672,2.8965055081839015,0.6161959970970617,127.04549704305674
2,Kilinochchi,pre_holdout,recursive,672,2.9785714285714286,0.6336545144373539,99.646663618014
2,Kilinochchi,pre_holdout,direct,672,2.8052416111372183,0.5967807231123405,121.42905586627508
2,Kilinochchi,holdout,sarima_alone,101,2.892183244357471,0.6152764885165606,93.19024019563625
2,Kilinochchi,holdout,recursive,101,3.4683168316831683,0.7378418381422397,102.22045775995576
2,Kilinochchi,holdout,direct,101,3.1382067070489374,0.66761496067693,103.15339474745137
2,Kilinochchi,all,sarima_alone,773,2.895940762198818,0.6160758543200493,122.62197706687373
2,Kilinochchi,all,recursive,773,3.042561448900388,0.6472676058916792,99.982954961269
2,Kilinochchi,all,direct,773,2.848746753035127,0.6060359080981407,119.04116224014159
2,Kurunegala,pre_holdout,sarima_alone,672,19.992100295747562,0.43434586337788017,48.135929266821975
2,Kurunegala,pre_holdout,recursive,672,20.441220238095237,0.44410338691134893,53.79137932392419
2,Kurunegala,pre_holdout,direct,672,19.376299552917438,0.4209670536802226,45.77850729515736
2,Kurunegala,holdout,sarima_alone,101,10.166343688520739,0.22087270779279006,30.586432724789276
2,Kurunegala,holdout,recursive,101,11.38910891089109,0.24743835164021838,36.14442897506488
2,Kurunegala,holdout,direct,101,9.650566117173437,0.2096669889726698,28.877154223054024
2,Kurunegala,all,sarima_alone,773,18.708269225463077,0.40645351057827594,45.84291613519804
2,Kurunegala,all,recursive,773,19.258473479948254,0.4184071791980447,51.48563290059328
2,Kurunegala,all,direct,773,18.105537486927602,0.39335863642865365,43.57018043838836
2,Mannar,pre_holdout,sarima_alone,672,5.309676887457242,0.6636233812828202,156.9536280450724
