District,baseline_mase,variant_mase,mase_delta_pct,baseline_smape,variant_smape,smape_delta_pp,variant_improved_mase
Ampara,0.2852,0.273,-4.27,41.58,40.37,-1.21,True
Anuradhapura,0.3861,0.3741,-3.09,47.59,47.43,-0.15,True
Badulla,0.3529,0.3345,-5.21,38.77,37.15,-1.62,True
Batticaloa,0.2613,0.245,-6.25,30.12,28.3,-1.82,True
Colombo,0.3039,0.3017,-0.71,17.83,18.05,0.22,True
Galle,0.5337,0.5298,-0.74,24.4,23.8,-0.59,True
Gampaha,0.3438,0.3318,-3.49,21.27,20.76,-0.51,True
Hambantota,0.5175,0.4834,-6.6,34.84,33.93,-0.91,True
Jaffna,0.1693,0.1631,-3.65,31.6,31.62,0.02,True
Kalutara,0.4444,0.4167,-6.24,27.14,26.08,-1.06,True
Kandy,0.2979,0.2838,-4.73,22.14,21.43,-0.71,True
Kegalle,0.273,0.2655,-2.75,30.65,30.24,-0.41,True
Kilinochchi,2.4201,2.4736,2.21,102.68,106.47,3.79,False
Kurunegala,0.2762,0.2707,-2.0,27.43,27.16,-0.27,True
Mannar,1.1589,1.1787,1.7,78.9,79.22,0.32,False
Matale,1.0365,1.0103,-2.53,36.85,35.42,-1.43,True
Matara,0.6506,0.6124,-5.88,35.49,34.48,-1.01,True
Monaragala,0.5478,0.5134,-6.28,35.37,34.45,-0.93,True
Mullaitivu,0.464,0.4515,-2.68,95.25,92.64,-2.6,True
Nuwara Eliya,1.031,0.9851,-4.45,48.67,48.33,-0.34,True
Polonnaruwa,0.5939,0.5775,-2.77,48.93,47.96,-0.97,True
Puttalam,0.1882,0.1799,-4.39,31.81,31.15,-0.66,True
Ratnapura,0.4846,0.4808,-0.79,24.37,23.96,-0.41,True
Trincomalee,0.1921,0.184,-4.21,34.98,34.15,-0.83,True
Vavuniya,0.3601,0.365,1.37,88.94,88.77,-0.17,False
