District,baseline_ljung_box_p26,variant_ljung_box_p26,baseline_fails_lb26,variant_fails_lb26,baseline_holdout_mase,variant_holdout_mase,baseline_validation_mase,variant_validation_mase
Ampara,0.224940131742642,0.0606446458601249,False,False,0.2729960541462466,0.2721694507876497,0.6993576205085729,0.6816194705383067
Anuradhapura,0.0176507253977842,0.2507885556086504,True,False,0.3741213985515315,0.3840925909661876,0.4831985981710937,0.4857898096048197
Badulla,1.6054917178678966e-41,4.839169297046001e-54,True,True,0.3344740507427276,0.3371626080725013,0.7311814101532481,0.7389031478029711
Batticaloa,0.0,0.0,True,True,0.2449703953092535,0.2589060094609406,0.6960518785786003,0.6892104762660118
Colombo,0.0,0.0,True,True,0.3016922129985224,0.2996616881221056,0.8757628036664427,0.8853515387795314
Galle,1.3576046132744376e-69,5.0461102068346454e-92,True,True,0.5297604972742757,0.5450366230044769,0.7143655046251374,0.7048261786233624
Gampaha,0.0,0.0,True,True,0.3317708100986129,0.3364453281556264,0.5962879860418824,0.5844169640418628
Hambantota,1.527388343347848e-12,6.500426430905314e-14,True,True,0.4833757137405109,0.5086232482712728,0.5303489022071188,0.4922125775789265
Jaffna,0.0,0.0,True,True,0.1630836329249805,0.1671053778129965,0.7515869703139073,0.7572816099745622
Kalutara,1.2762293142408957e-142,7.342388277508239e-179,True,True,0.4166804672704833,0.4098311007965377,0.7597459218058493,0.7611780093469143
Kandy,0.0,0.0,True,True,0.2837856950062812,0.2856578032203918,0.5693060599798795,0.5618564859668371
Kegalle,1.665532769055328e-258,0.0,True,True,0.2655145027993792,0.2635970801144554,0.3882680064026234,0.38292942766784
Kilinochchi,1.039984595732757e-14,1.2842391945159516e-11,True,True,2.473625326044055,2.4595536090336854,1.632048574646434,1.4429614960121535
Kurunegala,0.0,0.0,True,True,0.2706821127130782,0.2769019205228543,0.4013915490435649,0.3646567828454756
Mannar,4.65990997283005e-06,0.0281437474012007,True,True,1.1786564398573227,1.1671454038145648,0.6514197858310012,0.6104832243668933
Matale,0.0,0.0,True,True,1.0102964089144064,1.0359148434913317,0.4570332680207418,0.4288856039470813
Matara,6.401268520057438e-130,1.7954248399538377e-148,True,True,0.612378435954181,0.5945539041761622,0.4301683467378334,0.388900402712144
Monaragala,8.59774839244992e-30,6.100594473185232e-31,True,True,0.51342074967917,0.5450179432027363,0.6555868810427579,0.6040968360022136
Mullaitivu,1.6731184004178045e-06,1.6576277264036832e-05,True,True,0.4515458415355379,0.4286455652184081,2.387186077121642,2.4504375813568275
Nuwara Eliya,4.532377767071956e-17,7.2350613203875806e-09,True,True,0.9851425965832245,1.0505687300206377,0.7087500326045181,0.5970737384323761
Polonnaruwa,5.751265879231776e-11,4.650592518092781e-06,True,True,0.5774740241607863,0.6029189707539909,0.7414682538757106,0.7532554233883316
Puttalam,3.057160759057237e-308,3.2718678957014395e-272,True,True,0.1799208990692337,0.1838846169732001,0.5308944993322882,0.5117458808795995
Ratnapura,1.3976197456848084e-122,1.5734244673061778e-139,True,True,0.4808000862392586,0.48694466393834,0.5007849091163398,0.4898733462978511
Trincomalee,3.057948608841098e-283,4.238138453604955e-307,True,True,0.1840415335575484,0.1843244152976459,0.5641798542414208,0.5720833925791039
Vavuniya,0.2128781689709259,0.542733385224338,False,False,0.3650347174553379,0.3946296921476778,0.3236930773620063,0.2772326601961569
