District,Year,Week,actual,is_reporting_anomaly,n_sarima_vintages,single_sarima,single_final,single_abs_error,mean_sarima,mean_final,mean_abs_error,median_sarima,median_final,median_abs_error,trimmed_mean_sarima,trimmed_mean_final,trimmed_mean_abs_error
Ampara,2026,2,39.0,False,4,21.323724190217067,34.7,4.299999999999997,17.406680077394146,30.7,8.3,17.354839549125842,30.7,8.3,17.354839549125842,30.7,8.3
Ampara,2026,3,40.0,False,4,26.94824002648242,48.0,8.0,20.411918139934112,42.5,2.5,20.284437119810935,42.4,2.3999999999999986,20.284437119810935,42.4,2.3999999999999986
Ampara,2026,4,56.0,False,4,31.406537317532695,55.6,0.3999999999999986,24.309167379674026,49.9,6.100000000000001,23.97816650503352,49.6,6.399999999999999,23.97816650503352,49.6,6.399999999999999
Ampara,2026,5,47.0,False,4,39.3205814854792,70.2,23.200000000000003,29.048315594270342,60.5,13.5,29.094944482048195,60.5,13.5,29.094944482048195,60.5,13.5
Ampara,2026,6,56.0,False,4,42.13867943023382,74.7,18.700000000000003,34.42788134604873,67.3,11.299999999999997,35.1476199572503,67.9,11.900000000000006,35.1476199572503,67.9,11.900000000000006
Ampara,2026,7,33.0,False,4,47.055198728241564,81.1,48.099999999999994,39.568753110212015,73.9,40.900000000000006,40.7058345935279,75.0,42.0,40.7058345935279,75.0,42.0
Ampara,2026,8,30.0,False,4,41.03452252121768,66.2,36.2,42.29472966904252,67.5,37.5,41.58302234512896,66.8,36.8,41.58302234512896,66.8,36.8
Ampara,2026,9,37.0,False,4,36.36986470519448,52.1,15.100000000000001,41.47992261980021,57.1,20.1,41.58302234512896,57.2,20.200000000000003,41.58302234512896,57.2,20.200000000000003
Ampara,2026,10,34.0,False,4,36.61203666162547,59.6,25.6,40.04863482056694,63.1,29.1,38.76184103033914,61.8,27.799999999999997,38.76184103033914,61.8,27.799999999999997
Ampara,2026,11,50.0,False,4,35.58071235043977,53.4,3.3999999999999986,37.342167783244776,55.1,5.100000000000001,36.49075514485882,54.3,4.299999999999997,36.49075514485882,54.3,4.299999999999997
Ampara,2026,12,25.0,False,4,40.590268115363465,67.4,42.400000000000006,37.24045611412639,64.2,39.2,36.49075514485882,63.5,38.5,36.49075514485882,63.5,38.5
Ampara,2026,13,43.0,False,4,33.69112602630467,50.3,7.299999999999997,36.53593872537429,52.8,9.799999999999997,36.09279032417373,52.3,9.299999999999997,36.09279032417373,52.3,9.299999999999997
Ampara,2026,14,5.0,False,4,37.0251701575376,57.2,52.2,36.63859126649272,56.8,51.8,36.29594899730276,56.6,51.6,36.29594899730276,56.6,51.6
Ampara,2026,15,39.0,False,4,17.648377620882417,19.7,19.3,30.803915026443953,31.7,7.300000000000001,35.31991148264016,35.6,3.3999999999999986,35.31991148264016,35.6,3.3999999999999986
Ampara,2026,16,36.0,False,4,24.04963794655376,33.8,2.200000000000003,27.017734640846335,36.1,0.10000000000000142,28.478808437879586,37.6,1.6000000000000014,28.478808437879586,37.6,1.6000000000000014
Ampara,2026,17,40.0,False,4,28.097066272970846,47.3,7.299999999999997,25.812710516926504,45.1,5.100000000000001,25.997610550654286,45.2,5.200000000000003,25.997610550654286,45.2,5.200000000000003
Ampara,2026,18,41.0,False,4,32.192286655447624,53.3,12.299999999999997,24.916850345903732,46.5,5.5,25.997610550654286,47.6,6.600000000000001,25.997610550654286,47.6,6.600000000000001
Ampara,2026,19,46.0,False,4,35.33391820809446,61.1,15.100000000000001,29.619635449535025,56.0,10.0,30.077293391880264,56.4,10.399999999999999,30.077293391880264,56.4,10.399999999999999
Ampara,2026,20,29.0,False,4,39.113471406159114,65.4,36.400000000000006,33.44468475146425,60.1,31.1,33.727594625580664,60.4,31.4,33.727594625580664,60.4,31.4
Ampara,2026,21,41.0,False,4,34.875880700689585,52.3,11.299999999999997,35.2961496019193,52.8,11.799999999999997,35.10417309705638,52.6,11.600000000000001,35.10417309705638,52.6,11.600000000000001
Ampara,2026,22,23.0,False,4,37.1145167964253,62.6,39.6,36.57282655860326,62.2,39.2,36.21356924325264,61.8,38.8,36.21356924325264,61.8,38.8
Ampara,2026,23,28.0,False,4,30.91229979998458,44.6,16.6,35.37352030539448,48.5,20.5,35.97826195960247,49.1,21.1,35.97826195960247,49.1,21.1
Ampara,2026,24,10.0,False,4,29.76067199081013,45.0,35.0,33.03781926105519,47.8,37.8,32.836102915508555,47.6,37.6,32.836102915508555,47.6,37.6
Ampara,2026,25,69.0,False,4,19.71533705615621,26.5,42.5,28.671129980781654,34.4,34.6,30.33119510359797,36.1,32.9,30.33119510359797,36.1,32.9
Anuradhapura,2026,2,27.0,False,4,17.462716294403094,31.4,4.399999999999999,12.93910228361799,26.9,0.10000000000000142,12.686943621485895,26.6,0.3999999999999986,12.686943621485895,26.6,0.3999999999999986
Anuradhapura,2026,3,20.0,False,4,21.12314288408899,37.8,17.799999999999997,15.793842471041927,32.5,12.5,16.198311650083006,32.9,12.899999999999999,16.198311650083006,32.9,12.899999999999999
Anuradhapura,2026,4,14.0,False,4,19.651211298919062,35.4,21.4,17.677924928200625,33.4,19.4,18.26544060644636,34.0,20.0,18.26544060644636,34.0,20.0
Anuradhapura,2026,5,24.0,False,4,17.3335211384372,24.6,0.6000000000000014,18.708540228480175,26.0,2.0,18.630826240766417,25.9,1.8999999999999986,18.630826240766417,25.9,1.8999999999999986
Anuradhapura,2026,6,19.0,False,4,20.82747152161566,32.1,13.100000000000001,20.125637701143404,31.4,12.399999999999999,20.72643543203605,32.0,13.0,20.72643543203605,32.0,13.0
Anuradhapura,2026,7,23.0,False,4,19.755888947293663,31.2,8.2,19.737152887212993,31.2,8.2,20.146929381261124,31.6,8.600000000000001,20.146929381261124,31.6,8.600000000000001
Anuradhapura,2026,8,15.0,False,4,20.631739486845472,33.4,18.4,19.38317243530973,32.1,17.1,19.677714172217943,32.4,17.4,19.677714172217943,32.4,17.4
Anuradhapura,2026,9,27.0,False,4,17.639037997867323,27.5,0.5,19.130437127190593,29.0,2.0,19.386748929067483,29.3,2.3000000000000007,19.386748929067483,29.3,2.3000000000000007
Anuradhapura,2026,10,8.0,False,4,21.815785484629526,33.9,25.9,19.936528699180936,32.2,24.200000000000003,19.951168913239286,32.2,24.200000000000003,19.951168913239286,32.2,24.200000000000003
Anuradhapura,2026,11,20.0,False,4,13.579224310100566,21.9,1.8999999999999986,17.666716995194474,26.0,6.0,18.61402089637424,26.9,6.899999999999999,18.61402089637424,26.9,6.899999999999999
Anuradhapura,2026,12,13.0,False,4,16.35083115914952,21.9,8.899999999999999,16.757807446443,22.3,9.3,16.75002902423499,22.3,9.3,16.75002902423499,22.3,9.3
Anuradhapura,2026,13,12.0,False,4,14.694167473036774,21.1,9.100000000000001,16.12896868443875,22.5,10.5,15.425946467671128,21.8,9.8,15.425946467671128,21.8,9.8
Anuradhapura,2026,14,2.0,False,4,13.347122052820982,16.5,14.5,14.329382409527168,17.4,15.399999999999999,14.09873247450027,17.2,15.2,14.09873247450027,17.2,15.2
Anuradhapura,2026,15,17.0,False,4,6.210119777185871,6.3,10.7,11.586908012265274,11.3,5.699999999999999,13.565121721774137,13.3,3.6999999999999993,13.565121721774137,13.3,3.6999999999999993
Anuradhapura,2026,16,4.0,False,4,10.428047143484823,13.8,9.8,10.77910869580532,14.2,10.2,11.74224233680835,15.1,11.1,11.74224233680835,15.1,11.1
Anuradhapura,2026,17,15.0,False,4,7.041563044987447,8.8,6.199999999999999,9.17764612113467,10.9,4.1,8.56620951947986,10.4,4.6,8.56620951947986,10.4,4.6
Anuradhapura,2026,18,10.0,False,4,10.154087672866172,13.3,3.3000000000000007,8.65153989071643,11.8,1.8000000000000007,8.656296218451434,11.8,1.8000000000000007,8.656296218451434,11.8,1.8000000000000007
Anuradhapura,2026,19,12.0,False,4,9.88344991665098,12.9,0.9000000000000004,9.368037073781249,12.4,0.40000000000000036,9.915188928823856,12.9,0.9000000000000004,9.915188928823856,12.9,0.9000000000000004
Anuradhapura,2026,20,7.0,False,4,10.729673040261192,12.9,5.9,9.409391944640165,11.6,4.6,9.91775622888965,12.1,5.1,9.91775622888965,12.1,5.1
Anuradhapura,2026,21,13.0,False,4,9.014632045572235,11.5,1.5,9.927761787429894,12.5,0.5,10.006459865822453,12.5,0.5,10.006459865822453,12.5,0.5
Anuradhapura,2026,22,8.0,False,4,10.576083855291131,13.6,5.6,10.027720887575995,13.0,5.0,10.227065581307409,13.2,5.199999999999999,10.227065581307409,13.2,5.199999999999999
Anuradhapura,2026,23,24.0,False,4,9.257009478843537,13.1,10.9,9.796670266499236,13.7,10.3,9.810839246562141,13.7,10.3,9.810839246562141,13.7,10.3
Anuradhapura,2026,24,3.0,False,4,13.753155537356717,20.6,17.6,10.34477541035999,17.2,14.2,9.675738278210563,16.5,13.5,9.675738278210563,16.5,13.5
Anuradhapura,2026,25,51.0,False,4,7.392082734759406,9.7,41.3,9.87032476753415,12.1,38.9,9.74213758973017,12.0,39.0,9.74213758973017,12.0,39.0
Badulla,2026,2,40.0,False,4,23.180542411745826,25.1,14.899999999999999,22.426809468581496,24.3,15.7,22.782934714851056,24.7,15.3,22.782934714851056,24.7,15.3
Badulla,2026,3,29.0,False,4,34.64100292250248,41.3,12.299999999999997,25.071341917959654,32.5,3.5,22.30767443465114,30.9,1.8999999999999986,22.30767443465114,30.9,1.8999999999999986
Badulla,2026,4,27.0,False,4,26.90450487954841,33.5,6.5,25.393288732051662,32.0,5.0,24.55813592315302,32.3,5.299999999999997,24.55813592315302,32.3,5.299999999999997
Badulla,2026,5,21.0,False,4,25.402385482061433,27.4,6.399999999999999,25.075360531493526,27.1,6.100000000000001,25.36551118376014,27.4,6.399999999999999,25.36551118376014,27.4,6.399999999999999
Badulla,2026,6,15.0,False,4,21.40484683742932,24.1,9.100000000000001,24.579788648982344,27.2,12.2,24.771600740312905,27.4,12.399999999999999,24.771600740312905,27.4,12.399999999999999
Badulla,2026,7,35.0,False,4,16.26533452900209,12.4,22.6,21.272618917211112,17.4,17.6,22.49600410103332,18.6,16.4,22.49600410103332,18.6,16.4
Badulla,2026,8,20.0,False,4,32.339148614558454,33.7,13.700000000000003,23.93040968115568,27.3,7.300000000000001,22.74358467365145,26.1,6.100000000000001,22.74358467365145,26.1,6.100000000000001
Badulla,2026,9,20.0,False,4,20.072565655720933,20.5,0.5,22.360509135138706,22.6,2.6000000000000014,20.726537446747052,21.1,1.1000000000000014,20.726537446747052,21.1,1.1000000000000014
Badulla,2026,10,21.0,False,4,20.82985895431408,18.8,2.1999999999999993,22.380923633982164,20.3,0.6999999999999993,20.85796896160582,18.9,2.1000000000000014,20.85796896160582,18.9,2.1000000000000014
Badulla,2026,11,25.0,False,4,20.110783186054505,15.9,9.1,21.46565973596517,17.3,7.699999999999999,20.066894822415616,15.9,9.1,20.066894822415616,15.9,9.1
Badulla,2026,12,13.0,False,4,24.79641815577647,23.0,10.0,21.930057917863202,20.2,7.199999999999999,20.99757309756737,19.3,6.300000000000001,20.99757309756737,19.3,6.300000000000001
Badulla,2026,13,21.0,False,4,14.497851193203077,11.1,9.9,19.836323731191335,16.4,4.600000000000001,20.63145405015473,17.2,3.8000000000000007,20.63145405015473,17.2,3.8000000000000007
Badulla,2026,14,14.0,False,4,21.19757449816047,14.5,0.5,20.390673730359538,13.7,0.3000000000000007,21.077007910244014,14.3,0.3000000000000007,21.077007910244014,14.3,0.3000000000000007
Badulla,2026,15,18.0,False,4,14.984959046031838,6.8,11.2,18.567473757436243,10.4,7.6,18.586163921596903,10.4,7.6,18.586163921596903,10.4,7.6
Badulla,2026,16,9.0,False,4,19.05999006307646,11.7,2.6999999999999993,18.70820889862216,11.4,2.4000000000000004,18.534865494839487,11.2,2.1999999999999993,18.534865494839487,11.2,2.1999999999999993
Badulla,2026,17,20.0,False,4,11.148327572322469,0.0,20.0,16.894301376179616,2.9,17.1,17.999956741999586,4.0,16.0,17.999956741999586,4.0,16.0
Badulla,2026,18,18.0,False,4,20.54552876150811,13.5,4.5,18.082650183469077,11.0,7.0,19.027981380617227,11.9,6.1,19.027981380617227,11.9,6.1
Badulla,2026,19,13.0,False,4,18.976303577632933,14.8,1.8000000000000007,18.976887830269213,14.8,1.8000000000000007,19.65208446921835,15.5,2.5,19.65208446921835,15.5,2.5
Badulla,2026,20,20.0,False,4,14.840281510363297,5.1,14.9,18.026287405806695,8.3,11.7,18.15276250486012,8.4,11.6,18.15276250486012,8.4,11.6
