District,n_matched_weeks,mean_abs_drift,median_abs_drift,corr_sarima_pred,corr_drift_vs_rolling_error,p_value_frozen_model,mean_loss_diff_frozen_model,p_value_fold_matched,mean_loss_diff_fold_matched,n_structural_gap_fallbacks
Ampara,832,20.693228750903813,6.797878226837955,0.21459946602329202,0.13180329679792802,0.2161281104624386,199.1478315394496,0.9618999123981713,-12.964100544859427,26
Anuradhapura,832,11.052914025391734,4.183783532708953,0.043050751300372114,0.19308758292968636,0.0655934594213076,-19.000708953746283,0.21843243339401974,-75.92873003102963,26
Badulla,832,19.687636707095432,8.51693474466678,-0.033524265464026225,0.3523833755557411,0.0132443979868448,-93.8868449148206,0.07553936564535668,-96.90712594526558,26
Batticaloa,832,39.59576081333327,18.92034339809799,0.32304069178491374,0.18206498452394487,0.1226890796428927,128.94815564171853,0.17413278142814015,139.55111817099257,26
Colombo,832,150.11124634688053,90.2645928499874,0.1173153363391741,0.14719392444815232,0.4429427612827354,1200.399206335196,0.5407043340493476,836.3904826818001,26
Galle,832,32.346059513055486,12.15627940491698,0.02692779103011203,0.3070686250722312,0.1249013447463296,-144.7393278900069,0.2659359578901377,-229.81493678930428,26
Gampaha,832,104.31645716495328,47.389081644505396,-0.029049386659187458,0.492823033682788,0.7967255437256733,325.31732558233165,0.827406653616418,254.29034665961456,26
Hambantota,832,12.787682370563513,6.689371708482055,0.28569506973637326,0.3529869734589445,0.084712172702243,-25.608529105742655,0.05680189327028429,-41.68384526499324,26
Jaffna,827,75.05014845816608,25.536159660185874,0.22769176277218736,0.15364679600289666,0.2115433394614911,-179.46595106434955,0.18150889223596822,-417.40321843773035,26
Kalutara,832,30.351115473703764,15.243044463316089,0.20027109776728533,0.39002616679387,0.618826020237504,153.5198967037099,0.5457625171282685,178.5080114578083,26
Kandy,832,65.16096371549307,26.686700349066037,0.08589853475454161,0.36138716436481444,0.1777836353782005,414.3536678203552,0.24937381355654287,460.54654838241635,26
Kegalle,832,27.529665343053935,11.928469403247467,-0.14409588774597631,0.5065603199458898,0.665821657423936,-84.79448940580767,0.21594613171409427,-544.6201802723184,26
Kilinochchi,832,2.291232288657475,0.5166957160274067,0.3551156459830403,0.012960541097832732,0.2592359699623687,-12.378835645643576,0.24562097275560735,-238.5042571913109,26
Kurunegala,832,37.60393937385114,18.67730174397479,-0.059794337342744204,0.43008684688693916,0.0597086859430142,-211.87415544558112,0.08243017977027378,-92.05855825588566,26
Mannar,730,0.5041337235855485,0.002846691735472362,0.48222922578225996,-0.008395650343662317,0.0804408900896043,33.84076733348549,0.7340287845996882,-12.470440636626511,26
Matale,832,23.168967841617725,8.680405552262634,0.0446823764160804,0.059571719071013246,0.7917216729004,-18.015213864346624,0.43075207806537374,-154.44245039830457,26
Matara,832,26.092536120144622,13.043467138310067,-0.0041763479681676706,0.3783649171045926,0.753737493792642,-11.151674807779,0.9274934428464585,4.554882569270148,26
Monaragala,832,9.700351511519862,2.7574884983934487,0.18115860200171593,0.21180449881141902,0.1521343648215265,-14.909637881240826,0.24304791101866696,-46.19516481332513,26
Mullaitivu,832,1.8433770304562573,0.7842379130047673,0.17822631143263262,0.020424985130829177,0.8045513882092206,-0.4112287105081051,0.28944899986687345,-33.43659170816618,26
Nuwara Eliya,832,3.979012602277433,2.454839102655831,-0.040743044357349385,0.12092802225474909,0.4393753539285414,3.997821478647982,0.6707098109889791,2.5535826027697643,26
Polonnaruwa,832,5.24311156828236,2.71185095882243,-0.019453026939086283,0.24163012762033104,0.599251953412635,-1.7496506207564522,0.16663975531217545,-9.81941642871898,26
Puttalam,832,34.01665325337878,10.4158484259384,0.10824716658027682,0.24481519053564446,0.5659244345282071,24.3427077402058,0.859100861094805,-12.574458536140789,26
Ratnapura,832,30.777780415944047,13.934197557975391,0.1351312891549019,0.3483346553540969,0.0003687555486926,-257.87485949656343,0.183624729021459,-344.89190867689143,26
Trincomalee,832,26.50830099765392,6.118502831170105,0.2141927311705731,0.20848939369053854,0.1651780585276361,299.6252448665658,0.16589265449132862,294.03077179865016,26
Vavuniya,780,3.5509496455548555,1.3491651700903913,0.37380952264702344,0.5406840999094339,0.1297697137239852,-22.16538563722888,0.2102989171473728,-40.13619740193476,26
