District,period,smape_pct,n_weeks,evaluation_mode
Ampara,holdout_all,45.7,104,rolling_one_step
Ampara,2026_wk22_23,28.8,2,rolling_one_step
Ampara,2026_wk22_25,76.0,4,rolling_one_step
Ampara,2026_wk25_only,156.6,1,rolling_one_step
Anuradhapura,holdout_all,55.4,104,rolling_one_step
Anuradhapura,2026_wk22_23,64.1,2,rolling_one_step
Anuradhapura,2026_wk22_25,108.8,4,rolling_one_step
Anuradhapura,2026_wk25_only,159.2,1,rolling_one_step
Badulla,holdout_all,47.7,104,rolling_one_step
Badulla,2026_wk22_23,19.4,2,rolling_one_step
Badulla,2026_wk22_25,40.8,4,rolling_one_step
Badulla,2026_wk25_only,104.4,1,rolling_one_step
Batticaloa,holdout_all,32.4,104,rolling_one_step
Batticaloa,2026_wk22_23,23.8,2,rolling_one_step
Batticaloa,2026_wk22_25,38.7,4,rolling_one_step
Batticaloa,2026_wk25_only,48.8,1,rolling_one_step
Colombo,holdout_all,21.2,104,rolling_one_step
Colombo,2026_wk22_23,13.4,2,rolling_one_step
Colombo,2026_wk22_25,93.5,4,rolling_one_step
Colombo,2026_wk25_only,161.5,1,rolling_one_step
Galle,holdout_all,27.7,104,rolling_one_step
Galle,2026_wk22_23,9.2,2,rolling_one_step
Galle,2026_wk22_25,53.2,4,rolling_one_step
Galle,2026_wk25_only,68.1,1,rolling_one_step
Gampaha,holdout_all,26.7,104,rolling_one_step
Gampaha,2026_wk22_23,13.1,2,rolling_one_step
Gampaha,2026_wk22_25,95.6,4,rolling_one_step
Gampaha,2026_wk25_only,172.7,1,rolling_one_step
Hambantota,holdout_all,38.1,104,rolling_one_step
Hambantota,2026_wk22_23,83.3,2,rolling_one_step
Hambantota,2026_wk22_25,57.8,4,rolling_one_step
Hambantota,2026_wk25_only,29.1,1,rolling_one_step
Jaffna,holdout_all,48.1,104,rolling_one_step
Jaffna,2026_wk22_23,40.4,2,rolling_one_step
Jaffna,2026_wk22_25,36.5,4,rolling_one_step
Jaffna,2026_wk25_only,40.6,1,rolling_one_step
Kalutara,holdout_all,30.9,104,rolling_one_step
Kalutara,2026_wk22_23,18.9,2,rolling_one_step
Kalutara,2026_wk22_25,77.0,4,rolling_one_step
Kalutara,2026_wk25_only,123.9,1,rolling_one_step
Kandy,holdout_all,23.8,104,rolling_one_step
Kandy,2026_wk22_23,27.7,2,rolling_one_step
Kandy,2026_wk22_25,78.7,4,rolling_one_step
Kandy,2026_wk25_only,111.5,1,rolling_one_step
Kegalle,holdout_all,34.3,104,rolling_one_step
Kegalle,2026_wk22_23,30.7,2,rolling_one_step
Kegalle,2026_wk22_25,76.4,4,rolling_one_step
Kegalle,2026_wk25_only,134.8,1,rolling_one_step
Kilinochchi,holdout_all,98.7,104,rolling_one_step
Kilinochchi,2026_wk22_23,82.4,2,rolling_one_step
Kilinochchi,2026_wk22_25,136.4,4,rolling_one_step
Kilinochchi,2026_wk25_only,184.0,1,rolling_one_step
Kurunegala,holdout_all,32.6,104,rolling_one_step
Kurunegala,2026_wk22_23,41.7,2,rolling_one_step
Kurunegala,2026_wk22_25,69.3,4,rolling_one_step
Kurunegala,2026_wk25_only,66.7,1,rolling_one_step
Mannar,holdout_all,73.5,104,rolling_one_step
Mannar,2026_wk22_23,78.7,2,rolling_one_step
Mannar,2026_wk22_25,135.1,4,rolling_one_step
Mannar,2026_wk25_only,185.0,1,rolling_one_step
Matale,holdout_all,42.4,104,rolling_one_step
Matale,2026_wk22_23,42.3,2,rolling_one_step
Matale,2026_wk22_25,104.0,4,rolling_one_step
Matale,2026_wk25_only,147.7,1,rolling_one_step
Matara,holdout_all,40.5,104,rolling_one_step
Matara,2026_wk22_23,2.5,2,rolling_one_step
Matara,2026_wk22_25,75.7,4,rolling_one_step
Matara,2026_wk25_only,131.2,1,rolling_one_step
Monaragala,holdout_all,37.3,104,rolling_one_step
Monaragala,2026_wk22_23,47.8,2,rolling_one_step
Monaragala,2026_wk22_25,54.0,4,rolling_one_step
Monaragala,2026_wk25_only,46.6,1,rolling_one_step
Mullaitivu,holdout_all,84.3,104,rolling_one_step
Mullaitivu,2026_wk22_23,8.2,2,rolling_one_step
Mullaitivu,2026_wk22_25,21.4,4,rolling_one_step
Mullaitivu,2026_wk25_only,9.5,1,rolling_one_step
Nuwara Eliya,holdout_all,54.6,104,rolling_one_step
