District,period,smape_pct,n_weeks,evaluation_mode
Ampara,holdout_all,60.5,854,rolling_one_step
Ampara,2026_wk22_23,31.1,2,rolling_one_step
Ampara,2026_wk22_25,69.8,4,rolling_one_step
Ampara,2026_wk25_only,128.6,1,rolling_one_step
Anuradhapura,holdout_all,61.2,854,rolling_one_step
Anuradhapura,2026_wk22_23,52.5,2,rolling_one_step
Anuradhapura,2026_wk22_25,95.5,4,rolling_one_step
Anuradhapura,2026_wk25_only,135.5,1,rolling_one_step
Badulla,holdout_all,58.2,854,rolling_one_step
Badulla,2026_wk22_23,21.8,2,rolling_one_step
Badulla,2026_wk22_25,38.3,4,rolling_one_step
Badulla,2026_wk25_only,101.4,1,rolling_one_step
Batticaloa,holdout_all,45.4,854,rolling_one_step
Batticaloa,2026_wk22_23,18.6,2,rolling_one_step
Batticaloa,2026_wk22_25,31.1,4,rolling_one_step
Batticaloa,2026_wk25_only,29.5,1,rolling_one_step
Colombo,holdout_all,35.2,854,rolling_one_step
Colombo,2026_wk22_23,8.4,2,rolling_one_step
Colombo,2026_wk22_25,77.4,4,rolling_one_step
Colombo,2026_wk25_only,111.4,1,rolling_one_step
Galle,holdout_all,50.2,854,rolling_one_step
Galle,2026_wk22_23,3.0,2,rolling_one_step
Galle,2026_wk22_25,45.9,4,rolling_one_step
Galle,2026_wk25_only,48.4,1,rolling_one_step
Gampaha,holdout_all,43.9,854,rolling_one_step
Gampaha,2026_wk22_23,10.3,2,rolling_one_step
Gampaha,2026_wk22_25,77.5,4,rolling_one_step
Gampaha,2026_wk25_only,109.3,1,rolling_one_step
Hambantota,holdout_all,52.5,854,rolling_one_step
Hambantota,2026_wk22_23,74.0,2,rolling_one_step
Hambantota,2026_wk22_25,62.3,4,rolling_one_step
Hambantota,2026_wk25_only,46.2,1,rolling_one_step
Jaffna,holdout_all,51.5,854,rolling_one_step
Jaffna,2026_wk22_23,27.3,2,rolling_one_step
Jaffna,2026_wk22_25,27.6,4,rolling_one_step
Jaffna,2026_wk25_only,33.6,1,rolling_one_step
Kalutara,holdout_all,40.6,854,rolling_one_step
Kalutara,2026_wk22_23,29.6,2,rolling_one_step
Kalutara,2026_wk22_25,70.4,4,rolling_one_step
Kalutara,2026_wk25_only,101.4,1,rolling_one_step
Kandy,holdout_all,40.9,854,rolling_one_step
Kandy,2026_wk22_23,26.1,2,rolling_one_step
Kandy,2026_wk22_25,66.6,4,rolling_one_step
Kandy,2026_wk25_only,84.3,1,rolling_one_step
Kegalle,holdout_all,47.2,854,rolling_one_step
Kegalle,2026_wk22_23,24.1,2,rolling_one_step
Kegalle,2026_wk22_25,69.2,4,rolling_one_step
Kegalle,2026_wk25_only,122.3,1,rolling_one_step
Kilinochchi,holdout_all,98.1,854,rolling_one_step
Kilinochchi,2026_wk22_23,64.7,2,rolling_one_step
Kilinochchi,2026_wk22_25,124.1,4,rolling_one_step
Kilinochchi,2026_wk25_only,169.9,1,rolling_one_step
Kurunegala,holdout_all,44.1,854,rolling_one_step
Kurunegala,2026_wk22_23,38.3,2,rolling_one_step
Kurunegala,2026_wk22_25,64.3,4,rolling_one_step
Kurunegala,2026_wk25_only,45.1,1,rolling_one_step
Mannar,holdout_all,100.1,854,rolling_one_step
Mannar,2026_wk22_23,79.3,2,rolling_one_step
Mannar,2026_wk22_25,133.4,4,rolling_one_step
Mannar,2026_wk25_only,177.4,1,rolling_one_step
Matale,holdout_all,56.8,854,rolling_one_step
Matale,2026_wk22_23,51.7,2,rolling_one_step
Matale,2026_wk22_25,104.4,4,rolling_one_step
Matale,2026_wk25_only,128.8,1,rolling_one_step
Matara,holdout_all,47.9,854,rolling_one_step
Matara,2026_wk22_23,11.2,2,rolling_one_step
Matara,2026_wk22_25,66.0,4,rolling_one_step
Matara,2026_wk25_only,97.6,1,rolling_one_step
Monaragala,holdout_all,59.1,854,rolling_one_step
Monaragala,2026_wk22_23,52.7,2,rolling_one_step
