max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,min_child_weight,aggregate_median_mase,n_folds_better_than_baseline,n_districts_better_than_baseline,seconds
3,0.05,0.8,0.8,1.0,5,0.5821411649393143,,,39.6
2,0.02,0.8,0.6,0.5,3,0.5774221461651254,4.0,13.0,54.6
2,0.2,1.0,0.5,5.0,10,0.6042958864183541,3.0,4.0,20.1
2,0.02,0.6,0.6,0.5,15,0.5786786766882273,6.0,12.0,52.9
6,0.02,1.0,0.6,10.0,20,0.5888945492782789,3.0,10.0,66.2
6,0.08,0.7,0.8,5.0,5,0.5839466083320306,4.0,16.0,29.0
2,0.03,0.9,0.7,1.0,3,0.5822674790564896,4.0,10.0,50.0
3,0.05,0.6,0.5,2.0,1,0.5738280383383263,6.0,15.0,35.6
4,0.05,1.0,0.7,0.1,20,0.5825545646317933,6.0,12.0,34.5
5,0.12,0.6,0.8,0.1,15,0.5697607239819495,4.0,13.0,21.4
4,0.2,1.0,0.7,5.0,3,0.5874882542816711,3.0,12.0,19.4
2,0.02,0.7,0.7,0.1,3,0.5786985079706325,4.0,12.0,53.2
2,0.08,0.8,0.8,10.0,5,0.587843164947125,7.0,8.0,31.1
3,0.05,0.8,0.6,10.0,5,0.5820716991309284,6.0,14.0,43.2
2,0.12,0.7,0.9,10.0,3,0.5835050732235663,6.0,10.0,23.0
3,0.08,0.9,0.7,10.0,20,0.5848247415506884,6.0,8.0,28.6
6,0.03,0.8,0.5,0.5,1,0.5980187309034349,4.0,5.0,67.3
4,0.08,0.8,0.5,0.5,15,0.5860011756668875,5.0,10.0,29.0
4,0.03,0.9,0.8,10.0,10,0.5737581315349067,7.0,14.0,56.8
3,0.05,0.7,0.6,10.0,15,0.5687633536120937,8.0,16.0,43.2
6,0.05,1.0,0.8,5.0,10,0.5737875908600222,6.0,14.0,43.0
4,0.03,0.7,0.9,2.0,1,0.5617910149260268,6.0,15.0,50.9
2,0.02,0.7,1.0,0.5,20,0.5760881021960396,6.0,13.0,57.6
5,0.12,0.6,0.8,2.0,15,0.5827000930483482,6.0,13.0,9.8
5,0.12,0.8,0.9,0.1,20,0.5786670613482445,5.0,12.0,20.1
2,0.2,1.0,0.7,10.0,5,0.571861731569806,7.0,10.0,24.8
2,0.05,0.9,0.6,2.0,1,0.578167031040145,5.0,15.0,45.3
4,0.12,0.7,0.9,0.1,20,0.582340664569224,5.0,15.0,21.7
4,0.2,1.0,0.9,0.5,3,0.5748735373710088,4.0,17.0,18.9
4,0.03,1.0,0.9,0.1,15,0.5721516453591702,8.0,14.0,48.3
4,0.08,0.6,0.5,1.0,5,0.5622531187271433,4.0,11.0,26.3
3,0.02,0.7,0.9,0.1,1,0.5659129840979698,7.0,17.0,58.0
5,0.02,1.0,0.6,0.5,20,0.5703833576260484,4.0,16.0,65.2
5,0.12,0.7,0.7,5.0,15,0.569072778230018,5.0,16.0,23.1
5,0.03,1.0,1.0,10.0,3,0.5768995422766519,7.0,15.0,63.6
4,0.08,0.8,0.8,5.0,10,0.592241660434765,6.0,14.0,29.6
2,0.03,0.7,0.5,1.0,1,0.5844067002432927,4.0,9.0,53.9
6,0.12,0.7,0.9,0.5,1,0.5982688155953748,2.0,8.0,25.8
2,0.2,0.6,0.6,0.1,1,0.6027177574083104,4.0,5.0,17.2
4,0.02,1.0,0.6,1.0,20,0.5830185947636539,5.0,10.0,59.6
