feature,gain
residual_lag_1,486.0612487792969
residual_lag_2,296.84674072265625
rolling_mean_cases_4w,78.98479461669922
cases_lag_3,77.66578674316406
cases_lag_1,71.76769256591797
rolling_std_cases_4w,52.18914031982422
cases_lag_4,49.58796691894531
rainfall_lag_5,48.409912109375
cos_week,47.18186569213867
sarima_prediction,46.85955810546875
rainfall_lag_6,46.311336517333984
rainfall_lag_7,46.298583984375
humidity_lag_2,41.63315963745117
District,40.81931686401367
humidity_lag_3,39.74591064453125
humidity_lag_1,38.68296813964844
rainfall_lag_3,36.6739501953125
rate_of_change,32.170040130615234
sin_week,31.962400436401367
rainfall_lag_2,26.67596435546875
rainfall_lag_4,22.58816909790039
cases_lag_2,18.97574806213379
monsoon_indicator_SW,16.200422286987305
temperature_lag_4,14.932233810424805
temperature_lag_3,10.886510848999023
temperature_lag_1,7.619917869567871
temperature_lag_2,7.085079193115234
humidity_anomaly,6.745697021484375
temperature_anomaly,1.609161376953125
humidity_lag_4,0.0
monsoon_indicator_NE,0.0
rainfall_anomaly,0.0
rainfall_lag_8,0.0
