feature,gain
residual_lag_1,419.47406005859375
residual_lag_2,225.99972534179688
cases_lag_3,71.03040313720703
suspected_backfill_week,61.141483306884766
weeks_since_reporting_anomaly,55.904903411865234
rolling_mean_cases_4w,47.34396743774414
rainfall_lag_5,44.173526763916016
rolling_std_cases_4w,41.36427688598633
rate_of_change,36.283931732177734
sarima_prediction,34.196434020996094
cases_lag_4,33.92719268798828
cos_week,30.990245819091797
District,29.20454978942871
humidity_lag_1,29.060558319091797
humidity_lag_2,28.543039321899414
cases_lag_1,28.317848205566406
rainfall_lag_3,26.848142623901367
rainfall_lag_4,26.354368209838867
humidity_lag_3,21.891963958740234
temperature_lag_4,21.186803817749023
rainfall_anomaly,18.304351806640625
rainfall_lag_2,18.0434627532959
cases_lag_2,16.648250579833984
sin_week,15.999722480773926
rainfall_lag_7,13.358797073364258
reporting_rebound_ratio_lag1,11.941246032714844
rainfall_lag_6,11.84146785736084
humidity_lag_4,11.37601089477539
humidity_anomaly,9.611931800842285
temperature_anomaly,9.197687149047852
temperature_lag_1,5.419195175170898
temperature_lag_2,5.0376996994018555
rainfall_lag_8,4.973671913146973
temperature_lag_3,0.17763137817382812
monsoon_indicator_NE,0.0
monsoon_indicator_SW,0.0
