feature,gain
residual_lag_1,374.4693603515625
residual_lag_2,192.46400451660156
cases_lag_3,45.001644134521484
cos_week,30.814285278320312
sarima_prediction,30.216045379638672
rainfall_lag_5,30.04905891418457
rolling_mean_cases_4w,27.02638816833496
rate_of_change,26.690475463867188
humidity_lag_2,24.78959846496582
weeks_since_reporting_anomaly,24.678600311279297
cases_lag_4,23.510278701782227
District,22.203603744506836
rolling_std_cases_4w,21.30937385559082
cases_lag_1,20.835529327392578
rainfall_lag_2,20.113237380981445
humidity_lag_3,20.013385772705078
rainfall_lag_4,18.732999801635742
cases_lag_2,18.052650451660156
rainfall_lag_6,17.719314575195312
sin_week,17.71599769592285
rainfall_lag_3,16.045154571533203
suspected_backfill_week,15.3404541015625
temperature_lag_2,14.119157791137695
rainfall_lag_7,13.682520866394043
humidity_lag_1,13.491484642028809
monsoon_indicator_SW,13.198946952819824
rainfall_anomaly,13.003375053405762
temperature_lag_4,12.197137832641602
humidity_anomaly,11.60085678100586
humidity_lag_4,11.388184547424316
temperature_lag_3,11.140145301818848
temperature_anomaly,8.910361289978027
reporting_rebound_ratio_lag1,7.989310264587402
rainfall_lag_8,6.407642841339111
temperature_lag_1,4.790421009063721
monsoon_indicator_NE,0.0
