feature,gain
residual_lag_1,360.7814025878906
residual_lag_2,156.04388427734375
rainfall_lag_5,33.5577278137207
sarima_prediction,33.11874771118164
cos_week,29.82172966003418
rate_of_change,28.715932846069336
cases_lag_3,27.993959426879883
cases_lag_1,26.129478454589844
rolling_mean_cases_4w,24.203882217407227
humidity_lag_2,22.98275375366211
cases_lag_4,20.56381607055664
cases_lag_2,19.825225830078125
monsoon_indicator_SW,19.60706901550293
District,18.598649978637695
rainfall_lag_2,17.412084579467773
rolling_std_cases_4w,17.2266902923584
humidity_lag_3,15.078688621520996
sin_week,14.806266784667969
rainfall_lag_3,13.411080360412598
rainfall_lag_4,13.20134162902832
rainfall_lag_6,12.78931999206543
humidity_lag_1,12.292827606201172
rainfall_anomaly,12.212848663330078
temperature_lag_3,12.208053588867188
humidity_anomaly,12.072352409362793
humidity_lag_4,11.695637702941895
temperature_lag_1,11.266061782836914
rainfall_lag_7,11.159134864807129
temperature_lag_2,11.075933456420898
temperature_anomaly,10.737308502197266
rainfall_lag_8,10.072580337524414
temperature_lag_4,9.344343185424805
monsoon_indicator_NE,0.0
