feature,gain
residual_ewma_4,551.1619262695312
residual_lag_1,332.14556884765625
residual_lag_2,149.1993408203125
residual_lag_3,84.5248794555664
residual_lag_4,47.37577438354492
humidity_lag_2,38.11260986328125
rainfall_lag_5,36.019508361816406
cos_week,35.85972213745117
sarima_prediction,34.642051696777344
humidity_lag_1,29.233238220214844
cases_lag_4,29.226003646850586
rolling_mean_cases_4w,28.059600830078125
District,27.767255783081055
cases_lag_1,25.578691482543945
weeks_since_reporting_anomaly,25.14669418334961
monsoon_indicator_SW,24.7814998626709
rolling_std_cases_4w,24.01974105834961
rainfall_lag_4,22.31361198425293
rainfall_lag_3,22.143051147460938
rainfall_lag_2,20.982982635498047
rate_of_change,19.937049865722656
cases_lag_2,17.718265533447266
suspected_backfill_week,17.511390686035156
humidity_lag_3,17.1827392578125
sin_week,17.00400161743164
humidity_anomaly,16.707712173461914
rainfall_lag_6,15.211316108703613
rainfall_anomaly,14.79310131072998
humidity_lag_4,14.532145500183105
temperature_lag_4,13.549554824829102
reporting_rebound_ratio_lag1,13.034189224243164
rainfall_lag_7,12.640713691711426
cases_lag_3,11.709287643432617
temperature_lag_2,11.519173622131348
temperature_anomaly,9.885185241699219
rainfall_lag_8,7.164709091186523
temperature_lag_1,5.702449321746826
temperature_lag_3,4.188113689422607
monsoon_indicator_NE,0.0
