District,fold_id,stage2_trained,rmse,mae,smape,n_obs_scored,n_obs_total
Ampara,1,False,12.325015678651924,9.228632162658101,200.0,52,52
Ampara,10,True,17.425203921354363,10.888319853121468,77.74452313352855,52,52
Ampara,11,True,18.442620359961065,10.782115809047678,20.383958790960314,51,52
Ampara,12,True,204.79555989717196,39.40190392859949,105.0153395862713,51,52
Ampara,13,True,12.403001118489842,9.677630897139561,68.07805063379513,51,52
Ampara,14,True,29.22948363358348,17.510625175845163,109.24637147592287,52,52
Ampara,2,True,4.170211741186696,2.8536564965204336,138.99261258646325,52,52
Ampara,3,True,4.149217026221387,2.977820285767765,75.16754782640764,52,52
Ampara,4,True,8.41452003801792,4.982517506281665,124.89066806931623,52,52
Ampara,5,True,11.998954725349847,5.33350521229346,155.88230868512443,52,52
Ampara,6,True,10.074340058114908,4.725365413052755,46.61233965722393,51,52
Ampara,7,True,6.1461384304495255,4.278635206604006,104.29560392233338,52,52
Ampara,8,True,101.37734378746282,56.40572918991331,63.131495459747875,52,52
Ampara,9,True,18.27559573368388,14.623101533977861,25.579508083404257,52,52
Ampara,holdout,True,11.172857303441416,7.685343421076722,98.01338018901403,104,104
Ampara,validation_aggregate,True,,9.453131529898831,,724,728
Anuradhapura,1,False,21.638497747314865,12.499472831210019,200.0,52,52
Anuradhapura,10,True,9.185686935531562,6.247887271870888,116.86775681394805,52,52
Anuradhapura,11,True,5.785903544626814,4.749475628481491,19.047778504205446,51,52
Anuradhapura,12,True,68.32861218308479,15.827685574427818,113.76743579484143,51,52
Anuradhapura,13,True,5.1345655354112445,3.750179495204641,134.43750315908116,51,52
Anuradhapura,14,True,10.392243041466557,7.2376690784500095,101.62235005358009,52,52
Anuradhapura,2,True,3.8179502835556485,2.756182083424287,126.59262031999754,52,52
Anuradhapura,3,True,5.584259844472777,3.103802109503362,137.79952801696106,52,52
Anuradhapura,4,True,5.11332999452273,3.9727547592952295,103.70388811786478,52,52
Anuradhapura,5,True,4.337325498573157,3.1728250640049294,108.77531116262516,52,52
Anuradhapura,6,True,9.102079552028433,4.9336288172643625,56.36485213352758,51,52
Anuradhapura,7,True,6.246117070429689,4.564020986537108,140.1658599840082,52,52
Anuradhapura,8,True,36.383267985798234,20.42899596942963,49.994464806062155,52,52
Anuradhapura,9,True,10.873905984592131,7.653482388607524,30.493159431630545,52,52
Anuradhapura,holdout,True,7.34002389414353,5.151036209113631,109.0070425839188,104,104
Anuradhapura,validation_aggregate,True,,4.841552222872927,,724,728
Badulla,1,False,25.08197260748984,14.389028357344275,200.0,52,52
Badulla,10,True,14.656709543079073,10.32427214766223,86.95077351192002,52,52
Badulla,11,True,8.33115325917535,6.456596258401853,8.59819862081603,51,52
Badulla,12,True,30.559634478737337,12.57211742226589,115.6103347833147,51,52
Badulla,13,True,15.579250949945418,10.572514832449068,83.5941383315936,51,52
Badulla,14,True,27.172859877945196,14.070670198764917,115.39829798168175,52,52
Badulla,2,True,9.44529928002426,5.570959540611203,88.13500623884913,52,52
Badulla,3,True,4.45407781205299,3.8818855562572763,113.25213458392685,52,52
Badulla,4,True,4.474234136990008,3.3130657877088336,134.49645162194875,52,52
Badulla,5,True,12.795367349430725,8.274033859492452,96.73901164127443,52,52
Badulla,6,True,11.286434899428887,8.06099093090309,38.24511396554156,51,52
Badulla,7,True,11.50289512419151,8.111242009825082,104.60586563966578,52,52
Badulla,8,True,60.246782881663364,28.919369421107618,54.76601697411532,52,52
Badulla,9,True,5.817835935497137,4.181987751823113,27.737410841767325,52,52
Badulla,holdout,True,10.449366780851904,6.44935292736585,90.60104961790452,104,104
Badulla,validation_aggregate,True,,8.192637934658766,,724,728
Batticaloa,1,False,26.414118038387898,16.554502003620044,200.0,52,52
Batticaloa,10,True,16.848106094240695,11.190488144196859,53.93371225976108,52,52
Batticaloa,11,True,42.27727635372635,24.945832222843926,33.24188645395748,51,52
Batticaloa,12,True,42.494556831443916,23.17616145643865,28.438210518281583,51,52
Batticaloa,13,True,9.850838882310088,6.781071885945964,72.3859790528494,51,52
Batticaloa,14,True,19.013150398600615,13.326267908317032,70.47240555731442,52,52
Batticaloa,2,True,23.3251439097651,13.98691025093036,103.53778210821969,52,52
Batticaloa,3,True,64.57506422559446,63.31843189677257,115.93318394863597,52,52
Batticaloa,4,True,9.182769406826754,5.5058237709678135,125.65090797975354,52,52
Batticaloa,5,True,8.537079164003108,5.843992726755943,84.3099859352483,52,52
Batticaloa,6,True,12.314658274326327,8.994382870768375,59.712905303274276,51,52
Batticaloa,7,True,5.810612732038165,4.228843210239503,95.43731934080247,52,52
Batticaloa,8,True,67.31699046182658,40.86325108211112,51.984652292358454,52,52
Batticaloa,9,True,23.313574708158562,16.548112835183964,60.8305508357928,52,52
Batticaloa,holdout,True,11.682418643040334,8.417865231060064,78.46927190692683,104,104
Batticaloa,validation_aggregate,True,,13.656589079623696,,724,728
Colombo,1,False,105.79720610451658,72.05436659458081,200.0,52,52
Colombo,10,True,95.88910498449182,66.88423023834751,63.31281969079947,52,52
Colombo,11,True,434.64810037386525,423.0155867404224,102.35158986321007,51,52
Colombo,12,True,79.53367097949595,43.97678338179091,95.05947824560329,51,52
Colombo,13,True,28.767176947508148,20.92226789388098,99.60244276528691,51,52
Colombo,14,True,113.4513310676658,81.67137770421888,44.23786573491327,52,52
Colombo,2,True,104.05514407807588,69.56066537603117,69.25852156421098,52,52
Colombo,3,True,164.1842050012566,150.97555868542514,174.03827800688362,52,52
Colombo,4,True,63.334250469009554,48.67181342007652,116.01674594815015,52,52
Colombo,5,True,80.29675504017659,61.31140663817734,86.34381433910913,52,52
Colombo,6,True,68.1543837207085,56.511446461596634,51.00166703474465,51,52
Colombo,7,True,118.41484850741628,69.13532642234053,71.06347739218374,52,52
Colombo,8,True,549.5872666940835,342.0682668629864,114.57302441665134,52,52
Colombo,9,True,45.46350351888233,37.085956979570526,53.34015783616033,52,52
