District,fold_id,stage2_trained,rmse,mae,smape,n_obs_scored,n_obs_total
Ampara,1,False,12.325015678651924,9.228632162658101,200.0,52,52
Ampara,10,True,17.176819877319506,10.773543803178828,76.85280720736746,52,52
Ampara,11,True,19.235453903438277,10.92219842973139,20.612801212800466,51,52
Ampara,12,True,207.81782977388744,40.1989854841963,89.63384150171217,51,52
Ampara,13,True,12.73103531388867,9.71042479650035,67.40765794449413,51,52
Ampara,14,True,29.513420283252923,17.283665512545177,110.0845735986371,52,52
Ampara,2,True,4.170211741186696,2.8536564965204336,138.99261258646325,52,52
Ampara,3,True,4.16795819273237,2.9851375429261093,75.70698668440632,52,52
Ampara,4,True,8.123403577671471,4.847770860472486,122.43808365020217,52,52
Ampara,5,True,11.867882954968657,5.42350864969194,159.2712396867771,52,52
Ampara,6,True,11.841356853897322,5.40163772117797,49.92859042929613,51,52
Ampara,7,True,6.112908827145542,4.221078590031773,99.99829533569702,52,52
Ampara,8,True,100.38224301109497,56.09965796169251,64.44341069340724,52,52
Ampara,9,True,19.718853784047756,15.679010819156415,27.32188761509548,52,52
Ampara,holdout,True,10.964008528483765,7.438018374085796,93.36699744787855,104,104
Ampara,validation_aggregate,True,,9.469528479579225,,724,728
Anuradhapura,1,False,21.638497747314865,12.499472831210019,200.0,52,52
Anuradhapura,10,True,9.17500035728808,6.254215665333167,110.81225481726284,52,52
Anuradhapura,11,True,4.909915664707715,3.910450665973358,16.505651348462056,51,52
Anuradhapura,12,True,70.75616283052449,16.913585675618016,116.90257940567108,51,52
Anuradhapura,13,True,5.12772441685779,3.7022675011778645,127.19455917749514,51,52
Anuradhapura,14,True,10.376116903516218,7.27778866214439,102.59385336424454,52,52
Anuradhapura,2,True,3.8179502835556485,2.756182083424287,126.59262031999754,52,52
Anuradhapura,3,True,5.430184304754732,3.050573919938044,137.07772767946815,52,52
Anuradhapura,4,True,5.074028718781605,3.894505364555309,103.14388914960621,52,52
Anuradhapura,5,True,4.46443353025116,3.287559267952001,110.76528762633555,52,52
Anuradhapura,6,True,11.123572849734607,5.17214385105019,54.589746040792534,51,52
Anuradhapura,7,True,6.080199207386197,4.426419077166158,133.21515412895445,52,52
Anuradhapura,8,True,37.17856491009931,21.32735720954002,53.32301758562308,52,52
Anuradhapura,9,True,11.519474314819128,8.202912144551997,32.393470790565296,52,52
Anuradhapura,holdout,True,7.565110140059779,5.272030719823817,111.55569017175264,104,104
Anuradhapura,validation_aggregate,True,,4.799281464108174,,724,728
Badulla,1,False,25.08197260748984,14.389028357344275,200.0,52,52
Badulla,10,True,14.510037562275448,10.105874616886494,85.36942363954745,52,52
Badulla,11,True,9.612232474630378,8.65428034169435,10.708360619686179,51,52
Badulla,12,True,34.00523180395753,14.310989446135395,113.43805664558163,51,52
Badulla,13,True,15.162287026631635,10.345062762282401,81.55758647962826,51,52
Badulla,14,True,28.53874349841841,14.19038886688762,114.10058676476211,52,52
Badulla,2,True,9.44529928002426,5.570959540611203,88.13500623884913,52,52
Badulla,3,True,4.38055525497443,3.7539831929990273,107.21538794962547,52,52
Badulla,4,True,4.328468819513954,3.2852425146114133,141.39017062673707,52,52
Badulla,5,True,12.171761399172127,7.898939494080567,92.70961801354325,52,52
Badulla,6,True,13.285255779344485,8.752471768655095,39.561740781609124,51,52
Badulla,7,True,11.398720994792273,8.070318751648738,102.19217670762582,52,52
Badulla,8,True,56.756096124149686,27.878567118908187,54.058304325639895,52,52
Badulla,9,True,6.562072594470143,4.723182478716335,30.76963087027182,52,52
Badulla,holdout,True,10.481493886313414,6.396717845733859,86.6240141211134,104,104
Badulla,validation_aggregate,True,,8.703376055174722,,724,728
Batticaloa,1,False,26.414118038387898,16.554502003620044,200.0,52,52
Batticaloa,10,True,17.089069059070628,11.545781248562616,54.52881817138697,52,52
Batticaloa,11,True,41.10775494966093,22.30011856410203,31.54895835199611,51,52
Batticaloa,12,True,42.716648678409015,23.71378333025154,29.381973645082137,51,52
Batticaloa,13,True,9.109619209342837,6.414333261995756,69.77597192037845,51,52
Batticaloa,14,True,20.238647055671347,14.207777164385199,71.72666058009351,52,52
Batticaloa,2,True,23.3251439097651,13.98691025093036,103.53778210821969,52,52
Batticaloa,3,True,62.6696818889117,61.329345140433134,110.59839274326693,52,52
Batticaloa,4,True,7.750731852271315,5.147984975035995,122.33815400491967,52,52
Batticaloa,5,True,8.515755033279545,5.7861833891218435,87.16981120097724,52,52
Batticaloa,6,True,14.338236826170938,9.762152896428384,61.11123461163813,51,52
Batticaloa,7,True,5.893503748563987,4.234505968349248,94.14559312315221,52,52
Batticaloa,8,True,67.81407031311983,41.2271001208932,52.19643853583631,52,52
Batticaloa,9,True,23.598055663551442,15.748602276708377,56.47440582262065,52,52
Batticaloa,holdout,True,11.642015070543913,8.307378405634394,76.77633955993983,104,104
Batticaloa,validation_aggregate,True,,14.097343707657778,,724,728
Colombo,1,False,105.79720610451658,72.05436659458081,200.0,52,52
Colombo,10,True,86.91075897408017,60.75568915578859,63.324199531889114,52,52
Colombo,11,True,434.93584869661424,422.1771916778075,101.56683033170897,51,52
Colombo,12,True,87.02355707694299,48.677683723367124,97.03511668923187,51,52
Colombo,13,True,29.46228900366366,21.599405800097834,101.63928962170843,51,52
Colombo,14,True,118.86227761249393,85.79456512096219,46.417940307138345,52,52
Colombo,2,True,104.69577834631642,70.12099706909359,70.34096814156696,52,52
Colombo,3,True,163.33918828543898,150.62290602234668,176.05619684005634,52,52
Colombo,4,True,60.00840758858047,46.15400161992663,110.06221258557093,52,52
Colombo,5,True,84.55718998022172,63.57009537230526,89.22146413799659,52,52
Colombo,6,True,65.81095998193982,54.189365548059065,50.762084723463644,51,52
Colombo,7,True,120.40850304337877,71.27829093925848,73.81636870462097,52,52
Colombo,8,True,553.4885327423499,349.557457271596,119.20989623812066,52,52
Colombo,9,True,49.06185527178579,40.75131850441038,58.66510905430092,52,52
Colombo,holdout,True,106.24350235376282,47.54349838042951,61.701649657073865,104,104
Colombo,validation_aggregate,True,,66.84554622069942,,724,728
Galle,1,False,18.41584755076961,13.596532499309193,200.0,52,52
Galle,10,True,41.191606369866435,30.43927031620726,68.57724314211089,52,52
Galle,11,True,27.662321040235657,22.56311440648791,24.418918639258088,51,52
Galle,12,True,21.004584458130324,9.261243019717726,80.20403641751201,51,52
Galle,13,True,22.069719747133792,15.074517882231705,113.15457515647955,51,52
Galle,14,True,24.7502100548408,17.36893980228094,69.40788952205152,52,52
Galle,2,True,9.3230948374991,6.827189091455287,88.0310577611883,52,52
Galle,3,True,8.523170265583328,6.394158953148006,98.27866597971716,52,52
Galle,4,True,7.304674119677747,5.900902601531158,128.47813952273884,52,52
Galle,5,True,8.55885507642505,6.773143656240906,106.67124633614884,52,52
Galle,6,True,13.371554192337378,7.7919816077966475,97.21308088176353,51,52
Galle,7,True,22.937353669011795,15.917309798494127,134.32643106802263,52,52
Galle,8,True,65.58826300357914,42.46628606648236,62.99292270038337,52,52
Galle,9,True,11.6026973986563,7.301872529305475,20.913906250188923,52,52
Galle,holdout,True,64.69698645143151,20.182005203218345,48.6453049763827,104,104
Galle,validation_aggregate,True,,11.42888775951346,,724,728
Gampaha,1,False,44.534362804113,34.339769936105284,200.0,52,52
Gampaha,10,True,94.16816232275542,62.47322588735952,60.20599423176467,52,52
Gampaha,11,True,114.92498379200019,109.25476121949228,44.30298773737306,51,52
Gampaha,12,True,50.20964319572241,26.722278753799483,98.10319319895403,51,52
Gampaha,13,True,33.86141449327251,26.667545641897394,89.06821267988491,51,52
Gampaha,14,True,85.66069528786845,62.4465209914425,49.15961351458492,52,52
Gampaha,2,True,35.735776907388065,24.659019513148678,77.20385068436524,52,52
Gampaha,3,True,40.31794940050764,28.698812538479576,103.53952052644522,52,52
Gampaha,4,True,20.03892576093393,14.899350017917337,74.06192889024551,52,52
Gampaha,5,True,49.67803040857999,34.4230771670217,81.29144257259297,52,52
Gampaha,6,True,31.55262607704469,23.221095161113805,58.77846456610607,51,52
Gampaha,7,True,117.70037224857622,34.860200085582456,119.88316831819002,52,52
Gampaha,8,True,716.2748478311947,435.33588198376674,109.4290366403685,52,52
Gampaha,9,True,32.70314767736208,22.94108198576485,58.55457083182216,52,52
Gampaha,holdout,True,124.09090179183758,41.33473975228601,57.07870184005588,104,104
Gampaha,validation_aggregate,True,,31.51929123729243,,724,728
Hambantota,1,False,11.129071087187087,9.040513203475774,200.0,52,52
Hambantota,10,True,14.84173223988494,11.197884232345245,89.63844242646731,52,52
Hambantota,11,True,7.253340445921899,3.583172082856231,28.232049280980064,51,52
Hambantota,12,True,23.336678527383967,8.44456955552754,91.95531831834487,51,52
Hambantota,13,True,18.79011166285424,12.308703351727608,115.11032286578143,51,52
Hambantota,14,True,14.034950948701482,9.045094852040233,82.1894618896041,52,52
Hambantota,2,True,5.876888347311299,3.4347702160433404,90.93765423338803,52,52
Hambantota,3,True,4.587465471563239,3.633195025258647,95.73587064075026,52,52
Hambantota,4,True,2.744984078913925,2.2209335837737303,135.28989242335717,52,52
Hambantota,5,True,8.622568799767812,5.014679384920792,128.69530268195746,52,52
Hambantota,6,True,10.195344130277748,5.023670921850448,92.10084115803761,51,52
Hambantota,7,True,8.98159080715956,6.332706694561842,110.28982356115549,52,52
