model,fold_id,split,n_obs_scored,n_positive_scored,prevalence,pr_auc,pr_auc_uplift_ratio,accuracy,majority_baseline_accuracy,accuracy_uplift,brier_score,reference_brier,brier_skill_score
xgboost,1,validation,1300,187,0.1438461538461538,0.2724145286752641,1.8937908410579865,0.8015384615384615,0.8561538461538463,-0.05461538461538473,0.1429294560632593,0.12315443786982246,-0.16057089403744884
xgboost,2,validation,1300,285,0.2192307692307692,0.5567266271074043,2.539454790314476,0.7953846153846154,0.7807692307692308,0.014615384615384586,0.1457310930632191,0.1711686390532544,0.14861101969807167
xgboost,3,validation,1300,172,0.1323076923076923,0.3409238089405969,2.57674971873707,0.8092307692307692,0.8676923076923078,-0.058461538461538565,0.1307043470033401,0.11480236686390533,-0.13851613493549375
xgboost,4,validation,1300,241,0.1853846153846154,0.500000452584493,2.697097877011788,0.7930769230769231,0.8146153846153846,-0.021538461538461506,0.1432033033488814,0.15101715976331362,0.051741513525209504
xgboost,5,validation,1275,123,0.0964705882352941,0.3299700117133005,3.4204208531256763,0.8211764705882353,0.9035294117647059,-0.08235294117647063,0.1230912479483796,0.08716401384083043,-0.41217966594741284
xgboost,6,validation,1300,231,0.1776923076923077,0.3632791755419376,2.0444282606256228,0.7161538461538461,0.8223076923076923,-0.10615384615384615,0.1843553483854502,0.14611775147928996,-0.2616902910087544
xgboost,7,validation,1275,1006,0.7890196078431373,0.9568384055748638,1.2126928102464725,0.8486274509803922,0.2109803921568627,0.6376470588235295,0.1084375483609894,0.16646766628219914,0.3485969330694886
xgboost,8,validation,1300,220,0.1692307692307692,0.771425188797812,4.558421570168889,0.8530769230769231,0.8307692307692308,0.02230769230769225,0.1168955974752813,0.14059171597633136,0.16854562401841156
xgboost,9,validation,1300,286,0.22,0.8544667204579487,3.8839396384452214,0.8553846153846154,0.78,0.07538461538461538,0.1004536815861692,0.1716,0.41460558516218415
xgboost,10,validation,1250,155,0.124,0.6907910655611844,5.570895690009552,0.8992,0.876,0.0232,0.0768670559792948,0.108624,0.2923566064654699
xgboost,11,validation,1275,32,0.0250980392156862,0.3308100793750101,13.180714100098099,0.9505882352941176,0.9749019607843138,-0.02431372549019617,0.0406738895460185,0.02446812764321408,-0.6623212915639207
xgboost,12,validation,1273,45,0.035349567949725,0.2445496994129463,6.918039274504026,0.9167321288295364,0.964650432050275,-0.047918303220738645,0.0656630995991901,0.034099975995492776,-0.9256054493372441
xgboost,13,validation,1300,114,0.0876923076923077,0.5098399341510474,5.813964161371594,0.8553846153846154,0.9123076923076923,-0.056923076923076854,0.1106693274381412,0.08000236686390533,-0.38332566618190755
xgboost,holdout,holdout,2600,188,0.0723076923076923,0.5379649135978282,7.439940294438051,0.9084615384615384,0.9276923076923077,-0.019230769230769273,0.0724753166024304,0.06707928994082839,-0.08044251312680739
