feature,importance
case_anomaly_lag_1,312.8562316894531
case_anomaly_lag_2,155.5982666015625
rolling_mean_cases_4w,44.05772018432617
monsoon_indicator_SW,35.25404739379883
cos_week,31.534440994262695
District,30.708023071289062
rate_of_change,30.029891967773438
momentum_vs_rolling_mean,29.264175415039062
cases_lag_1,29.041616439819336
cases_lag_2,28.357501983642578
cases_lag_3,25.801801681518555
monsoon_indicator_NE,25.797393798828125
rolling_std_cases_4w,20.893447875976562
humidity_lag_1,20.12660789489746
cases_lag_4,20.072467803955078
rainfall_lag_4,19.745935440063477
humidity_lag_2,19.253644943237305
sin_week,18.7985782623291
current_rainfall,18.464187622070312
rainfall_lag_6,18.45452117919922
rainfall_lag_2,18.169286727905273
temperature_anomaly,18.15067481994629
current_temperature,18.020383834838867
rainfall_lag_5,17.95835304260254
humidity_lag_4,17.920684814453125
rainfall_lag_8,17.885414123535156
rainfall_anomaly,17.773178100585938
humidity_lag_3,17.765636444091797
rainfall_lag_7,17.649229049682617
humidity_anomaly,17.630563735961914
temperature_lag_1,17.23724937438965
current_humidity,16.747873306274414
rainfall_lag_3,16.47075080871582
temperature_lag_2,15.771244049072266
temperature_lag_3,15.108670234680176
temperature_lag_4,13.731649398803711
