feature,importance
num__case_anomaly_lag_1,0.3918089097218384
num__case_anomaly_lag_2,0.31332316299918256
num__rolling_std_cases_4w,0.04437256590779233
num__rolling_mean_cases_4w,0.04251833294381984
num__cases_lag_1,0.03867460168775053
num__cases_lag_2,0.03641506597504277
num__momentum_vs_rolling_mean,0.02418772731330739
num__cases_lag_3,0.020929712265159297
num__rate_of_change,0.01931964894075949
num__cases_lag_4,0.017246225632088306
num__cos_week,0.013186591473173706
num__sin_week,0.009080883685159908
cat__District_Kilinochchi,0.006961535308883134
cat__District_Mullaitivu,0.003005266133418495
num__monsoon_indicator_NE,0.0026151113279347165
num__monsoon_indicator_SW,0.002241602614930383
cat__District_Colombo,0.002166154589762206
cat__District_Gampaha,0.0015387423545113346
cat__District_Kurunegala,0.0012026456845531809
cat__District_Kalutara,0.0008318483669277228
cat__District_Ratnapura,0.0007510871539953799
cat__District_Polonnaruwa,0.0006941401989835043
cat__District_Jaffna,0.0005842767440833745
cat__District_Vavuniya,0.0005700187362609071
cat__District_Kandy,0.0005553494480456271
cat__District_Nuwara Eliya,0.0005025764265261539
cat__District_Kegalle,0.0004943131270318753
cat__District_Monaragala,0.00048504896676619316
cat__District_Hambantota,0.00045828985806309813
cat__District_Mannar,0.00044128394838343797
cat__District_Badulla,0.00044116174221219364
cat__District_Galle,0.00043053612481733347
cat__District_Trincomalee,0.00035008764834727545
cat__District_Puttalam,0.0003173338512847224
cat__District_Batticaloa,0.0003145324079560745
cat__District_Ampara,0.0002676352192529928
cat__District_Anuradhapura,0.00025604244681150424
cat__District_Matara,0.0002498184095062378
cat__District_Matale,0.0002101326156764131
