model,fold_id,split,pr_auc,roc_auc,accuracy,precision,recall,specificity,f1,brier_score,prevalence,n_obs_scored,n_obs_total,selected
logistic_regression,1,validation,0.3597381912976013,0.8578447888589398,0.9661538461538461,0.32608695652173914,0.5357142857142857,0.97562893081761,0.40540540540540543,0.05226037662431403,0.021538461538461538,1300,1300,False
random_forest,1,validation,0.33882315776041805,0.9012241689128482,0.9746153846153847,0.41935483870967744,0.4642857142857143,0.9858490566037735,0.44067796610169496,0.04549793695846268,0.021538461538461538,1300,1300,True
xgboost,1,validation,0.32768501248062315,0.907064240790656,0.9684615384615385,0.34146341463414637,0.5,0.9787735849056604,0.40579710144927533,0.04256810391520016,0.021538461538461538,1300,1300,False
logistic_regression,2,validation,0.24013480029769751,0.7987321711568937,0.9461538461538461,0.21428571428571427,0.3157894736842105,0.96513470681458,0.2553191489361702,0.0639770705190501,0.02923076923076923,1300,1300,False
random_forest,2,validation,0.2827317178211369,0.8633539077487696,0.943076923076923,0.25,0.47368421052631576,0.9572107765451664,0.32727272727272727,0.058739761358750246,0.02923076923076923,1300,1300,True
xgboost,2,validation,0.29996715697961024,0.8813078655434148,0.9253846153846154,0.1958762886597938,0.5,0.9381933438985737,0.2814814814814815,0.06405524896260406,0.02923076923076923,1300,1300,False
logistic_regression,3,validation,0.33586514227802655,0.8928290655884996,0.95,0.2465753424657534,0.6428571428571429,0.9567610062893082,0.3564356435643564,0.05703389558782547,0.021538461538461538,1300,1300,False
random_forest,3,validation,0.1885646049122125,0.8387522461814915,0.9638461538461538,0.2564102564102564,0.35714285714285715,0.9772012578616353,0.29850746268656714,0.04397951916983718,0.021538461538461538,1300,1300,True
xgboost,3,validation,0.27593031497470627,0.897181042228212,0.9507692307692308,0.25675675675675674,0.6785714285714286,0.9567610062893082,0.37254901960784315,0.051161284169288376,0.021538461538461538,1300,1300,False
logistic_regression,4,validation,0.3580362910211051,0.8060292743693553,0.9061538461538462,0.25217391304347825,0.4461538461538462,0.9303643724696357,0.3222222222222222,0.07993801190166909,0.05,1300,1300,False
random_forest,4,validation,0.5476486111492535,0.9206353161009032,0.9323076923076923,0.3904761904761905,0.6307692307692307,0.9481781376518219,0.4823529411764706,0.06046436010170202,0.05,1300,1300,True
xgboost,4,validation,0.5622951811760667,0.9179071940205544,0.9053846153846153,0.3092105263157895,0.7230769230769231,0.9149797570850202,0.43317972350230416,0.07586855356514627,0.05,1300,1300,False
logistic_regression,5,validation,0.42351134305432475,0.9488866396761133,0.9254901960784314,0.2689075630252101,0.8,0.9295546558704454,0.4025157232704403,0.06442558790323848,0.03137254901960784,1275,1300,False
random_forest,5,validation,0.44231824912716283,0.937246963562753,0.956078431372549,0.36666666666666664,0.55,0.9692307692307692,0.43999999999999995,0.04702646275521279,0.03137254901960784,1275,1300,True
xgboost,5,validation,0.4815384343116101,0.9412955465587045,0.9325490196078431,0.2830188679245283,0.75,0.9384615384615385,0.4109589041095891,0.060464507198546964,0.03137254901960784,1275,1300,False
logistic_regression,6,validation,0.2616010056069711,0.8597503778206265,0.8492307692307692,0.19545454545454546,0.6935483870967742,0.8570274636510501,0.30496453900709225,0.11834411792413496,0.047692307692307694,1300,1300,False
random_forest,6,validation,0.36663530113570936,0.8626687164521339,0.9115384615384615,0.2809917355371901,0.5483870967741935,0.9297253634894992,0.3715846994535519,0.07779260194324389,0.047692307692307694,1300,1300,True
xgboost,6,validation,0.3725935727159036,0.8775340038563761,0.8738461538461538,0.234375,0.7258064516129032,0.8812600969305331,0.3543307086614173,0.0973508613561446,0.047692307692307694,1300,1300,False
logistic_regression,7,validation,0.9231189998625029,0.9095034449988122,0.7907692307692308,0.7391304347826086,0.936231884057971,0.6262295081967213,0.8260869565217391,0.15102065564366102,0.5307692307692308,1300,1300,False
random_forest,7,validation,0.905819163780972,0.8939130434782608,0.7923076923076923,0.7511961722488039,0.9101449275362319,0.659016393442623,0.8230668414154653,0.14255187816319317,0.5307692307692308,1300,1300,True
xgboost,7,validation,0.9281043736078323,0.9135447849845569,0.7523076923076923,0.6912681912681913,0.9637681159420289,0.5131147540983606,0.8050847457627118,0.16017615204078442,0.5307692307692308,1300,1300,False
logistic_regression,8,validation,0.7120804125495195,0.9793548387096774,0.9138461538461539,0.34146341463414637,0.9333333333333333,0.9129032258064517,0.5,0.07107313963026371,0.046153846153846156,1300,1300,False
random_forest,8,validation,0.7186588441398561,0.9800940860215054,0.9307692307692308,0.39436619718309857,0.9333333333333333,0.9306451612903226,0.5544554455445544,0.06314052763062028,0.046153846153846156,1300,1300,True
xgboost,8,validation,0.7542215831314701,0.9806720430107527,0.9107692307692308,0.3352941176470588,0.95,0.9088709677419354,0.49565217391304345,0.0691736072380549,0.046153846153846156,1300,1300,False
logistic_regression,9,validation,0.7963491944427782,0.9661340679522498,0.9315384615384615,0.5033112582781457,0.8444444444444444,0.9380165289256198,0.6307053941908713,0.05949038824657398,0.06923076923076923,1300,1300,False
random_forest,9,validation,0.8236152938792494,0.9698071625344353,0.9476923076923077,0.582089552238806,0.8666666666666667,0.9537190082644628,0.6964285714285713,0.05237477847251389,0.06923076923076923,1300,1300,True
xgboost,9,validation,0.8227495740269499,0.9704407713498623,0.9307692307692308,0.5,0.9111111111111111,0.9322314049586777,0.6456692913385828,0.05772230633364083,0.06923076923076923,1300,1300,False
logistic_regression,10,validation,0.8028903105617149,0.983756247597078,0.9443137254901961,0.4090909090909091,0.8823529411764706,0.9468954248366013,0.5590062111801242,0.04571210652169534,0.04,1275,1300,False
random_forest,10,validation,0.679730173267746,0.9811130334486736,0.9537254901960784,0.45555555555555555,0.803921568627451,0.9599673202614379,0.5815602836879433,0.04116990017235002,0.04,1275,1300,True
xgboost,10,validation,0.7405704843538534,0.9778931180315262,0.9450980392156862,0.4077669902912621,0.8235294117647058,0.9501633986928104,0.5454545454545454,0.04604028119703151,0.04,1275,1300,False
logistic_regression,11,validation,0.11376774618168269,0.6179097123852928,0.9607843137254902,0.22727272727272727,0.38461538461538464,0.9727782225780625,0.2857142857142857,0.039858834914903114,0.0203921568627451,1275,1300,False
