model,fold_id,split,pr_auc,roc_auc,accuracy,precision,recall,specificity,f1,brier_score,prevalence,n_obs_scored,n_obs_total,selected
logistic_regression,1,validation,0.3244742261348183,0.8636567834681043,0.9684615384615385,0.3333333333333333,0.4642857142857143,0.9795597484276729,0.3880597014925373,0.05234964828700384,0.021538461538461538,1300,1300,False
random_forest,1,validation,0.3500143303676219,0.8883367026055706,0.97,0.3225806451612903,0.35714285714285715,0.9834905660377359,0.3389830508474576,0.03733058499587674,0.021538461538461538,1300,1300,True
xgboost,1,validation,0.3204266658483583,0.8766846361185984,0.97,0.358974358974359,0.5,0.9803459119496856,0.417910447761194,0.043155827032764174,0.021538461538461538,1300,1300,False
logistic_regression,2,validation,0.2016591952819808,0.8232546500959212,0.9461538461538461,0.2037037037037037,0.2894736842105263,0.9659270998415214,0.23913043478260868,0.06177442060578819,0.02923076923076923,1300,1300,False
random_forest,2,validation,0.2700920846770676,0.8813078655434148,0.95,0.2631578947368421,0.39473684210526316,0.9667194928684627,0.3157894736842105,0.049400295527246035,0.02923076923076923,1300,1300,True
xgboost,2,validation,0.29032406200680616,0.8898990741513053,0.9276923076923077,0.20833333333333334,0.5263157894736842,0.9397781299524565,0.29850746268656714,0.0634516275906765,0.02923076923076923,1300,1300,False
logistic_regression,3,validation,0.3350034798900931,0.9124550763701708,0.9515384615384616,0.2463768115942029,0.6071428571428571,0.9591194968553459,0.35051546391752575,0.05814888553777001,0.021538461538461538,1300,1300,False
random_forest,3,validation,0.24415198439826774,0.8495900718778078,0.9653846153846154,0.3191489361702128,0.5357142857142857,0.9748427672955975,0.4,0.040682219474175225,0.021538461538461538,1300,1300,True
xgboost,3,validation,0.279005955581423,0.8770356019766398,0.9492307692307692,0.25,0.6785714285714286,0.9551886792452831,0.36538461538461536,0.05394230717736795,0.021538461538461538,1300,1300,False
logistic_regression,4,validation,0.33824909906691053,0.7711242603550296,0.9138461538461539,0.26732673267326734,0.4153846153846154,0.940080971659919,0.3253012048192771,0.07935174491767773,0.05,1300,1300,False
random_forest,4,validation,0.5656629338208174,0.9197010277172222,0.9323076923076923,0.3904761904761905,0.6307692307692307,0.9481781376518219,0.4823529411764706,0.05776458592509719,0.05,1300,1300,True
xgboost,4,validation,0.5774784803200932,0.9195017128620367,0.9061538461538462,0.31125827814569534,0.7230769230769231,0.9157894736842105,0.4351851851851852,0.07718374651397732,0.05,1300,1300,False
logistic_regression,5,validation,0.40893479421458695,0.9484008097165992,0.9309803921568628,0.2692307692307692,0.7,0.9384615384615385,0.3888888888888889,0.06049444168514963,0.03137254901960784,1275,1300,False
random_forest,5,validation,0.4864350253494767,0.9454251012145749,0.9529411764705882,0.3717948717948718,0.725,0.9603238866396762,0.49152542372881347,0.04484898861942328,0.03137254901960784,1275,1300,True
xgboost,5,validation,0.48510300015060176,0.9359311740890689,0.912156862745098,0.23134328358208955,0.775,0.9165991902834008,0.3563218390804598,0.06867707674664887,0.03137254901960784,1275,1300,False
logistic_regression,6,validation,0.2702300781447118,0.871137109802491,0.8838461538461538,0.2541436464088398,0.7419354838709677,0.8909531502423264,0.3786008230452675,0.10063516122836166,0.047692307692307694,1300,1300,False
random_forest,6,validation,0.4140101077621727,0.8816639741518578,0.91,0.2962962962962963,0.6451612903225806,0.9232633279483037,0.40609137055837563,0.07422366214951229,0.047692307692307694,1300,1300,True
xgboost,6,validation,0.39238079391207464,0.8796706446401585,0.8761538461538462,0.23529411764705882,0.7096774193548387,0.8844911147011308,0.3534136546184739,0.09736783548736395,0.047692307692307694,1300,1300,False
logistic_regression,7,validation,0.9210364459082528,0.907559990496555,0.7861538461538462,0.7319819819819819,0.9420289855072463,0.6098360655737705,0.8238276299112801,0.15610165791318437,0.5307692307692308,1300,1300,False
random_forest,7,validation,0.9046429782797893,0.8935376574008078,0.7961538461538461,0.7445339470655926,0.9376811594202898,0.6360655737704918,0.8300192431045541,0.14339822316417067,0.5307692307692308,1300,1300,True
xgboost,7,validation,0.9241540471433963,0.9096198622000475,0.7546153846153846,0.6938349007314525,0.9623188405797102,0.519672131147541,0.806314511232544,0.16163232999795618,0.5307692307692308,1300,1300,False
logistic_regression,8,validation,0.7164828404799947,0.9809274193548387,0.9138461538461539,0.34523809523809523,0.9666666666666667,0.9112903225806451,0.5087719298245613,0.0712284239922491,0.046153846153846156,1300,1300,False
random_forest,8,validation,0.7680030569356703,0.9828360215053764,0.9215384615384615,0.36538461538461536,0.95,0.9201612903225806,0.5277777777777778,0.05857074652409832,0.046153846153846156,1300,1300,True
xgboost,8,validation,0.7450926496301146,0.9800806451612903,0.9076923076923077,0.32954545454545453,0.9666666666666667,0.9048387096774193,0.4915254237288136,0.07258188653439718,0.046153846153846156,1300,1300,False
logistic_regression,9,validation,0.8035616520622808,0.9672359963269054,0.9338461538461539,0.5135135135135135,0.8444444444444444,0.9404958677685951,0.6386554621848739,0.05609145590728607,0.06923076923076923,1300,1300,False
random_forest,9,validation,0.8312371488062407,0.973186409550046,0.9523076923076923,0.6060606060606061,0.8888888888888888,0.9570247933884297,0.7207207207207208,0.04439761935391454,0.06923076923076923,1300,1300,True
xgboost,9,validation,0.8232960589974303,0.9699265381083563,0.9284615384615384,0.4911242603550296,0.9222222222222223,0.9289256198347108,0.640926640926641,0.06058839102363569,0.06923076923076923,1300,1300,False
logistic_regression,10,validation,0.7910902180836787,0.9829072151736511,0.9458823529411765,0.4166666666666667,0.8823529411764706,0.9485294117647058,0.5660377358490566,0.0446479927400023,0.04,1275,1300,False
random_forest,10,validation,0.7173788769470382,0.9831635268486479,0.9545098039215686,0.4639175257731959,0.8823529411764706,0.9575163398692811,0.608108108108108,0.037668147893278416,0.04,1275,1300,True
xgboost,10,validation,0.7493879390136174,0.9790785595283865,0.9443137254901961,0.4090909090909091,0.8823529411764706,0.9468954248366013,0.5590062111801242,0.049449421980474126,0.04,1275,1300,False
logistic_regression,11,validation,0.1006711262122814,0.6808523742070579,0.9584313725490196,0.2127659574468085,0.38461538461538464,0.9703763010408326,0.273972602739726,0.04100027704132892,0.0203921568627451,1275,1300,False
random_forest,11,validation,0.3607253147770811,0.8634292049023834,0.9592156862745098,0.21739130434782608,0.38461538461538464,0.9711769415532426,0.27777777777777773,0.030655886494551265,0.0203921568627451,1275,1300,True
xgboost,11,validation,0.30484080410286346,0.6676572026852251,0.9576470588235294,0.20833333333333334,0.38461538461538464,0.9695756605284227,0.2702702702702703,0.039603119058475814,0.0203921568627451,1275,1300,False
logistic_regression,12,validation,0.10572723350325375,0.9013659049120043,0.9835294117647059,0.14285714285714285,0.5,0.9858156028368794,0.22222222222222224,0.02709333107884397,0.004705882352941176,1275,1300,False
random_forest,12,validation,0.19384019528610405,0.9292093511951668,0.9882352941176471,0.2,0.5,0.9905437352245863,0.28571428571428575,0.02046563064245714,0.004705882352941176,1275,1300,True
xgboost,12,validation,0.14927615426816704,0.891384292093512,0.9850980392156863,0.15789473684210525,0.5,0.987391646966115,0.23999999999999996,0.028804877504086095,0.004705882352941176,1275,1300,False
logistic_regression,13,validation,0.11213831048156496,0.7419069716053475,0.9753846153846154,0.0967741935483871,0.42857142857142855,0.9783449342614076,0.15789473684210525,0.04134067888289302,0.005384615384615384,1300,1300,False
