District,n_rows,n_defined,outbreak_pct,k
Anuradhapura,1014.0,855.0,14.97076023391813,1.5
Vavuniya,1014.0,855.0,15.67251461988304,1.5
Mannar,1014.0,855.0,16.842105263157894,1.5
Matale,1014.0,855.0,17.076023391812868,1.5
Puttalam,1014.0,855.0,17.42690058479532,1.5
Kegalle,1014.0,855.0,18.362573099415204,1.5
Kurunegala,1014.0,855.0,18.596491228070175,1.5
Ampara,1014.0,855.0,20.701754385964914,1.5
Matara,1014.0,855.0,20.701754385964914,1.5
Nuwara Eliya,1014.0,855.0,21.169590643274855,1.5
Monaragala,1014.0,855.0,21.28654970760234,1.5
Hambantota,1014.0,855.0,21.75438596491228,1.5
Kandy,1014.0,855.0,22.33918128654971,1.5
Gampaha,1014.0,855.0,22.923976608187136,1.5
Batticaloa,1014.0,855.0,23.27485380116959,1.5
Mullaitivu,1013.0,854.0,23.4192037470726,1.5
Trincomalee,1014.0,855.0,23.625730994152047,1.5
Polonnaruwa,1014.0,855.0,24.09356725146199,1.5
Badulla,1014.0,855.0,25.730994152046783,1.5
Kilinochchi,1013.0,854.0,25.995316159250585,1.5
Colombo,1014.0,855.0,29.005847953216374,1.5
Ratnapura,1014.0,855.0,29.122807017543863,1.5
Kalutara,1014.0,855.0,30.175438596491226,1.5
Jaffna,1014.0,855.0,31.812865497076025,1.5
Galle,1014.0,855.0,32.397660818713454,1.5
Anuradhapura,1014.0,855.0,12.631578947368421,2.0
Matale,1014.0,855.0,12.865497076023392,2.0
Vavuniya,1014.0,855.0,12.865497076023392,2.0
Puttalam,1014.0,855.0,14.15204678362573,2.0
Kegalle,1014.0,855.0,14.736842105263156,2.0
Kurunegala,1014.0,855.0,15.204678362573098,2.0
Mannar,1014.0,855.0,15.204678362573098,2.0
Ampara,1014.0,855.0,16.023391812865498,2.0
Nuwara Eliya,1014.0,855.0,16.023391812865498,2.0
Matara,1014.0,855.0,16.842105263157894,2.0
Kandy,1014.0,855.0,17.309941520467838,2.0
Hambantota,1014.0,855.0,17.42690058479532,2.0
Monaragala,1014.0,855.0,17.77777777777778,2.0
Gampaha,1014.0,855.0,18.24561403508772,2.0
Polonnaruwa,1014.0,855.0,19.649122807017545,2.0
Batticaloa,1014.0,855.0,19.76608187134503,2.0
Trincomalee,1014.0,855.0,20.58479532163743,2.0
Badulla,1014.0,855.0,20.701754385964914,2.0
Mullaitivu,1013.0,854.0,21.194379391100703,2.0
Colombo,1014.0,855.0,21.871345029239766,2.0
Ratnapura,1014.0,855.0,22.105263157894736,2.0
Kilinochchi,1013.0,854.0,23.4192037470726,2.0
Kalutara,1014.0,855.0,23.50877192982456,2.0
Jaffna,1014.0,855.0,24.912280701754387,2.0
Galle,1014.0,855.0,25.146198830409354,2.0
Matale,1014.0,855.0,9.5906432748538,2.5
Anuradhapura,1014.0,855.0,10.87719298245614,2.5
Vavuniya,1014.0,855.0,12.046783625730995,2.5
Kurunegala,1014.0,855.0,12.280701754385964,2.5
Puttalam,1014.0,855.0,12.280701754385964,2.5
Kegalle,1014.0,855.0,12.397660818713451,2.5
Nuwara Eliya,1014.0,855.0,12.982456140350877,2.5
Ampara,1014.0,855.0,13.099415204678364,2.5
Mannar,1014.0,855.0,13.450292397660817,2.5
Hambantota,1014.0,855.0,14.035087719298245,2.5
Gampaha,1014.0,855.0,14.736842105263156,2.5
Kandy,1014.0,855.0,14.853801169590644,2.5
Monaragala,1014.0,855.0,15.087719298245613,2.5
Matara,1014.0,855.0,15.321637426900587,2.5
Polonnaruwa,1014.0,855.0,16.023391812865498,2.5
Batticaloa,1014.0,855.0,16.842105263157894,2.5
Ratnapura,1014.0,855.0,17.42690058479532,2.5
Badulla,1014.0,855.0,18.128654970760234,2.5
Colombo,1014.0,855.0,18.24561403508772,2.5
Trincomalee,1014.0,855.0,18.362573099415204,2.5
Kalutara,1014.0,855.0,18.71345029239766,2.5
Mullaitivu,1013.0,854.0,18.852459016393443,2.5
Kilinochchi,1013.0,854.0,20.140515222482435,2.5
Galle,1014.0,855.0,20.46783625730994,2.5
Jaffna,1014.0,855.0,22.105263157894736,2.5
