District,n_rows,n_defined,outbreak_pct,candidate,parameter,k,pooled_outbreak_pct,pooled_n_defined,pooled_n_undefined,pooled_pct_undefined
Ampara,1018.0,855.0,20.701754385964914,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Anuradhapura,1018.0,855.0,14.97076023391813,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Badulla,1018.0,855.0,25.730994152046783,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Batticaloa,1018.0,855.0,23.27485380116959,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Colombo,1018.0,855.0,29.005847953216374,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Galle,1018.0,855.0,32.397660818713454,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Gampaha,1018.0,855.0,22.923976608187136,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Hambantota,1018.0,855.0,21.75438596491228,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Jaffna,1018.0,855.0,31.812865497076025,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Kalutara,1018.0,855.0,30.175438596491226,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Kandy,1018.0,855.0,22.33918128654971,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Kegalle,1018.0,855.0,18.362573099415204,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Kilinochchi,1018.0,854.0,25.995316159250585,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Kurunegala,1018.0,855.0,18.596491228070175,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Mannar,1018.0,855.0,16.842105263157894,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Matale,1018.0,855.0,17.076023391812868,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Matara,1018.0,855.0,20.701754385964914,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Monaragala,1018.0,855.0,21.28654970760234,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Mullaitivu,1018.0,854.0,23.4192037470726,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Nuwara Eliya,1018.0,855.0,21.169590643274855,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Polonnaruwa,1018.0,855.0,24.09356725146199,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Puttalam,1018.0,855.0,17.42690058479532,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Ratnapura,1018.0,855.0,29.122807017543863,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Trincomalee,1018.0,855.0,23.625730994152047,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Vavuniya,1018.0,855.0,15.67251461988304,exact_week,-,1.5,22.7389697281617,21373,4077,16.019646365422396
Ampara,1018.0,855.0,16.023391812865498,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Anuradhapura,1018.0,855.0,12.631578947368421,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Badulla,1018.0,855.0,20.701754385964914,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Batticaloa,1018.0,855.0,19.76608187134503,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Colombo,1018.0,855.0,21.871345029239766,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Galle,1018.0,855.0,25.146198830409354,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Gampaha,1018.0,855.0,18.24561403508772,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Hambantota,1018.0,855.0,17.42690058479532,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Jaffna,1018.0,855.0,24.912280701754387,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Kalutara,1018.0,855.0,23.50877192982456,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Kandy,1018.0,855.0,17.309941520467838,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Kegalle,1018.0,855.0,14.736842105263156,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Kilinochchi,1018.0,854.0,23.4192037470726,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Kurunegala,1018.0,855.0,15.204678362573098,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Mannar,1018.0,855.0,15.204678362573098,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Matale,1018.0,855.0,12.865497076023392,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Matara,1018.0,855.0,16.842105263157894,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Monaragala,1018.0,855.0,17.77777777777778,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Mullaitivu,1018.0,854.0,21.194379391100703,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Nuwara Eliya,1018.0,855.0,16.023391812865498,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Polonnaruwa,1018.0,855.0,19.649122807017545,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Puttalam,1018.0,855.0,14.15204678362573,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Ratnapura,1018.0,855.0,22.105263157894736,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Trincomalee,1018.0,855.0,20.58479532163743,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Vavuniya,1018.0,855.0,12.865497076023392,exact_week,-,2.0,18.406400598886446,21373,4077,16.019646365422396
Ampara,1018.0,855.0,13.099415204678364,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Anuradhapura,1018.0,855.0,10.87719298245614,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Badulla,1018.0,855.0,18.128654970760234,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Batticaloa,1018.0,855.0,16.842105263157894,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Colombo,1018.0,855.0,18.24561403508772,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Galle,1018.0,855.0,20.46783625730994,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Gampaha,1018.0,855.0,14.736842105263156,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Hambantota,1018.0,855.0,14.035087719298245,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Jaffna,1018.0,855.0,22.105263157894736,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Kalutara,1018.0,855.0,18.71345029239766,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Kandy,1018.0,855.0,14.853801169590644,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Kegalle,1018.0,855.0,12.397660818713451,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Kilinochchi,1018.0,854.0,20.140515222482435,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Kurunegala,1018.0,855.0,12.280701754385964,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Mannar,1018.0,855.0,13.450292397660817,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Matale,1018.0,855.0,9.5906432748538,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
Matara,1018.0,855.0,15.321637426900587,exact_week,-,2.5,15.533617180554907,21373,4077,16.019646365422396
