fold_id,pooled_pr_auc,per_district_median_pr_auc,per_district_mean_pr_auc,n_districts_scored
1,0.32768501248062315,0.25,0.31591270577194686,10
2,0.29996715697961024,0.1446071324360798,0.28773004243706896,12
3,0.27593031497470627,0.225,0.24433451259109348,5
4,0.5622951811760667,0.44156954156954153,0.4600412757670965,15
5,0.4815384343116101,0.3571428571428571,0.39660835264695554,12
6,0.3725935727159036,0.3431891025641025,0.3417583932152635,14
7,0.9281043736078323,0.8809305810192053,0.8368205775125624,24
8,0.7542215831314701,0.8333333333333333,0.7083540058930697,15
9,0.8227495740269499,0.8166666666666667,0.7131331412502264,17
10,0.7405704843538534,0.6079258241758241,0.6145631040769929,12
11,0.29763589928291534,0.0625,0.12277495461296226,17
12,0.1530585123230408,0.2737570028011205,0.2737570028011205,2
13,0.15174482584851962,0.11309523809523808,0.15982142857142856,4
aggregate,0.3725935727159036,0.3431891025641025,0.42120073054982987,159
