fold_id,pooled_pr_auc,per_district_median_pr_auc,per_district_mean_pr_auc,n_districts_scored
1,0.3204266658483583,0.25,0.31591270577194686,10
2,0.29032406200680616,0.1446071324360798,0.28773004243706896,12
3,0.279005955581423,0.225,0.24433451259109348,5
4,0.5774784803200932,0.44156954156954153,0.46034716870456843,15
5,0.48510300015060176,0.3571428571428571,0.4060990933876963,12
6,0.39238079391207464,0.3473557692307692,0.33899478777308667,14
7,0.9241540471433963,0.8809305810192053,0.8378374970936777,24
8,0.7450926496301146,0.8333333333333333,0.7383540058930698,15
9,0.8232960589974303,0.8541666666666666,0.7153390236031676,17
10,0.7493879390136174,0.6079258241758241,0.6165472310611199,12
11,0.30484080410286346,0.0625,0.12144200764107005,17
12,0.14927615426816704,0.2737570028011205,0.2737570028011205,2
13,0.14352519821852466,0.08012820512820512,0.14333791208791208,4
aggregate,0.39238079391207464,0.3473557692307692,0.4230794608343537,159
