architecture,fold_id,split,pr_auc,roc_auc,accuracy,precision,recall,specificity,f1,brier_score,brier_skill_score,prevalence,n_obs_scored,n_obs_total,selected
stage1_raw,1,validation,0.33882315776041805,0.9012241689128482,0.9746153846153847,0.41935483870967744,0.4642857142857143,0.9858490566037735,0.44067796610169496,0.04549793695846268,-1.1589036798012673,0.021538461538461538,1300,1300,False
stage1_raw,2,validation,0.2827317178211369,0.8633539077487696,0.943076923076923,0.25,0.47368421052631576,0.9572107765451664,0.32727272727272727,0.058739761358750246,-1.0700266222430548,0.02923076923076923,1300,1300,False
isotonic,2,validation,0.22906699503531422,0.8597985653515724,0.9692307692307692,0.4444444444444444,0.21052631578947367,0.9920760697305864,0.2857142857142857,0.025117219290533278,0.11485318623318785,0.02923076923076923,1300,1300,True
platt,2,validation,0.2827317178211369,0.8633539077487696,0.9723076923076923,0.625,0.13157894736842105,0.9976228209191759,0.21739130434782608,0.024219335598984128,0.14649517970049253,0.02923076923076923,1300,1300,False
stacked_xgboost,2,validation,0.2234331333522088,0.8321169405288181,0.9684615384615385,0.38461538461538464,0.13157894736842105,0.993660855784469,0.196078431372549,0.027553800824787276,0.028986500252512704,0.02923076923076923,1300,1300,False
logit_residual,2,validation,0.30788702245630833,0.7477479356076403,0.9707692307692307,0.5,0.18421052631578946,0.9944532488114105,0.2692307692307692,0.027971925379511837,0.014251524493806622,0.02923076923076923,1300,1300,False
stage1_raw,3,validation,0.1885646049122125,0.8387522461814915,0.9638461538461538,0.2564102564102564,0.35714285714285715,0.9772012578616353,0.29850746268656714,0.04397951916983717,-1.0868538689640839,0.021538461538461538,1300,1300,False
isotonic,3,validation,0.1787103120689853,0.8288269317160826,0.9753846153846154,0.0,0.0,0.9968553459119497,,0.019482897547249127,0.07552513323082233,0.021538461538461538,1300,1300,True
platt,3,validation,0.1885646049122125,0.8387522461814915,0.9776923076923076,0.0,0.0,0.9992138364779874,,0.019403982654193335,0.0792696909931846,0.021538461538461538,1300,1300,False
stacked_xgboost,3,validation,0.08879316391954777,0.781980008984726,0.9653846153846154,0.09523809523809523,0.07142857142857142,0.985062893081761,0.08163265306122448,0.028510916567730832,-0.3528596417190337,0.021538461538461538,1300,1300,False
logit_residual,3,validation,0.18258697249147515,0.5728605121293802,0.9784615384615385,0.5,0.07142857142857142,0.9984276729559748,0.125,0.021627513088544437,-0.02623812667453107,0.021538461538461538,1300,1300,False
stage1_raw,4,validation,0.5476486111492535,0.9206353161009032,0.9323076923076923,0.3904761904761905,0.6307692307692307,0.9481781376518219,0.4823529411764706,0.06046436010170202,-0.2729338968779371,0.05,1300,1300,False
isotonic,4,validation,0.48588136885292554,0.9185985674244783,0.96,0.76,0.2923076923076923,0.9951417004048583,0.4222222222222222,0.03337039679849971,0.2974653305579009,0.05,1300,1300,True
platt,4,validation,0.5476486111492535,0.9206353161009032,0.9592307692307692,0.75,0.27692307692307694,0.9951417004048583,0.40449438202247195,0.03188083856673579,0.32882445122661497,0.05,1300,1300,False
stacked_xgboost,4,validation,0.34201338650865165,0.8661476175646217,0.946923076923077,0.45652173913043476,0.3230769230769231,0.979757085020243,0.3783783783783784,0.04334823930503979,0.08740548831495187,0.05,1300,1300,False
logit_residual,4,validation,0.48339115505065244,0.7677483649953286,0.9553846153846154,1.0,0.1076923076923077,1.0,0.19444444444444445,0.04368457069250712,0.08032482752616588,0.05,1300,1300,False
stage1_raw,5,validation,0.44231824912716283,0.937246963562753,0.956078431372549,0.36666666666666664,0.55,0.9692307692307692,0.43999999999999995,0.04702646275521279,-0.5475180873773846,0.03137254901960784,1275,1300,False
isotonic,5,validation,0.42184835962761247,0.9369939271255061,0.9701960784313726,0.625,0.125,0.9975708502024292,0.20833333333333334,0.022355710284237933,0.26433195281752453,0.03137254901960784,1275,1300,True
platt,5,validation,0.44231824912716283,0.937246963562753,0.9701960784313726,0.5833333333333334,0.175,0.9959514170040485,0.2692307692307692,0.022148353575614486,0.27115552062027737,0.03137254901960784,1275,1300,False
stacked_xgboost,5,validation,0.392820405837943,0.9175303643724696,0.9568627450980393,0.3770491803278688,0.575,0.9692307692307692,0.4554455445544554,0.03252825146535177,-0.0704198135296048,0.03137254901960784,1275,1300,False
logit_residual,5,validation,0.39566690132934734,0.8145141700404859,0.9725490196078431,0.6190476190476191,0.325,0.9935222672064777,0.42622950819672134,0.02670631954064952,0.1211647630917333,0.03137254901960784,1275,1300,False
stage1_raw,6,validation,0.36663530113570936,0.8626687164521339,0.9115384615384615,0.2809917355371901,0.5483870967741935,0.9297253634894992,0.3715846994535519,0.07779260194324389,-0.7128237178081476,0.047692307692307694,1300,1300,False
isotonic,6,validation,0.33420047448846724,0.8648248996821095,0.95,0.46511627906976744,0.3225806451612903,0.981421647819063,0.380952380952381,0.037929464428521686,0.16487577669235431,0.047692307692307694,1300,1300,True
platt,6,validation,0.36663530113570936,0.8626687164521339,0.95,0.4594594594594595,0.27419354838709675,0.9838449111470113,0.3434343434343434,0.0385106706551236,0.15207888103654588,0.047692307692307694,1300,1300,False
stacked_xgboost,6,validation,0.23660706951793856,0.866968054614623,0.9215384615384615,0.21428571428571427,0.24193548387096775,0.9555735056542811,0.22727272727272724,0.05767813347856597,-0.2699469172283142,0.047692307692307694,1300,1300,False
logit_residual,6,validation,0.27102145724599874,0.7586117046224399,0.9492307692307692,0.3333333333333333,0.06451612903225806,0.9935379644588045,0.1081081081081081,0.050602584753017966,-0.1141587398066648,0.047692307692307694,1300,1300,False
stage1_raw,7,validation,0.905819163780972,0.8939130434782608,0.7923076923076923,0.7511961722488039,0.9101449275362319,0.659016393442623,0.8230668414154653,0.14255187816319317,0.4276249130534653,0.5307692307692308,1300,1300,False
isotonic,7,validation,0.891523612300511,0.8930577334283678,0.6338461538461538,0.9863636363636363,0.3144927536231884,0.9950819672131147,0.47692307692307695,0.18282816275884964,0.2659073531421813,0.5307692307692308,1300,1300,True
platt,7,validation,0.905819163780972,0.8939130434782608,0.7292307692307692,0.9121951219512195,0.5420289855072464,0.940983606557377,0.6799999999999999,0.17721637492297837,0.28843983459293554,0.5307692307692308,1300,1300,False
stacked_xgboost,7,validation,0.8105356227698467,0.8122832026609645,0.6823076923076923,0.7978494623655914,0.5376811594202898,0.8459016393442623,0.6424242424242423,0.22933548057440553,0.07917091430091394,0.5307692307692308,1300,1300,False
logit_residual,7,validation,0.8798871964577453,0.8687004038964125,0.59,0.9243243243243243,0.24782608695652175,0.9770491803278688,0.39085714285714285,0.38781099672683417,-0.5571408516710614,0.5307692307692308,1300,1300,False
stage1_raw,8,validation,0.7186588441398561,0.9800940860215054,0.9307692307692308,0.39436619718309857,0.9333333333333333,0.9306451612903226,0.5544554455445544,0.06314052763062027,-0.43424047978156244,0.046153846153846156,1300,1300,False
isotonic,8,validation,0.6921581339245861,0.9798252688172043,0.9546153846153846,0.5051546391752577,0.8166666666666667,0.9612903225806452,0.6242038216560509,0.030310601265237682,0.31149306265790755,0.046153846153846156,1300,1300,True
platt,8,validation,0.7186588441398561,0.9800940860215054,0.9569230769230769,0.5212765957446809,0.8166666666666667,0.9637096774193549,0.6363636363636364,0.03039124836240588,0.3096611595098665,0.046153846153846156,1300,1300,False
stacked_xgboost,8,validation,0.7462852501312923,0.9759811827956988,0.9276923076923077,0.37681159420289856,0.8666666666666667,0.9306451612903226,0.5252525252525253,0.048984296023854054,-0.11268091774614719,0.046153846153846156,1300,1300,False
logit_residual,8,validation,0.7623957830974708,0.9641263440860214,0.9730769230769231,0.7358490566037735,0.65,0.9887096774193549,0.6902654867256638,0.0254271457947797,0.42242101622073003,0.046153846153846156,1300,1300,False
stage1_raw,9,validation,0.8236152938792494,0.9698071625344353,0.9476923076923077,0.582089552238806,0.8666666666666667,0.9537190082644628,0.6964285714285713,0.05237477847251387,0.18720499891140074,0.06923076923076923,1300,1300,False
isotonic,9,validation,0.8106059961553418,0.9698576675849404,0.9638461538461538,0.7362637362637363,0.7444444444444445,0.9801652892561984,0.7403314917127072,0.026367063857630234,0.590814160519788,0.06923076923076923,1300,1300,True
platt,9,validation,0.8236152938792494,0.9698071625344353,0.9669230769230769,0.7764705882352941,0.7333333333333333,0.984297520661157,0.7542857142857142,0.026093011388316354,0.5950671327249345,0.06923076923076923,1300,1300,False
stacked_xgboost,9,validation,0.8314900755794733,0.9687878787878788,0.9438461538461539,0.5620437956204379,0.8555555555555555,0.9504132231404959,0.6784140969162995,0.039658889066545105,0.38454065635940105,0.06923076923076923,1300,1300,False
logit_residual,9,validation,0.771579039775083,0.8992011019283748,0.963076923076923,0.92,0.5111111111111111,0.996694214876033,0.6571428571428571,0.03607821493020961,0.44010851026580133,0.06923076923076923,1300,1300,False
