architecture,fold_id,split,pr_auc,roc_auc,accuracy,precision,recall,specificity,f1,brier_score,brier_skill_score,prevalence,n_obs_scored,n_obs_total,selected
stage1_raw,1,validation,0.33882315776041805,0.9012241689128482,0.9746153846153847,0.41935483870967744,0.4642857142857143,0.9858490566037735,0.44067796610169496,0.04549793695846268,-1.1589036798012673,0.021538461538461538,1300,1300,False
stage1_raw,2,validation,0.2827317178211369,0.8633539077487696,0.943076923076923,0.25,0.47368421052631576,0.9572107765451664,0.32727272727272727,0.058739761358750246,-1.0700266222430548,0.02923076923076923,1300,1300,False
isotonic,2,validation,0.22906699503531422,0.8597985653515724,0.9692307692307692,0.4444444444444444,0.21052631578947367,0.9920760697305864,0.2857142857142857,0.025117219290533278,0.11485318623318785,0.02923076923076923,1300,1300,True
platt,2,validation,0.2827317178211369,0.8633539077487696,0.9723076923076923,0.625,0.13157894736842105,0.9976228209191759,0.21739130434782608,0.024219335598984128,0.14649517970049253,0.02923076923076923,1300,1300,False
stacked_xgboost,2,validation,0.23434677733154893,0.8335766118942365,0.97,0.46153846153846156,0.15789473684210525,0.9944532488114105,0.23529411764705882,0.027268192756793565,0.0390515105725846,0.02923076923076923,1300,1300,False
logit_residual,2,validation,0.29572085035037293,0.7525439986654433,0.9707692307692307,0.5,0.18421052631578946,0.9944532488114105,0.2692307692307692,0.02829706644854383,0.0027933460247084874,0.02923076923076923,1300,1300,False
stage1_raw,3,validation,0.1885646049122125,0.8387522461814915,0.9638461538461538,0.2564102564102564,0.35714285714285715,0.9772012578616353,0.29850746268656714,0.04397951916983717,-1.0868538689640839,0.021538461538461538,1300,1300,False
isotonic,3,validation,0.1787103120689853,0.8288269317160826,0.9753846153846154,0.0,0.0,0.9968553459119497,,0.019482897547249127,0.07552513323082233,0.021538461538461538,1300,1300,True
platt,3,validation,0.1885646049122125,0.8387522461814915,0.9776923076923076,0.0,0.0,0.9992138364779874,,0.019403982654193335,0.0792696909931846,0.021538461538461538,1300,1300,False
stacked_xgboost,3,validation,0.0891408199990077,0.7876796945193172,0.9669230769230769,0.10526315789473684,0.07142857142857142,0.9866352201257862,0.0851063829787234,0.027239461093516822,-0.29252833692844327,0.021538461538461538,1300,1300,False
logit_residual,3,validation,0.20604270685960363,0.6261230907457324,0.9769230769230769,0.3333333333333333,0.07142857142857142,0.9968553459119497,0.11764705882352941,0.02237676263230375,-0.061790455093029495,0.021538461538461538,1300,1300,False
stage1_raw,4,validation,0.5476486111492535,0.9206353161009032,0.9323076923076923,0.3904761904761905,0.6307692307692307,0.9481781376518219,0.4823529411764706,0.06046436010170202,-0.2729338968779371,0.05,1300,1300,False
isotonic,4,validation,0.48588136885292554,0.9185985674244783,0.96,0.76,0.2923076923076923,0.9951417004048583,0.4222222222222222,0.03337039679849971,0.2974653305579009,0.05,1300,1300,True
platt,4,validation,0.5476486111492535,0.9206353161009032,0.9592307692307692,0.75,0.27692307692307694,0.9951417004048583,0.40449438202247195,0.03188083856673579,0.32882445122661497,0.05,1300,1300,False
stacked_xgboost,4,validation,0.33660378336343744,0.8710931174089069,0.9484615384615385,0.47619047619047616,0.3076923076923077,0.9821862348178138,0.3738317757009346,0.04125619862912581,0.13144844991314086,0.05,1300,1300,False
logit_residual,4,validation,0.5067268687736439,0.7905450015571474,0.9584615384615385,0.9230769230769231,0.18461538461538463,0.9991902834008097,0.3076923076923077,0.04103491801085088,0.13610698924524467,0.05,1300,1300,False
stage1_raw,5,validation,0.44231824912716283,0.937246963562753,0.956078431372549,0.36666666666666664,0.55,0.9692307692307692,0.43999999999999995,0.04702646275521279,-0.5475180873773846,0.03137254901960784,1275,1300,False
isotonic,5,validation,0.42184835962761247,0.9369939271255061,0.9701960784313726,0.625,0.125,0.9975708502024292,0.20833333333333334,0.022355710284237933,0.26433195281752453,0.03137254901960784,1275,1300,True
platt,5,validation,0.44231824912716283,0.937246963562753,0.9701960784313726,0.5833333333333334,0.175,0.9959514170040485,0.2692307692307692,0.022148353575614486,0.27115552062027737,0.03137254901960784,1275,1300,False
stacked_xgboost,5,validation,0.43174711543775207,0.925668016194332,0.9615686274509804,0.4117647058823529,0.525,0.9757085020242915,0.46153846153846156,0.030555197700964147,-0.005491766449996716,0.03137254901960784,1275,1300,False
logit_residual,5,validation,0.42963747580945805,0.822834008097166,0.9694117647058823,0.5384615384615384,0.175,0.9951417004048583,0.2641509433962264,0.02745830170508664,0.09641899373822937,0.03137254901960784,1275,1300,False
stage1_raw,6,validation,0.36663530113570936,0.8626687164521339,0.9115384615384615,0.2809917355371901,0.5483870967741935,0.9297253634894992,0.3715846994535519,0.07779260194324389,-0.7128237178081476,0.047692307692307694,1300,1300,False
isotonic,6,validation,0.33420047448846724,0.8648248996821095,0.95,0.46511627906976744,0.3225806451612903,0.981421647819063,0.380952380952381,0.037929464428521686,0.16487577669235431,0.047692307692307694,1300,1300,True
platt,6,validation,0.36663530113570936,0.8626687164521339,0.95,0.4594594594594595,0.27419354838709675,0.9838449111470113,0.3434343434343434,0.0385106706551236,0.15207888103654588,0.047692307692307694,1300,1300,False
stacked_xgboost,6,validation,0.23538329727559204,0.8583302933972587,0.9207692307692308,0.2112676056338028,0.24193548387096775,0.9547657512116317,0.22556390977443608,0.058310857399384367,-0.283878120341857,0.047692307692307694,1300,1300,False
logit_residual,6,validation,0.29294049087469937,0.8020871332534265,0.9492307692307692,0.3,0.04838709677419355,0.994345718901454,0.08333333333333333,0.049417818274014064,-0.08807276151810628,0.047692307692307694,1300,1300,False
stage1_raw,7,validation,0.905819163780972,0.8939130434782608,0.7923076923076923,0.7511961722488039,0.9101449275362319,0.659016393442623,0.8230668414154653,0.14255187816319317,0.4276249130534653,0.5307692307692308,1300,1300,False
isotonic,7,validation,0.891523612300511,0.8930577334283678,0.6338461538461538,0.9863636363636363,0.3144927536231884,0.9950819672131147,0.47692307692307695,0.18282816275884964,0.2659073531421813,0.5307692307692308,1300,1300,True
platt,7,validation,0.905819163780972,0.8939130434782608,0.7292307692307692,0.9121951219512195,0.5420289855072464,0.940983606557377,0.6799999999999999,0.17721637492297837,0.28843983459293554,0.5307692307692308,1300,1300,False
stacked_xgboost,7,validation,0.8226515959196624,0.8255880256593014,0.6923076923076923,0.7983539094650206,0.5623188405797102,0.839344262295082,0.6598639455782312,0.2129071356124935,0.14513409554498924,0.5307692307692308,1300,1300,False
logit_residual,7,validation,0.890202222280166,0.8736873366595392,0.6484615384615384,0.9363295880149812,0.36231884057971014,0.9721311475409836,0.522466039707419,0.31300928219946184,-0.2567965951938478,0.5307692307692308,1300,1300,False
stage1_raw,8,validation,0.7186588441398561,0.9800940860215054,0.9307692307692308,0.39436619718309857,0.9333333333333333,0.9306451612903226,0.5544554455445544,0.06314052763062027,-0.43424047978156244,0.046153846153846156,1300,1300,False
isotonic,8,validation,0.6921581339245861,0.9798252688172043,0.9546153846153846,0.5051546391752577,0.8166666666666667,0.9612903225806452,0.6242038216560509,0.030310601265237682,0.31149306265790755,0.046153846153846156,1300,1300,True
platt,8,validation,0.7186588441398561,0.9800940860215054,0.9569230769230769,0.5212765957446809,0.8166666666666667,0.9637096774193549,0.6363636363636364,0.03039124836240588,0.3096611595098665,0.046153846153846156,1300,1300,False
stacked_xgboost,8,validation,0.7881652431643628,0.9780913978494624,0.9292307692307692,0.38235294117647056,0.8666666666666667,0.932258064516129,0.5306122448979592,0.04799859423507667,-0.0902906486193491,0.046153846153846156,1300,1300,False
logit_residual,8,validation,0.7585943048639419,0.9739112903225806,0.9746153846153847,0.7872340425531915,0.6166666666666667,0.9919354838709677,0.691588785046729,0.024874339734221325,0.4349780356070694,0.046153846153846156,1300,1300,False
stage1_raw,9,validation,0.8236152938792494,0.9698071625344353,0.9476923076923077,0.582089552238806,0.8666666666666667,0.9537190082644628,0.6964285714285713,0.05237477847251387,0.18720499891140074,0.06923076923076923,1300,1300,False
isotonic,9,validation,0.8106059961553418,0.9698576675849404,0.9638461538461538,0.7362637362637363,0.7444444444444445,0.9801652892561984,0.7403314917127072,0.026367063857630234,0.590814160519788,0.06923076923076923,1300,1300,True
platt,9,validation,0.8236152938792494,0.9698071625344353,0.9669230769230769,0.7764705882352941,0.7333333333333333,0.984297520661157,0.7542857142857142,0.026093011388316354,0.5950671327249345,0.06923076923076923,1300,1300,False
stacked_xgboost,9,validation,0.8106021381590679,0.9670982552800735,0.9453846153846154,0.5703703703703704,0.8555555555555555,0.9520661157024793,0.6844444444444444,0.039905158195410906,0.3807188489417408,0.06923076923076923,1300,1300,False
logit_residual,9,validation,0.7811790176442751,0.9229201101928375,0.9607692307692308,0.8979591836734694,0.4888888888888889,0.9958677685950413,0.6330935251798562,0.037885840602023046,0.4120562845048765,0.06923076923076923,1300,1300,False
