architecture,fold_id,split,pr_auc,roc_auc,accuracy,precision,recall,specificity,f1,brier_score,brier_skill_score,prevalence,n_obs_scored,n_obs_total,selected
stage1_raw,1,validation,0.3500143303676219,0.8883367026055706,0.97,0.3225806451612903,0.35714285714285715,0.9834905660377359,0.3389830508474576,0.037330584995876735,-0.7713580593843128,0.021538461538461538,1300,1300,False
stage1_raw,2,validation,0.2700920846770676,0.8813078655434148,0.95,0.2631578947368421,0.39473684210526316,0.9667194928684627,0.3157894736842105,0.049400295527246035,-0.7408978947586498,0.02923076923076923,1300,1300,False
isotonic,2,validation,0.2264625210154514,0.8731337058970724,0.9707692307692307,0.5,0.13157894736842105,0.9960380348652932,0.20833333333333334,0.025605466542989844,0.09764704192065976,0.02923076923076923,1300,1300,False
platt,2,validation,0.2700920846770676,0.8813078655434148,0.97,0.42857142857142855,0.07894736842105263,0.9968304278922345,0.13333333333333333,0.02468272468536304,0.13016505300142756,0.02923076923076923,1300,1300,True
stacked_xgboost,2,validation,0.15734375019560473,0.8457961464675953,0.9584615384615385,0.21428571428571427,0.15789473684210525,0.9825673534072901,0.18181818181818182,0.03424483289917464,-0.20680973391452895,0.02923076923076923,1300,1300,False
logit_residual,2,validation,0.2401281633579349,0.7648886479272667,0.9615384615384616,0.2692307692307692,0.18421052631578946,0.9849445324881141,0.21875,0.036308466796533115,-0.27953350750982087,0.02923076923076923,1300,1300,False
stage1_raw,3,validation,0.24415198439826774,0.8495900718778078,0.9653846153846154,0.3191489361702128,0.5357142857142857,0.9748427672955975,0.4,0.04068221947417522,-0.930395072758202,0.021538461538461538,1300,1300,False
isotonic,3,validation,0.2239222152982977,0.8517660601976638,0.9746153846153847,0.3333333333333333,0.17857142857142858,0.9921383647798742,0.23255813953488372,0.018526344346706716,0.12091414123050448,0.021538461538461538,1300,1300,False
platt,3,validation,0.24415198439826774,0.8495900718778078,0.9753846153846154,0.0,0.0,0.9968553459119497,,0.0183295318891085,0.1302530072834297,0.021538461538461538,1300,1300,True
stacked_xgboost,3,validation,0.14134392424820472,0.7834681042228211,0.9661538461538461,0.16666666666666666,0.14285714285714285,0.9842767295597484,0.15384615384615383,0.0267122405521621,-0.2675114143405759,0.021538461538461538,1300,1300,False
logit_residual,3,validation,0.25917375042882806,0.7293912848158132,0.9769230769230769,0.25,0.03571428571428571,0.9976415094339622,0.0625,0.02220290081362988,-0.05354061026040258,0.021538461538461538,1300,1300,False
stage1_raw,4,validation,0.5656629338208174,0.9197010277172222,0.9323076923076923,0.3904761904761905,0.6307692307692307,0.9481781376518219,0.4823529411764706,0.05776458592509718,-0.2160965457915196,0.05,1300,1300,False
isotonic,4,validation,0.5271726681836353,0.920367486764248,0.9584615384615385,0.9230769230769231,0.18461538461538463,0.9991902834008097,0.3076923076923077,0.033459451597756,0.2955904926788211,0.05,1300,1300,False
