fold_id,pooled_brier_skill_score,per_district_median_brier_skill_score,per_district_mean_brier_skill_score,n_districts_scored
2,0.0390515105725846,-1.4401616820509875,-1.3262617530516665,9
3,-0.29252833692844327,-0.539844570740968,-0.774830627278602,3
4,0.13144844991314086,-0.1850782248588646,-0.21229475048411373,10
5,-0.005491766449996716,-0.4687925923712317,-0.5645938898253562,11
6,-0.283878120341857,-0.22438426650192778,-0.32352523912715103,13
7,0.14513409554498924,-0.23059027648164887,-0.3776525478768242,22
8,-0.0902906486193491,-1.38029632258276,-1.7848814150661454,15
9,0.3807188489417408,0.18503722344779966,-0.09876561253620239,16
10,0.26086834762345945,0.15968804621658367,0.1495827893434931,12
11,-0.3314798566459036,-0.45653347374368924,-0.5931972545304061,17
12,-1.6060929558755075,-1.1178222444006192,-1.1178222444006192,2
13,-2.7538247504263316,-1.0627103510336515,-1.769448244973644,4
aggregate,-0.04789120753467291,-0.4626630330574605,-0.7328075658172698,134
