fold_id,pooled_brier_skill_score,per_district_median_brier_skill_score,per_district_mean_brier_skill_score,n_districts_scored
2,-0.20680973391452895,-1.4401616820509875,-1.2734229848156047,9
3,-0.2675114143405759,-0.43111153375705147,-0.7647296239155544,3
4,-0.0033770002577588887,-0.16474465880202194,-0.19726529089025746,10
5,-0.2014529300922152,-0.7503088476338442,-0.6480483960369097,11
6,-0.4192338918233225,-0.17515210365668032,-0.3198694068349824,13
7,0.028557196112505512,-0.2266195406320055,-0.3687566508644026,22
8,-0.15398169920403904,-1.4463787594021138,-1.7091549460625366,15
9,0.38300767801242475,0.33149218994676294,-0.04039455143596132,16
10,0.18421249635724635,0.16282737360420918,0.1529075218496278,12
11,-0.4436998910475054,-0.2822567653787038,-0.5638870083817477,17
12,-2.076137641254598,-0.9700552222182809,-0.9700552222182809,2
13,-2.7149622437338023,-1.2321185183771242,-1.6270442892156503,4
aggregate,-0.20413133200337208,-0.35668414956787764,-0.6941434040685217,134
