alpha,iteration,corr,mae,rmse
,0,0.8241667393022079,20.4666735228345,48.10521174269879
1.0,1,0.6700077603921782,34.460127296208725,63.20674172506959
1.0,2,0.3214863015815863,64.7378241604354,103.98486066362061
1.0,3,0.009000632985129953,133.99534811900415,196.06955665626919
1.0,4,-0.14085025277104166,267.8781148817227,390.2226309498451
0.3,1,0.7947179664514006,23.6175740277712,51.24739156919638
0.3,2,0.7348300785924948,29.04590319425758,57.04790101585466
0.3,3,0.6387457539099775,36.56569531360555,66.10728013050655
0.3,4,0.5085206303559083,46.91194527603434,79.37307951838703
0.15,1,0.8116364259045563,21.81530907089077,49.49363597888086
0.15,2,0.7911081108421791,23.965518055048683,51.60971495146205
0.15,3,0.7623180826536967,26.653745077612996,54.43088790162963
0.15,4,0.7239322629531368,29.899759707165803,58.071916868317814
0.05,1,0.8204855078603983,20.833981732375324,48.52532197323229
0.05,2,0.816064609473751,21.322522692992443,49.01633414398222
0.05,3,0.8108383761401413,21.899535898865576,49.58044426801638
0.05,4,0.8045775572842615,22.58419354692576,50.23876465338501
