decile,model,n,mean_actual,mean_predicted,ratio_actual_over_predicted
0,Stage 1 alone (Risk_0),2513,0.7970553123756466,1.0401709540895514,0.7662733796227748
1,Stage 1 alone (Risk_0),2512,2.9753184713375798,3.1065041573478944,0.9577706388385099
2,Stage 1 alone (Risk_0),2512,5.173566878980892,5.390441468772464,0.9597668222449023
3,Stage 1 alone (Risk_0),2512,8.193471337579618,8.365707530999668,0.9794116405836784
4,Stage 1 alone (Risk_0),2513,11.565061679267808,12.42132236311898,0.9310652554680043
5,Stage 1 alone (Risk_0),2512,17.92953821656051,18.380955801734522,0.9754410167761017
6,Stage 1 alone (Risk_0),2512,25.24800955414013,26.698170202521187,0.9456831446731838
7,Stage 1 alone (Risk_0),2512,35.703821656050955,39.026658923683755,0.9148572447841211
8,Stage 1 alone (Risk_0),2512,57.82802547770701,61.39699198427468,0.9418706618806053
9,Stage 1 alone (Risk_0),2513,175.6900119379228,165.2806633345354,1.0629798331721263
0,"Stage 2 RF, official",2392,1.0614548494983278,0.6777403990742836,1.566167297903673
1,"Stage 2 RF, official",2391,2.26056043496445,2.218933192263552,1.0187600252436775
2,"Stage 2 RF, official",2391,4.41405269761606,4.38314482236225,1.007051529553877
3,"Stage 2 RF, official",2391,7.084065244667503,7.270177093195391,0.9744006444214293
4,"Stage 2 RF, official",2391,10.909242994562945,11.348277471436958,0.9613126769257236
5,"Stage 2 RF, official",2391,15.923462986198244,16.88919244807605,0.9428196780368965
6,"Stage 2 RF, official",2391,23.01547469677959,24.95563603947441,0.922255584284612
7,"Stage 2 RF, official",2391,34.18611459640318,37.08635340392515,0.921797681860654
8,"Stage 2 RF, official",2391,55.944374738603095,59.55037091369321,0.9394462852243808
9,"Stage 2 RF, official",2392,202.43311036789297,200.88104930101375,1.0077262692139441
0,Naive persistence (no model),2283,1.3955321944809462,0.5849949989740646,2.385545512232347
1,Naive persistence (no model),2282,2.96669588080631,2.1343769390063194,1.3899587399906435
2,Naive persistence (no model),2282,4.711218229623138,4.182182587447919,1.1264975000764017
3,Naive persistence (no model),2283,7.519929916776172,6.918388596130277,1.0869481834227064
4,Naive persistence (no model),2282,10.954864154250657,10.6866426008063,1.0250987670743401
5,Naive persistence (no model),2282,16.18273444347064,16.000781587813112,1.01137149798958
6,Naive persistence (no model),2283,24.132720105124836,23.950466242624216,1.007609616474867
7,Naive persistence (no model),2282,36.39219982471516,37.039728600356284,0.9825179935137297
8,Naive persistence (no model),2282,60.246713409290095,63.397424657595806,0.9503022202349316
9,Naive persistence (no model),2283,208.20849759088918,214.3708224844736,0.971253900963921
