feature,importance
residual_rescaled_lag_1,0.6394244344708497
residual_rescaled_lag_2,0.25906850428490535
residual_rescaled_lag_3,0.01783955290318186
residual_rescaled_lag_4,0.010530364928587086
rainfall_lag_4,0.009251573834293026
rainfall_lag_3,0.007365646495860951
temperature_anomaly,0.00655743944950348
rainfall_anomaly,0.006005670056789449
mahalanobis_anomaly_score,0.0053794440257295935
temperature_2m_mean (°C),0.005346453424227268
rain_sum (mm),0.005281613136985847
population_density,0.005233010465622552
Estimated_Population,0.005006913560836032
rainfall_lag_2,0.004801123198860954
temperature_lag_2,0.003898189570637893
temperature_lag_4,0.0033788234525647374
temperature_lag_3,0.0033166956616679363
elevation_m,0.001271676942009185
monsoon_indicator_SW,0.0005772366884346843
monsoon_indicator_NE,0.0004656334484524081
